Var1,Var2,PIP,trial,df,case
1,3,0,18,4,1
2,3,0,18,4,1
1,4,0,18,4,1
2,4,0,18,4,1
3,4,0,18,4,1
1,5,0,18,4,1
2,5,0,18,4,1
3,5,0,18,4,1
4,5,0,18,4,1
1,6,0,18,4,1
2,6,0,18,4,1
3,6,0,18,4,1
4,6,0,18,4,1
5,6,0,18,4,1
1,7,0,18,4,1
2,7,0,18,4,1
3,7,0,18,4,1
4,7,0,18,4,1
5,7,0,18,4,1
6,7,0,18,4,1
1,8,0,18,4,1
2,8,0,18,4,1
3,8,0,18,4,1
4,8,0,18,4,1
5,8,0,18,4,1
6,8,0,18,4,1
7,8,0.00192,18,4,1
1,9,0,18,4,1
2,9,0,18,4,1
3,9,0,18,4,1
4,9,8e-4,18,4,1
5,9,4.8e-4,18,4,1
6,9,0,18,4,1
7,9,0,18,4,1
8,9,0,18,4,1
1,10,0,18,4,1
2,10,0,18,4,1
3,10,0,18,4,1
4,10,4.8e-4,18,4,1
5,10,0,18,4,1
6,10,0,18,4,1
7,10,0,18,4,1
8,10,0,18,4,1
9,10,0.01232,18,4,1
1,2,0,19,4,1
1,3,0,19,4,1
2,3,0,19,4,1
1,4,0,19,4,1
2,4,0,19,4,1
3,4,0,19,4,1
1,5,0,19,4,1
2,5,0,19,4,1
3,5,0,19,4,1
4,5,0,19,4,1
1,6,0,19,4,1
2,6,0,19,4,1
3,6,0,19,4,1
4,6,0,19,4,1
5,6,0,19,4,1
1,7,0,19,4,1
2,7,0,19,4,1
3,7,0,19,4,1
4,7,0,19,4,1
5,7,0,19,4,1
6,7,0,19,4,1
1,8,0,19,4,1
2,8,0,19,4,1
3,8,0,19,4,1
4,8,0,19,4,1
5,8,0,19,4,1
6,8,0,19,4,1
7,8,0,19,4,1
1,9,0,19,4,1
2,9,0,19,4,1
3,9,0,19,4,1
4,9,0,19,4,1
5,9,0,19,4,1
6,9,0,19,4,1
7,9,0,19,4,1
8,9,0,19,4,1
1,10,0,19,4,1
2,10,0,19,4,1
3,10,0,19,4,1
4,10,0,19,4,1
5,10,0,19,4,1
6,10,0,19,4,1
7,10,0,19,4,1
8,10,0,19,4,1
9,10,0,19,4,1
1,2,0,1,4,1
1,3,0,1,4,1
2,3,0,1,4,1
1,4,0,1,4,1
2,4,0,1,4,1
3,4,0,1,4,1
1,5,0,1,4,1
2,5,0,1,4,1
3,5,0,1,4,1
4,5,0,1,4,1
1,6,0,1,4,1
2,6,0,1,4,1
3,6,0,1,4,1
4,6,0,1,4,1
5,6,0,1,4,1
1,7,0,1,4,1
2,7,0,1,4,1
3,7,0,1,4,1
4,7,0,1,4,1
5,7,0,1,4,1
6,7,0,1,4,1
1,8,0,1,4,1
2,8,0,1,4,1
3,8,0,1,4,1
4,8,0,1,4,1
5,8,0,1,4,1
6,8,0,1,4,1
7,8,0,1,4,1
1,9,0,1,4,1
2,9,0,1,4,1
3,9,0,1,4,1
4,9,0.00176,1,4,1
5,9,0.00128,1,4,1
6,9,0,1,4,1
7,9,0.00128,1,4,1
8,9,0,1,4,1
1,10,0,1,4,1
2,10,0,1,4,1
3,10,0,1,4,1
4,10,0.0024,1,4,1
5,10,1.6e-4,1,4,1
6,10,0,1,4,1
7,10,0,1,4,1
8,10,0,1,4,1
9,10,0.0024,1,4,1
1,2,0,20,4,1
1,3,0,20,4,1
2,3,0,20,4,1
