variable,PIP,trial,df,case
Tl,0.01808,79,4,1
Pb,0.01616,79,4,1
Mo,0.33696,79,4,1
Sb,1,79,4,1
Sn,0.4664,79,4,1
As,0.00272,7,3,1
Cd,0.0208,7,3,1
Co,0.032,7,3,1
Hg,0.99984,7,3,1
Ni,1,7,3,1
Tl,0.01536,7,3,1
Pb,0.00624,7,3,1
Mo,0.0024,7,3,1
Sb,1,7,3,1
Sn,0.95904,7,3,1
As,0.01104,80,3,1
Cd,0.01152,80,3,1
Co,0.05328,80,3,1
Hg,1,80,3,1
Ni,1,80,3,1
Tl,0.01152,80,3,1
Pb,0.55264,80,3,1
Mo,0.37088,80,3,1
Sb,1,80,3,1
Sn,0.22432,80,3,1
As,0.0128,81,3,1
Cd,0.04192,81,3,1
Co,0.01584,81,3,1
Hg,0.9984,81,3,1
Ni,0.99984,81,3,1
Tl,0.0272,81,3,1
Pb,0.01136,81,3,1
Mo,0.18016,81,3,1
Sb,1,81,3,1
Sn,0.9944,81,3,1
As,0.0488,82,3,1
Cd,0.04176,82,3,1
Co,0.01984,82,3,1
Hg,1,82,3,1
Ni,1,82,3,1
Tl,0.00688,82,3,1
Pb,0.0032,82,3,1
Mo,0.028,82,3,1
Sb,1,82,3,1
Sn,1,82,3,1
As,0.01536,83,3,1
Cd,0.00992,83,3,1
Co,0.19792,83,3,1
Hg,1,83,3,1
Ni,1,83,3,1
Tl,0.0256,83,3,1
Pb,0.03152,83,3,1
Mo,0.0096,83,3,1
Sb,1,83,3,1
Sn,0.21856,83,3,1
As,0.01824,84,3,1
Cd,0.0288,84,3,1
Co,0.03248,84,3,1
Hg,1,84,3,1
Ni,1,84,3,1
Tl,0.0376,84,3,1
Pb,0.06976,84,3,1
Mo,0.05392,84,3,1
Sb,1,84,3,1
Sn,0.99888,84,3,1
As,0.024,85,3,1
Cd,0.08192,85,3,1
Co,0.1104,85,3,1
Hg,0.99968,85,3,1
Ni,1,85,3,1
Tl,0.016,85,3,1
Pb,0.01904,85,3,1
Mo,0.00288,85,3,1
Sb,1,85,3,1
Sn,0.17664,85,3,1
As,0.0208,86,3,1
Cd,0.05616,86,3,1
Co,0.01792,86,3,1
Hg,1,86,3,1
Ni,1,86,3,1
Tl,0.06608,86,3,1
Pb,0.04944,86,3,1
Mo,0.02368,86,3,1
Sb,1,86,3,1
Sn,0.26544,86,3,1
As,0.44688,87,3,1
Cd,0.07008,87,3,1
Co,0.09024,87,3,1
Hg,1,87,3,1
Ni,1,87,3,1
Tl,0.02608,87,3,1
Pb,0.1248,87,3,1
Mo,0.9832,87,3,1
Sb,1,87,3,1
Sn,0.99376,87,3,1
As,0.012,88,3,1
Cd,0.02688,88,3,1
