variable,PIP,df,race,trial,case
Tl,0.0096,2,4,20,1
Pb,0.01536,2,4,20,1
Mo,0.048,2,4,20,1
Sb,0.94112,2,4,20,1
Sn,0.04784,2,4,20,1
As,0.03776,2,5,20,1
Cd,0.0512,2,5,20,1
Co,0.08464,2,5,20,1
Hg,0.27008,2,5,20,1
Ni,0.08384,2,5,20,1
Tl,0.02512,2,5,20,1
Pb,0.07696,2,5,20,1
Mo,0.19824,2,5,20,1
Sb,0.04832,2,5,20,1
Sn,0.68736,2,5,20,1
As,0.04704,2,6,20,1
Cd,0.02768,2,6,20,1
Co,0.07584,2,6,20,1
Hg,0.04016,2,6,20,1
Ni,0.04416,2,6,20,1
Tl,0.0392,2,6,20,1
Pb,0.27216,2,6,20,1
Mo,0.04784,2,6,20,1
Sb,0.13376,2,6,20,1
Sn,0.04048,2,6,20,1
As,0.53552,3,1,21,1
Cd,0.48576,3,1,21,1
Co,0.45856,3,1,21,1
Hg,0.51968,3,1,21,1
Ni,0.50928,3,1,21,1
Tl,0.53408,3,1,21,1
Pb,0.42112,3,1,21,1
Mo,0.47824,3,1,21,1
Sb,0.47056,3,1,21,1
Sn,0.4776,3,1,21,1
As,0.10624,4,2,21,1
Cd,0.33664,4,2,21,1
Co,0.69968,4,2,21,1
Hg,0.62992,4,2,21,1
Ni,0.48576,4,2,21,1
Tl,0.37856,4,2,21,1
Pb,0.10496,4,2,21,1
Mo,0.19232,4,2,21,1
Sb,0.54128,4,2,21,1
Sn,0.23168,4,2,21,1
As,0.46304,4,3,21,1
Cd,0.43216,4,3,21,1
Co,0.45056,4,3,21,1
Hg,0.48496,4,3,21,1
Ni,0.40288,4,3,21,1
Tl,0.54464,4,3,21,1
Pb,0.40592,4,3,21,1
Mo,0.38656,4,3,21,1
Sb,0.46096,4,3,21,1
Sn,0.45472,4,3,21,1
As,0.01152,4,4,21,1
Cd,0.00944,4,4,21,1
Co,0.01168,4,4,21,1
Hg,0.0104,4,4,21,1
Ni,0.96016,4,4,21,1
Tl,0.11616,4,4,21,1
Pb,0.02544,4,4,21,1
Mo,0.03344,4,4,21,1
Sb,0.9984,4,4,21,1
Sn,0.008,4,4,21,1
As,0.02912,1,5,21,1
Cd,0.03648,1,5,21,1
Co,0.0552,1,5,21,1
Hg,0.03088,1,5,21,1
Ni,0.15248,1,5,21,1
Tl,0.04272,1,5,21,1
Pb,0.03264,1,5,21,1
Mo,0.0544,1,5,21,1
Sb,0.03136,1,5,21,1
Sn,0.03408,1,5,21,1
As,0.014880000000000001,3,6,21,1
Cd,0.32592,3,6,21,1
Co,0.02368,3,6,21,1
Hg,0.01456,3,6,21,1
Ni,0.10352,3,6,21,1
Tl,0.03584,3,6,21,1
Pb,0.01344,3,6,21,1
