est,sd,race,trial,case
1.1025121513426077,1.188247998517943,4,28,1
1.1408152186271439,0.8159404107387274,5,28,1
-0.1180992867486319,1.0612152343727352,6,28,1
0.9931004763654168,2.4610850167950153,1,29,1
-0.19636009139807564,1.108049442555166,2,29,1
NA,NA,3,29,1
0.9300596515487296,0.5736087982655493,4,29,1
3.5767032928536464,1.751986612651078,5,29,1
1.414557535685332,1.1921108378910963,6,29,1
NA,NA,1,3,1
2.1115935080799377,1.0961791708931423,2,3,1
-1.9866900483779748,3.8228926981091926,3,3,1
0.11692980395576269,1.4171541848323719,4,3,1
1.5383561439694837,0.8032768008723068,5,3,1
0.8655689783486986,0.9073985150548106,6,3,1
NA,NA,1,30,1
4.5147152091832945,2.4392257647364928,2,30,1
1.1808676297462588,1.8529988135877238,3,30,1
0.26894617281777844,0.9760744310142592,4,30,1
1.2525876118173955,0.8640676411490734,5,30,1
2.0929401259194975,1.5406800652295756,6,30,1
0.5225513345339969,2.066854158331342,1,31,1
4.379286360485761,4.0487647315808495,2,31,1
NA,NA,3,31,1
1.2710332972580662,1.1503855744391014,4,31,1
1.9146236091469944,0.836655167916123,5,31,1
1.9490902838587572,1.1728548143489719,6,31,1
0.2520844255616974,1.6968707733893098,1,32,1
3.1401562514821917,2.1097599871186565,2,32,1
NA,NA,3,32,1
1.437959400480917,1.393091276271831,4,32,1
4.270836318403688,1.3095042779472612,5,32,1
2.3527946423331656,1.601383281167836,6,32,1
0.6745902881149739,1.640104987871595,1,33,1
1.394815444392565,2.080785702375239,2,33,1
1.7121133510731203,3.3275800949897185,3,33,1
1.4487688807047752,1.0934444166820219,4,33,1
0.6412739698962917,0.5858926089790917,5,33,1
2.5878527497665456,1.4506995128044324,6,33,1
0.27942264183529986,2.1048486666916624,1,34,1
1.2755115881184391,2.614663132953245,2,34,1
1.3051314854412475,2.338054739793517,3,34,1
0.05622723441271038,0.7331868378980265,4,34,1
1.9570196823368269,1.056498906220735,5,34,1
0.5120220860472058,1.53789453070847,6,34,1
NA,NA,1,35,1
3.2863823011384943,1.8432258263810022,2,35,1
-0.23707750375723968,1.8198661844252586,3,35,1
3.118096497282735,0.9965609200051914,4,35,1
1.0600913440314055,0.7235239877608513,5,35,1
