variable,PIP,race,trial,case
Mo,0.78268,1,16,1
Sb,0.72444,1,16,1
Sn,0.69092,1,16,1
As,0.26048,2,16,1
Cd,0.2222,2,16,1
Co,0.26908,2,16,1
Hg,0.507,2,16,1
Ni,0.7094,2,16,1
Tl,0.30728,2,16,1
Pb,0.24248,2,16,1
Mo,0.19176,2,16,1
Sb,0.33824,2,16,1
Sn,0.39428,2,16,1
As,0.49348,3,16,1
Cd,0.52384,3,16,1
Co,0.53752,3,16,1
Hg,0.5026,3,16,1
Ni,0.51732,3,16,1
Tl,0.49704,3,16,1
Pb,0.44168,3,16,1
Mo,0.56,3,16,1
Sb,0.97892,3,16,1
Sn,0.48628,3,16,1
As,0.2806,4,16,1
Cd,0.30264,4,16,1
Co,0.96336,4,16,1
Hg,0.98084,4,16,1
Ni,0.98312,4,16,1
Tl,0.70364,4,16,1
Pb,0.335,4,16,1
Mo,0.19156,4,16,1
Sb,0.99888,4,16,1
Sn,0.40416,4,16,1
As,0.7564,5,16,1
Cd,0.5936,5,16,1
Co,0.83212,5,16,1
Hg,0.90576,5,16,1
Ni,0.7234,5,16,1
Tl,0.55196,5,16,1
Pb,0.47132,5,16,1
Mo,0.60536,5,16,1
Sb,0.9992,5,16,1
Sn,0.65304,5,16,1
As,0.42432,1,17,1
Cd,0.42128,1,17,1
Co,0.4658,1,17,1
Hg,0.41164,1,17,1
Ni,0.44492,1,17,1
Tl,0.38168,1,17,1
Pb,0.64044,1,17,1
Mo,0.44064,1,17,1
Sb,0.38516,1,17,1
Sn,0.38432,1,17,1
As,0.35304,2,17,1
Cd,0.2876,2,17,1
Co,0.54064,2,17,1
Hg,0.38316,2,17,1
Ni,0.71104,2,17,1
Tl,0.28904,2,17,1
Pb,0.34024,2,17,1
Mo,0.41036,2,17,1
Sb,0.6728,2,17,1
Sn,0.3172,2,17,1
As,0.52144,3,17,1
Cd,0.3594,3,17,1
Co,0.36264,3,17,1
Hg,0.53548,3,17,1
Ni,0.52508,3,17,1
Tl,0.34672,3,17,1
Pb,0.35872,3,17,1
Mo,0.3388,3,17,1
Sb,0.33744,3,17,1
Sn,0.36164,3,17,1
As,0.69008,4,17,1
Cd,0.80988,4,17,1
Co,0.73192,4,17,1
Hg,1,4,17,1
Ni,0.99852,4,17,1
Tl,0.73156,4,17,1
Pb,0.90596,4,17,1
Mo,0.86384,4,17,1
Sb,1,4,17,1
Sn,0.67412,4,17,1
As,0.14344,5,17,1
Cd,0.07348,5,17,1
Co,0.12256,5,17,1
Hg,0.96052,5,17,1
Ni,0.9998,5,17,1
Tl,0.16528,5,17,1
Pb,0.10548,5,17,1
Mo,0.1268,5,17,1
Sb,1,5,17,1
Sn,0.1302,5,17,1
As,0.40864,1,18,1
Cd,0.4404,1,18,1
Co,0.42268,1,18,1
Hg,0.47084,1,18,1
Ni,0.45628,1,18,1
Tl,0.42812,1,18,1
Pb,0.51344,1,18,1
Mo,0.35364,1,18,1
Sb,0.49492,1,18,1
Sn,0.44736,1,18,1
As,0.51412,2,18,1
Cd,0.5004,2,18,1
Co,0.79848,2,18,1
Hg,0.82008,2,18,1
Ni,0.5988,2,18,1
Tl,0.62752,2,18,1
Pb,0.7458,2,18,1
Mo,0.44304,2,18,1
Sb,0.66496,2,18,1
Sn,0.8416,2,18,1
As,0.48972,3,18,1
Cd,0.39444,3,18,1
Co,0.40688,3,18,1
Hg,0.39536,3,18,1
Ni,0.43928,3,18,1
Tl,0.40032,3,18,1
Pb,0.43632,3,18,1
Mo,0.408,3,18,1
Sb,0.3858,3,18,1
Sn,0.4284,3,18,1
As,0.21668,4,18,1
Cd,0.3118,4,18,1
Co,0.21964,4,18,1
Hg,0.99348,4,18,1
Ni,1,4,18,1
Tl,0.3056,4,18,1
Pb,0.15496,4,18,1
Mo,0.3226,4,18,1
Sb,1,4,18,1
Sn,0.4686,4,18,1
As,0.15628,5,18,1
Cd,0.38032,5,18,1
Co,0.1696,5,18,1
Hg,0.98104,5,18,1
Ni,0.99824,5,18,1
Tl,0.5068,5,18,1
Pb,0.76456,5,18,1
Mo,0.18756,5,18,1
Sb,1,5,18,1
Sn,0.79432,5,18,1
As,0.29204,1,19,1
Cd,0.48788,1,19,1
Co,0.30588,1,19,1
Hg,0.33768,1,19,1
Ni,0.35748,1,19,1
Tl,0.31604,1,19,1
Pb,0.29908,1,19,1
Mo,0.29016,1,19,1
Sb,0.65672,1,19,1
Sn,0.30416,1,19,1
As,0.27968,2,19,1
Cd,0.32588,2,19,1
Co,0.68252,2,19,1
Hg,0.52488,2,19,1
Ni,0.5646,2,19,1
Tl,0.20112,2,19,1
Pb,0.26988,2,19,1
Mo,0.26436,2,19,1
Sb,0.94708,2,19,1
Sn,0.3596,2,19,1
As,0.28696,3,19,1
Cd,0.33636,3,19,1
Co,0.39004,3,19,1
Hg,0.94652,3,19,1
Ni,0.93972,3,19,1
