variable,PIP,race,trial,case
NA,NA,3,17,1
As,0.2496,4,17,1
Cd,0.2272,4,17,1
Co,0.22796,4,17,1
Hg,0.24332,4,17,1
Ni,0.358,4,17,1
Tl,0.22444,4,17,1
Pb,0.29816,4,17,1
Mo,0.30652,4,17,1
Sb,0.7162,4,17,1
Sn,0.34316,4,17,1
As,0.43572,5,17,1
Cd,0.4626,5,17,1
Co,0.6572,5,17,1
Hg,0.60516,5,17,1
Ni,0.35172,5,17,1
Tl,0.40976,5,17,1
Pb,0.85916,5,17,1
Mo,0.40488,5,17,1
Sb,0.98292,5,17,1
Sn,0.41636,5,17,1
As,0.23392,6,17,1
Cd,0.2346,6,17,1
Co,0.26528,6,17,1
Hg,0.374,6,17,1
Ni,0.22912,6,17,1
Tl,0.26996,6,17,1
Pb,0.25,6,17,1
Mo,0.8028,6,17,1
Sb,0.30664,6,17,1
Sn,0.19904,6,17,1
As,0.47,1,18,1
Cd,0.56024,1,18,1
Co,0.49036,1,18,1
Hg,0.51428,1,18,1
Ni,0.49508,1,18,1
Tl,0.44228,1,18,1
Pb,0.51764,1,18,1
Mo,0.47336,1,18,1
Sb,0.46004,1,18,1
Sn,0.53108,1,18,1
As,0.35072,2,18,1
Cd,0.32912,2,18,1
Co,0.32912,2,18,1
Hg,0.33476,2,18,1
Ni,0.35008,2,18,1
Tl,0.3424,2,18,1
Pb,0.33476,2,18,1
Mo,0.34072,2,18,1
Sb,0.36088,2,18,1
Sn,0.32512,2,18,1
As,0.65516,3,18,1
Cd,0.66848,3,18,1
Co,0.63808,3,18,1
Hg,0.74044,3,18,1
Ni,0.7144,3,18,1
Tl,0.74496,3,18,1
Pb,0.68636,3,18,1
Mo,0.6584,3,18,1
Sb,0.66504,3,18,1
Sn,0.60324,3,18,1
As,0.61336,4,18,1
Cd,0.80832,4,18,1
Co,0.80572,4,18,1
Hg,0.8132,4,18,1
Ni,0.78844,4,18,1
Tl,0.7466,4,18,1
Pb,0.7756,4,18,1
Mo,0.68316,4,18,1
Sb,0.85412,4,18,1
Sn,0.89164,4,18,1
As,0.56232,5,18,1
Cd,0.55168,5,18,1
Co,0.49108,5,18,1
Hg,0.82892,5,18,1
Ni,0.94984,5,18,1
Tl,0.52404,5,18,1
Pb,0.42428,5,18,1
Mo,0.48728,5,18,1
Sb,0.77916,5,18,1
Sn,0.56492,5,18,1
As,0.62756,6,18,1
Cd,0.61876,6,18,1
Co,0.5578,6,18,1
Hg,0.67632,6,18,1
Ni,0.63796,6,18,1
Tl,0.56984,6,18,1
Pb,0.56424,6,18,1
Mo,0.64396,6,18,1
Sb,0.54312,6,18,1
Sn,0.61596,6,18,1
As,0.7048,1,19,1
Cd,0.61008,1,19,1
Co,0.61196,1,19,1
Hg,0.67712,1,19,1
Ni,0.55576,1,19,1
Tl,0.6322,1,19,1
Pb,0.56844,1,19,1
Mo,0.63464,1,19,1
Sb,0.57344,1,19,1
Sn,0.54592,1,19,1
As,0.46288,2,19,1
Cd,0.39432,2,19,1
Co,0.45668,2,19,1
Hg,0.46332,2,19,1
Ni,0.7834,2,19,1
Tl,0.44764,2,19,1
Pb,0.46092,2,19,1
Mo,0.39596,2,19,1
Sb,0.4654,2,19,1
Sn,0.62764,2,19,1
NA,NA,3,19,1
As,0.24872,4,19,1
Cd,0.28064,4,19,1
Co,0.31536,4,19,1
Hg,1,4,19,1
Ni,0.62284,4,19,1
Tl,0.1754,4,19,1
Pb,0.25176,4,19,1
Mo,0.36892,4,19,1
