est,sd,race,trial,case
1.3995283547340094,0.7174645065920374,2,18,1
6.272722511436114,5.176853278800162,3,18,1
2.084046472113142,0.5778063688207672,4,18,1
0.9983526930345397,0.47703832436427296,5,18,1
1.3718879864253788,1.2331580947047451,1,19,1
1.1370402889934135,0.6778093339750356,2,19,1
4.147932075979204,1.551481292571555,3,19,1
1.6516996634884986,0.4924248716160846,4,19,1
0.9334265996810291,0.39543621224235964,5,19,1
0.933053265913613,1.1269783336703598,1,2,1
1.757124748137728,0.8079468882514081,2,2,1
0.8958687888836063,1.0254781793804058,3,2,1
0.7864913293260787,0.4980048317294009,4,2,1
1.1250084539340448,0.41832798831353146,5,2,1
1.4007647601831104,1.1955704471670567,1,20,1
1.1165797259997148,0.7625032637561429,2,20,1
0.45272177267101155,1.1403211831221534,3,20,1
1.4486179099798706,0.49915165661158356,4,20,1
0.5316578525240807,0.4726758796152039,5,20,1
0.6268378437031723,1.0348811637938977,1,21,1
2.709870283913823,0.9067207800203583,2,21,1
-0.0525920827225681,2.3395841954978365,3,21,1
1.1579588950633708,0.4445595987444366,4,21,1
1.2816343792911966,0.4308379395516044,5,21,1
0.45203946594953726,1.1393930129391465,1,22,1
1.8255051518463334,0.721464520130601,2,22,1
2.835027716483399,1.7903017874090024,3,22,1
0.4730586900040352,0.46241378020652246,4,22,1
1.7570706377191319,0.3945726546768223,5,22,1
1.0199647647794565,1.1221867299295716,1,23,1
1.3579436218987269,0.9166600428742872,2,23,1
3.646711532209422,1.4925230910669356,3,23,1
0.9610740152223549,0.48337455323654077,4,23,1
0.8488659262605873,0.43058478251821514,5,23,1
0.41977482337463723,1.1361251523136604,1,24,1
3.171899419189124,0.8152393066702438,2,24,1
-0.2815475135952914,1.0347402123162646,3,24,1
1.871231756545995,0.5636689508727879,4,24,1
1.6469281472984365,0.3965238672933834,5,24,1
0.543159605326033,1.0665142819379567,1,25,1
2.238022110531743,1.0833011895081832,2,25,1
1.7437071917533866,1.169923186770295,3,25,1
1.606451481756471,0.5889477699161731,4,25,1
2.1256205984322563,0.45756557797992087,5,25,1
0.004356964709712585,0.9285498750134445,1,26,1
2.1047347769974847,0.9576986476480327,2,26,1
0.13255753505990198,1.0514283199583971,3,26,1
1.503793070297092,0.49241998231037265,4,26,1
1.2039659741632773,0.39913582457494734,5,26,1
1.3722490913631487,1.0746337997697486,1,27,1
1.8040242953445897,0.7719381332281032,2,27,1
4.223165619203095,2.1083970231410065,3,27,1
0.3408577304528855,0.40004230398674445,4,27,1
1.5340206526521953,0.3939247092162002,5,27,1
0.1898410058528519,1.4930919632667763,1,28,1
3.214894038432227,1.2034010841681595,2,28,1
0.16240992678819488,1.0792821172515732,3,28,1
1.5494574303281454,0.48720666317691247,4,28,1
1.1115295541591959,0.46632920377046544,5,28,1
-0.11317590822996015,0.7726102377332758,1,29,1
1.125648507235002,0.7184662520032252,2,29,1
0.39355277614821915,1.2076403272142848,3,29,1
1.4970557362718542,0.528706068082742,4,29,1
1.9941830916082601,0.46280511321545903,5,29,1
1.2067990553579624,0.869129368118266,1,3,1
1.1514301185699916,0.8284787594113482,2,3,1
1.526856807404764,1.0836650803869206,3,3,1
1.8795326454455745,0.5697056710236318,4,3,1
1.2893124437519754,0.4463943141027415,5,3,1
1.8357638872533852,0.9316971883070801,1,30,1
3.5019464632577866,1.1463828674489553,2,30,1
0.682125941046225,2.3008683953973583,3,30,1
0.8811834878546305,0.4259028714625611,4,30,1
1.1842080145463494,0.37316306410098954,5,30,1
2.4274452679655063,1.184545018517076,1,31,1
4.261382014926463,0.7569080360391659,2,31,1
1.2740593135026472,2.207244497165738,3,31,1
1.0922796949916562,0.5321845809669298,4,31,1
1.4148947509397782,0.3978794002638362,5,31,1
1.8270834585126563,1.3600297795279346,1,32,1
1.2008365738898932,0.8754726760051538,2,32,1
1.6212222468738362,1.0088136405768897,3,32,1
2.226686293184558,0.4624999988233753,4,32,1
1.6784853862429485,0.41671584969538483,5,32,1
0.9097145384774095,1.9095136760670022,1,33,1
2.7514529651700297,1.020440449200667,2,33,1
1.0172022379317442,1.2115341940444335,3,33,1
1.45609482220133,0.6072105220727905,4,33,1
1.9841331839038885,0.490377499335125,5,33,1
0.421891881967404,0.8726217641332846,1,34,1
-0.8147486633106945,0.7287396390833089,2,34,1
1.2648589010085272,1.1454130216256846,3,34,1
1.7250348216638365,0.48745725462673833,4,34,1
1.513062726078414,0.36967940145706224,5,34,1
1.5631213461658264,0.9463039359633362,1,35,1
2.815336488918164,1.0459235647501106,2,35,1
1.1377903835319785,1.0494494787772288,3,35,1
1.3811385352937795,0.49220478885711194,4,35,1
0.5803414403520972,0.433391146856606,5,35,1
0.8725847963184421,0.9364296077551565,1,36,1
1.0588122428897577,0.8316468416723013,2,36,1
2.1823368758843977,1.8232626756012853,3,36,1
1.0625167755839038,0.4453683599393615,4,36,1
1.3554435218840757,0.43735541706622305,5,36,1
-0.842931758036344,0.9818435180148652,1,37,1
1.2831571789856488,0.6802907353049574,2,37,1
0.11628333093217647,0.9181809002479588,3,37,1
1.6878902424399391,0.524860481907472,4,37,1
2.2703253150367946,0.4026520454039001,5,37,1
0.1888697966849886,0.8577538385904839,1,38,1
2.0548809345365244,0.7092184444928935,2,38,1
1.8475608726186952,1.6474652341688398,3,38,1
2.1772650174979575,0.44676554680298086,4,38,1
1.4970399761477644,0.438687085748515,5,38,1
0.45140151997501476,0.6889456250077286,1,39,1
1.356342870363398,0.7428355545104603,2,39,1
-0.5498966343084462,1.213187299667792,3,39,1
1.8515821735600597,0.4480496498695382,4,39,1
0.74670334663405,0.47240203957849636,5,39,1
1.6580550960115845,1.1341998536818247,1,4,1
0.6657556496305448,0.6247283509461721,2,4,1
-0.937941104485845,0.95106958313855,3,4,1
1.7520832159091357,0.592412848175431,4,4,1
2.006794991819946,0.4835365095830557,5,4,1
0.9540859083088593,0.9863776159695113,1,40,1
1.8004120747831842,0.8188081134903052,2,40,1
0.0944313671518664,0.867508614156254,3,40,1
1.7789247989749817,0.5873155638585101,4,40,1
1.6807453155842706,0.4368116298568063,5,40,1
-0.15720332028407213,1.0751214535572668,1,41,1
3.3603865214856006,1.0688978090205572,2,41,1
0.060290840580959015,1.565745275470723,3,41,1
1.4204311113781203,0.5072503260850368,4,41,1
1.4732262131377452,0.45496441687419487,5,41,1
1.8379228644129928,0.8155535077088903,1,42,1
1.5490740390132083,0.8191683270098357,2,42,1
0.23747080610435178,0.9076328744042659,3,42,1
1.5287341588764405,0.4361671063831427,4,42,1
0.924916599129114,0.4206385260351209,5,42,1
2.610692530589837,1.046799019345051,1,43,1
2.7275991231716015,1.2037905912767948,2,43,1
1.670034912095911,1.517261702958677,3,43,1
1.5490980515115051,0.6034349400727761,4,43,1
1.4678595056669206,0.41302993095944085,5,43,1
0.34954415492396507,1.129723059427275,1,44,1
2.616631050138848,0.8355717378461777,2,44,1
4.863456812505629,1.6274495383590952,3,44,1
1.4873029852022643,0.4961683171402707,4,44,1
1.6740552709622993,0.4039689803241788,5,44,1
1.541681258870468,0.799996514791105,1,45,1
1.1664042386903262,0.8911077755902415,2,45,1
3.019212063755679,1.4510250549614923,3,45,1
1.4817872286675464,0.46249995863915494,4,45,1
1.5013997609176277,0.44340377517411256,5,45,1
0.244400841422741,0.7731379502251694,1,46,1
1.988547759027309,1.0116076836969834,2,46,1
0.2658520872165999,0.8257823372355096,3,46,1
1.718987928912508,0.45116340862435256,4,46,1
0.8887184245496389,0.40655930546936553,5,46,1
0.9656089732524595,1.0108381293171662,1,47,1
2.0566980471690686,0.7655691849916917,2,47,1
4.203339500825088,1.8802706662357793,3,47,1
0.9500671035228812,0.4398043095283194,4,47,1
1.3577770070372148,0.39995644573960404,5,47,1
1.9856125160881875,1.543906647693173,1,48,1
0.5241278894956141,0.7511076126722174,2,48,1
0.9294889459442128,1.0181328785639883,3,48,1
1.5035994000497563,0.4942871301986185,4,48,1
1.0227991155005793,0.4593643965257617,5,48,1
0.6255108788931469,1.409048054197724,1,49,1
1.7696427668420722,0.8407909113020458,2,49,1
-0.3208286314184432,1.1871138722545806,3,49,1
1.1591538716043321,0.538594534624874,4,49,1
1.0204266388122551,0.40897929821344825,5,49,1
1.6859956611047653,1.4116253265852712,1,5,1
2.736034367722068,0.8490176037123401,2,5,1
2.764695472280347,1.7499734347008506,3,5,1
1.2143865409531562,0.5155396140262339,4,5,1
1.3193039184352102,0.39919986668469726,5,5,1
-0.8451498718804147,1.3733383688552399,1,50,1
2.720953479230768,1.0274155475405282,2,50,1
1.9670972071505903,1.4747779117204236,3,50,1
1.720302418602647,0.4971402361829092,4,50,1
1.0842649344587336,0.4575302047945047,5,50,1
4.175254806332982,3.0798987823204027,1,51,1
3.480059508883508,0.9406273954090648,2,51,1
1.5458481971609301,1.204603712920916,3,51,1
1.5013224945817227,0.4981840987795262,4,51,1
1.1454059316527676,0.4257184377939088,5,51,1
0.2803041934035879,0.9639498745861644,1,52,1
2.713762792435123,1.32657505989111,2,52,1
1.6462805275887238,2.8009874414117317,3,52,1
0.8051707518315028,0.3803135130594772,4,52,1
1.1096330291400944,0.3935222154812103,5,52,1
-0.08475669223644644,1.0506844321766373,1,53,1
1.8193322557603064,0.9842217021169559,2,53,1
2.917870949298714,1.6704483716186962,3,53,1
0.926357150782072,0.44119512704950864,4,53,1
1.3466698086193385,0.4260611571230538,5,53,1
1.7131986886059742,0.8559456926155167,1,54,1
1.5102667659649196,0.7512674787736763,2,54,1
0.37538471410458474,2.46687532465938,3,54,1
0.7112850791764793,0.42048465223594284,4,54,1
1.2352154264263273,0.4877053245285287,5,54,1
2.739513594009546,1.4046937998022777,1,55,1
-0.027393145505842487,0.7802793998207747,2,55,1
0.4311181884975417,1.5641225491546162,3,55,1
2.1210254272670372,0.5917609595918418,4,55,1
1.5575534205140698,0.439575184555604,5,55,1
0.7434276740528816,0.9034529538114213,1,56,1
3.124943882625856,1.0009802232841616,2,56,1
1.6559231314551486,1.6828661317314415,3,56,1
0.6692189746027566,0.4614909247758942,4,56,1
0.4661896076761325,0.42547738687149383,5,56,1
-0.286320740270791,0.8059266078694899,1,57,1
2.9826511431865925,0.9215820255763406,2,57,1
-0.3875547131806347,0.7918247554020867,3,57,1
0.520035326762867,0.4102720410827642,4,57,1
1.2009098005141854,0.43292454052298507,5,57,1
3.794696218851479,1.5583700852585312,1,58,1
2.036286174595739,0.7671300898730578,2,58,1
2.1356222595573393,0.8091813110455339,3,58,1
1.4622124442042153,0.4143494462582385,4,58,1
1.448201980231346,0.4595051498770476,5,58,1
0.036870265285323,0.8424318727763519,1,59,1
4.177776972431423,1.2214083142893815,2,59,1
3.09393864924683,1.430304124422019,3,59,1
1.6416933337296156,0.4548178204543882,4,59,1
2.1658310480471576,0.43565619212277706,5,59,1
1.112293106389349,0.9554376948908316,1,6,1
0.47708825830926127,0.8614876566058839,2,6,1
0.2204471845373548,0.7631521363082102,3,6,1
1.5159283783354662,0.4862645927585806,4,6,1
1.2510628523771494,0.4102148661346585,5,6,1
1.2642301790012493,0.8573680104751829,1,60,1
2.266375245361778,0.8340218180742321,2,60,1
2.0306142636401368,1.2154052154184347,3,60,1
1.264113257952992,0.4581478013805827,4,60,1
0.9070081998990971,0.4215022581875349,5,60,1
0.21827919935614226,0.9596481931910057,1,61,1
3.2461723498198083,0.9725966735191226,2,61,1
-0.03698518291073505,1.3669987219296749,3,61,1
1.3168056724052004,0.4974229775992864,4,61,1
1.235951476251604,0.4663379501329458,5,61,1
1.1069146357482291,1.4030200577812915,1,62,1
2.629678740226838,0.9440528235555861,2,62,1
0.6272204593734187,1.309624194203377,3,62,1
1.482176152671216,0.5093180860398813,4,62,1
0.9171632178109839,0.3931362293112954,5,62,1
0.4113975431887398,0.7448154275546447,1,63,1
2.3772905322552162,0.9487664206532129,2,63,1
-0.4788814595198141,1.2894461927823575,3,63,1
1.248174657647999,0.5130613209971713,4,63,1
2.0081847567304947,0.5025997588915825,5,63,1
0.0013274748684086735,1.1682455268272651,1,64,1
3.60798488770333,1.0468961883264047,2,64,1
-0.1522497512114369,0.7554622745192364,3,64,1
1.457704844013449,0.49356118721839215,4,64,1
1.003142672016942,0.4044096103175345,5,64,1
-0.09250682486584338,0.9484587918702121,1,65,1
4.208193702327579,1.0340848643115355,2,65,1
0.4753671740274168,0.8731640815270135,3,65,1
0.6836512557277343,0.48179675080705997,4,65,1
1.4469645455795446,0.42917860332232394,5,65,1
