z1,z2,est,sd,trial,case
Co,Tl,-4.1883416618393454e-4,0.16295181044973664,102,2
Co,Pb,0.1626027460557138,0.24054719371592667,102,2
Co,Mo,-0.0381583503308871,0.11541535889657203,102,2
Co,Sb,-1.0483574329284386,0.6072829837934447,102,2
Co,Sn,-0.1228900979182468,0.26676435838801543,102,2
Hg,Ni,1.150394784294292,0.39619943260580354,102,2
Hg,Tl,0.01786637804927959,0.17253336837517477,102,2
Hg,Pb,-0.0147394875300213,0.24691324378590365,102,2
Hg,Mo,-8.45109044664838e-5,0.12302699724358872,102,2
Hg,Sb,0.3349572204368867,0.537565430003703,102,2
Hg,Sn,0.22667951989308133,0.26104637372102096,102,2
Ni,Tl,-0.05399333379146665,0.26574543403339657,102,2
Ni,Pb,0.5632521018981187,0.35823612206465505,102,2
Ni,Mo,0.06758226913251564,0.19338939717412937,102,2
Ni,Sb,-0.3677393926855519,0.71482047329058,102,2
Ni,Sn,0.31617028910540057,0.35970280943678407,102,2
Tl,Pb,-0.03439237782093984,0.11929717627837684,102,2
Tl,Mo,0.0037026672390823,0.05416370456227749,102,2
Tl,Sb,-0.13376098229049882,0.39844254748285823,102,2
Tl,Sn,0.00719954434120317,0.13448256737492936,102,2
Pb,Mo,0.02707469405486762,0.08364220908343953,102,2
Pb,Sb,0.3421648313527106,0.4977485217030707,102,2
Pb,Sn,-0.15884945301690667,0.19990612013665585,102,2
Mo,Sb,-0.10657121008588932,0.28917532651694877,102,2
Mo,Sn,0.00777987714870942,0.095811740666973,102,2
Sb,Sn,0.11654755285217357,0.5089999486158163,102,2
As,Cd,-0.00141965355992423,0.04546219411791385,103,2
As,Co,-0.0211956166163485,0.07399777545206501,103,2
As,Hg,0.04496540336086241,0.13580145592855428,103,2
As,Ni,-0.10650986157244358,0.13926285086255763,103,2
As,Tl,0.00704447884037806,0.04933580808008869,103,2
As,Pb,-8.805794290509539e-4,0.02498996008711486,103,2
As,Mo,-0.00590639622986932,0.05590898390778261,103,2
As,Sb,0.07129212387012562,0.2152814932189349,103,2
As,Sn,-0.03791149949470007,0.0978850542971159,103,2
Cd,Co,-0.00285872952629251,0.08335083966133068,103,2
Cd,Hg,-0.00329147324773426,0.15691090079117212,103,2
Cd,Ni,0.0020895588153067,0.15562462254773402,103,2
