variable,est,sd,trial,case
Ni,1.2536911155459731,0.5686524744450365,158,2
Hg,0.5444576901806792,0.49008790920379125,159,2
Ni,0.07607390697439342,0.5387826644162418,159,2
Hg,0.5731975067877713,0.4824028635102545,160,2
Ni,0.4272288582393333,0.5723946031320842,160,2
Hg,0.012856031317022065,0.47752214711282326,161,2
Ni,-0.06510946804590212,0.5027434977754749,161,2
Hg,-0.09336332997476848,0.45045569973214783,162,2
Ni,0.22872714508560232,0.4957119177185328,162,2
Hg,0.3669674321333618,0.548684356915518,163,2
Ni,0.6482621259480768,0.8756156025749108,163,2
Hg,-0.20473168397521668,0.44523087664020533,164,2
Ni,0.037007754034814155,0.49336024807291917,164,2
Hg,0.609355300390634,0.5288053687395623,165,2
Ni,0.4204431505530071,0.6576340341711491,165,2
Hg,0.9267930633787773,0.4490766669606257,166,2
Ni,-0.009778419256199822,0.5399562891514192,166,2
Hg,0.711039890170905,0.494261321744137,167,2
Ni,0.7302197443839646,0.5499191813831426,167,2
Hg,0.7101716714699489,0.5196856336336128,168,2
Ni,0.2636727463128441,0.8098356112739143,168,2
Hg,0.48199807555003327,0.48192971777781446,169,2
Ni,0.21381390802767752,0.6174775924891331,169,2
Hg,-0.22081111715768476,0.3880850616996057,170,2
Ni,-0.1732958182602946,0.41604964181618964,170,2
Hg,1.1336419039505978,0.5319100733578626,171,2
Ni,-0.4883940609443167,0.5406654314789548,171,2
Hg,0.3036605452196728,0.5313005811094118,172,2
Ni,0.16352697100010705,0.6655788439890329,172,2
Hg,0.504490973950289,0.504212916459652,173,2
Ni,0.2695840173684356,0.6588904348942045,173,2
Hg,-0.13781054518286595,0.5458711796056016,174,2
Ni,-0.2945560581785225,0.6516093748654915,174,2
Hg,0.926868905598448,0.5658462414088833,175,2
Ni,1.0524376965325688,0.6155688797190239,175,2
Hg,0.11961114954244767,0.4667259862310809,176,2
Ni,1.1310586178486002,0.5797196032235712,176,2
Hg,0.7966085017237639,0.4555721667475094,177,2
Ni,1.041683010271016,0.5118147034154573,177,2
Hg,-0.035669398452114365,0.4727344162267805,178,2
Ni,0.7332605837734789,0.6662237823154801,178,2
Hg,-0.3491558755804407,0.4777301289927222,179,2
Ni,0.3090296486281092,0.5633035807736245,179,2
