variable,PIP,trial,case
Cd,0.0562,49,1
Co,0.24504,49,1
Hg,1,49,1
Ni,1,49,1
Tl,0.105,49,1
Pb,0.09796,49,1
Mo,0.259,49,1
Sb,1,49,1
Sn,0.86444,49,1
As,0.1396,5,1
Cd,0.11764,5,1
Co,0.06844,5,1
Hg,1,5,1
Ni,1,5,1
Tl,0.1482,5,1
Pb,0.14624,5,1
Mo,0.09144,5,1
Sb,1,5,1
Sn,0.80748,5,1
As,0.10036,50,1
Cd,0.16328,50,1
Co,0.37508,50,1
Hg,1,50,1
Ni,0.9964,50,1
Tl,0.11832,50,1
Pb,0.40672,50,1
Mo,0.15692,50,1
Sb,1,50,1
Sn,0.92332,50,1
As,0.56184,51,1
Cd,0.8442,51,1
Co,0.47304,51,1
Hg,1,51,1
Ni,1,51,1
Tl,0.21812,51,1
Pb,0.41732,51,1
Mo,0.24676,51,1
Sb,1,51,1
Sn,0.97676,51,1
As,0.213,52,1
Cd,0.19984,52,1
Co,0.29636,52,1
Hg,1,52,1
Ni,1,52,1
Tl,0.517,52,1
Pb,0.15176,52,1
Mo,0.09336,52,1
Sb,1,52,1
Sn,0.9864,52,1
As,0.06456,53,1
Cd,0.03972,53,1
Co,0.04952,53,1
Hg,1,53,1
Ni,1,53,1
Tl,0.06064,53,1
Pb,0.125,53,1
Mo,0.02932,53,1
Sb,1,53,1
Sn,0.66648,53,1
As,0.17264,54,1
Cd,0.90148,54,1
Co,0.44004,54,1
Hg,1,54,1
Ni,1,54,1
Tl,0.37444,54,1
Pb,0.15372,54,1
Mo,0.11208,54,1
Sb,1,54,1
Sn,0.99856,54,1
As,0.11616,55,1
Cd,0.05872,55,1
Co,0.09544,55,1
Hg,1,55,1
Ni,1,55,1
Tl,0.07352,55,1
Pb,0.09484,55,1
Mo,0.04764,55,1
Sb,1,55,1
Sn,0.17264,55,1
As,0.21552,56,1
Cd,0.21392,56,1
Co,0.70432,56,1
Hg,0.9988,56,1
Ni,0.98832,56,1
Tl,0.25432,56,1
Pb,0.236,56,1
Mo,0.14604,56,1
Sb,1,56,1
Sn,0.99036,56,1
As,0.21932,57,1
Cd,0.24848,57,1
Co,0.25936,57,1
Hg,1,57,1
Ni,1,57,1
Tl,0.64008,57,1
Pb,0.2376,57,1
Mo,0.44312,57,1
Sb,1,57,1
Sn,0.9988,57,1
As,0.05132,58,1
Cd,0.28328,58,1
Co,0.07344,58,1
Hg,1,58,1
Ni,1,58,1
Tl,0.03516,58,1
Pb,0.05308,58,1
Mo,0.09216,58,1
Sb,1,58,1
Sn,0.15536,58,1
As,0.35052,59,1
Cd,0.13,59,1
Co,0.31696,59,1
Hg,0.999,59,1
Ni,1,59,1
Tl,0.173,59,1
Pb,0.09028,59,1
Mo,0.11624,59,1
Sb,1,59,1
Sn,0.99156,59,1
As,0.06944,6,1
Cd,0.05392,6,1
Co,0.15484,6,1
Hg,1,6,1
Ni,1,6,1
Tl,0.0982,6,1
Pb,0.08504,6,1
Mo,0.02992,6,1
Sb,1,6,1
Sn,0.13144,6,1
As,0.28652,60,1
Cd,0.203,60,1
Co,0.76556,60,1
Hg,1,60,1
Ni,0.99824,60,1
Tl,0.578,60,1
Pb,0.46408,60,1
Mo,0.31724,60,1
Sb,1,60,1
Sn,0.6368,60,1
As,0.08472,61,1
Cd,0.19636,61,1
Co,0.3168,61,1
Hg,1,61,1
Ni,1,61,1
Tl,0.28964,61,1
Pb,0.47096,61,1
Mo,0.15948,61,1
Sb,1,61,1
Sn,0.59816,61,1
As,0.65496,62,1
Cd,0.77404,62,1
Co,0.45856,62,1
Hg,1,62,1
Ni,1,62,1
Tl,0.36588,62,1
Pb,0.92808,62,1
Mo,0.57956,62,1
Sb,1,62,1
Sn,0.85208,62,1
As,0.04324,63,1
Cd,0.07392,63,1
Co,0.17052,63,1
Hg,1,63,1
Ni,1,63,1
Tl,0.04236,63,1
