z1,z2,est,sd,trial,case
As,Co,-0.0211956166163485,0.07399777545206501,103,2
As,Hg,0.04496540336086241,0.13580145592855428,103,2
As,Ni,-0.10650986157244358,0.13926285086255763,103,2
As,Tl,0.007044478840378066,0.04933580808008869,103,2
As,Pb,-8.805794290509539e-4,0.02498996008711486,103,2
As,Mo,-0.005906396229869326,0.05590898390778261,103,2
As,Sb,0.07129212387012562,0.21528149321893486,103,2
As,Sn,-0.037911499494700074,0.0978850542971159,103,2
Cd,Co,-0.002858729526292514,0.08335083966133068,103,2
Cd,Hg,-0.0032914732477342667,0.15691090079117212,103,2
Cd,Ni,0.0020895588153067024,0.15562462254773402,103,2
Cd,Tl,0.014079699007748303,0.05519827022221962,103,2
Cd,Pb,-0.002226771273083461,0.027962119849163483,103,2
Cd,Mo,0.0065613548961063195,0.06300742479390468,103,2
Cd,Sb,-0.14928648416029056,0.24646471903822667,103,2
Cd,Sn,-0.026443024498489898,0.1096022945417412,103,2
Co,Hg,0.22048975858567754,0.23771009249163202,103,2
Co,Ni,0.18915702974816817,0.23818467963576814,103,2
Co,Tl,-0.007356667052248911,0.0905740654710539,103,2
Co,Pb,0.004794867064957353,0.04625286123694595,103,2
Co,Mo,-0.0015883719382168149,0.10249753164891506,103,2
Co,Sb,0.03594183948378182,0.3640521791200166,103,2
Co,Sn,-0.11366002846522028,0.1724072908359295,103,2
Hg,Ni,-0.013409918136393806,0.3081800406431177,103,2
Hg,Tl,0.020724868817959763,0.17128724132241643,103,2
Hg,Pb,0.004998675407299924,0.0925726808627749,103,2
Hg,Mo,0.1670411054422578,0.17923744708705053,103,2
Hg,Sb,0.732886760334245,0.40166206455734416,103,2
Hg,Sn,0.16183219028450413,0.254461180430346,103,2
Ni,Tl,-0.09807616910879746,0.1704491638084449,103,2
Ni,Pb,-0.019273494146113013,0.09262564728732157,103,2
Ni,Mo,0.0823559377115286,0.18159842742037444,103,2
Ni,Sb,0.5138108494201092,0.4361406795634956,103,2
Ni,Sn,-0.18922670575782652,0.2637138208911825,103,2
Tl,Pb,0.0015932545743659876,0.030277173668874398,103,2
Tl,Mo,-0.01783771288274849,0.06850391829610938,103,2
Tl,Sb,0.04080494461395401,0.2727781711747262,103,2
Tl,Sn,-0.031097784784551052,0.12024661548851061,103,2
Pb,Mo,-0.003314584381955754,0.0348179151019392,103,2
Pb,Sb,-6.818641016450577e-4,0.15856623578265702,103,2
Pb,Sn,-0.0023479602809639566,0.06206046321256628,103,2
Mo,Sb,0.251680309583322,0.2729147689356764,103,2
Mo,Sn,-0.08451950013142495,0.13098837358721593,103,2
Sb,Sn,-0.18963081614806176,0.3557182349347671,103,2
As,Cd,8.409366788653116e-4,0.011334834079757555,104,2
As,Co,8.098518276167255e-5,0.009687573454066272,104,2
As,Hg,-0.0030210338461849062,0.052022185888432854,104,2
As,Ni,-0.00606256050364351,0.04740249215086903,104,2
As,Tl,5.06261464781943e-4,0.013693432015455675,104,2
As,Pb,7.405074747199869e-4,0.011216376073272808,104,2
As,Mo,0.005205633913097696,0.03581008252806274,104,2
As,Sb,0.014173224603547308,0.09227729421288776,104,2
As,Sn,0.002524201222372291,0.01915677592914042,104,2
Cd,Co,-8.746849057361672e-5,0.017440783755527614,104,2
Cd,Hg,-0.027624375712399285,0.09213192144158956,104,2
Cd,Ni,-0.003263432978095615,0.08470769531122281,104,2
Cd,Tl,-0.0019066943756071986,0.024638506600670806,104,2
Cd,Pb,-2.2769369763731007e-4,0.020189374644307208,104,2
Cd,Mo,3.3232484986589483e-4,0.06392554424687034,104,2
Cd,Sb,-0.03385434338135296,0.15888194219588347,104,2
