variable,fixedat1,fixedat2,est,sd,trial,case
Ni,Tl,Hg,-0.18777031489883722,0.2883759737865516,1377,14
Tl,Hg,Ni,0.007469062621885847,0.17768155262063817,1377,14
Hg,Ni,Tl,-0.25599664235292074,0.29148231682532905,1378,14
Ni,Tl,Hg,-0.25738925607721796,0.29494089534358225,1378,14
Tl,Hg,Ni,0.06506873873208008,0.21460593675254294,1378,14
Hg,Ni,Tl,0.3262452227956514,0.3144463605348186,1379,14
Ni,Tl,Hg,0.3136498425508534,0.341430919707348,1379,14
Tl,Hg,Ni,-0.010271046468255829,0.25646914430357837,1379,14
Hg,Ni,Tl,0.06426800612727757,0.3475832114038768,1380,14
Ni,Tl,Hg,0.24562166914725658,0.34597306283948326,1380,14
Tl,Hg,Ni,0.10324582548988115,0.24967415001096036,1380,14
Hg,Ni,Tl,0.12876579438847058,0.29062177118212035,1381,14
Ni,Tl,Hg,0.10816792543517373,0.27847156877192875,1381,14
Tl,Hg,Ni,-0.006303274041250084,0.20265902799741592,1381,14
Hg,Ni,Tl,-0.19098305581610475,0.30995422109396104,1382,14
Ni,Tl,Hg,-0.26442806850293277,0.3211033844293575,1382,14
Tl,Hg,Ni,-0.02236751707872031,0.2037334196128041,1382,14
Hg,Ni,Tl,0.22475224211248346,0.2867013191514234,1383,14
Ni,Tl,Hg,0.1979705183891114,0.2880010535189459,1383,14
Tl,Hg,Ni,0.008173353873681677,0.16164283388252318,1383,14
Hg,Ni,Tl,0.4198252540385905,0.3849169950207631,1384,14
Ni,Tl,Hg,0.4276555839224456,0.37620835405205993,1384,14
Tl,Hg,Ni,0.115357587582964,0.22918612993948262,1384,14
Hg,Ni,Tl,-0.03245757048962172,0.24772795809549328,1385,14
Ni,Tl,Hg,-0.03455468100750636,0.2450220514824948,1385,14
Tl,Hg,Ni,0.009714059867274472,0.12176030779054363,1385,14
Hg,Ni,Tl,-0.13227358417283774,0.2596400174071587,1386,14
Ni,Tl,Hg,-0.12950288777261854,0.24784380943049653,1386,14
Tl,Hg,Ni,0.013177053205091216,0.14536174403343022,1386,14
Hg,Ni,Tl,-0.10907343838147643,0.3116010653105687,1387,14
Ni,Tl,Hg,-0.028836972067602495,0.3132672660031072,1387,14
Tl,Hg,Ni,0.07291258307624382,0.32055687234875624,1387,14
Hg,Ni,Tl,0.2436676163731546,0.32596274459115876,1388,14
Ni,Tl,Hg,0.4589135478248352,0.3362140866655318,1388,14
Tl,Hg,Ni,0.12956529121597082,0.27054105965429265,1388,14
Hg,Ni,Tl,0.01762975407629508,0.29355085488413185,1389,14
Ni,Tl,Hg,0.0692904193402395,0.2937449001542521,1389,14
Tl,Hg,Ni,0.020740564437461195,0.2429651414621091,1389,14
Hg,Ni,Tl,0.27077678771857183,0.3234952928154923,1390,14
Ni,Tl,Hg,-0.022466402527884455,0.3454605223092462,1390,14
Tl,Hg,Ni,-0.20698891787064344,0.2450781250647303,1390,14
Hg,Ni,Tl,0.030212515568508458,0.3245114462756051,1391,14
Ni,Tl,Hg,0.18069924803368487,0.3559065233133344,1391,14
Tl,Hg,Ni,0.00599304269269485,0.2680681216596029,1391,14
Hg,Ni,Tl,0.03956976839960724,0.2680993063977347,1392,14
Ni,Tl,Hg,-0.051788201317929605,0.2678044894877623,1392,14
Tl,Hg,Ni,-0.08452184874448498,0.2150543786124113,1392,14
Hg,Ni,Tl,0.12836170757801568,0.3557672461097844,1393,14
Ni,Tl,Hg,0.16184378312288317,0.4027771963040626,1393,14
Tl,Hg,Ni,2.2892894454784596e-4,0.3732042813127866,1393,14
Hg,Ni,Tl,0.07919671463507783,0.271235830844984,1394,14
Ni,Tl,Hg,0.08057783596363066,0.26679342127952693,1394,14
Tl,Hg,Ni,0.0032141993183456563,0.11878487128787382,1394,14
Hg,Ni,Tl,0.2057007189438549,0.2935726777171044,1395,14
Ni,Tl,Hg,0.13218138807761726,0.3027661084701859,1395,14
Tl,Hg,Ni,-0.12213445423115221,0.26668607086046053,1395,14
Hg,Ni,Tl,-0.21764661480097391,0.36458719677175916,1396,14
Ni,Tl,Hg,-0.5997993276057896,0.38934369128692775,1396,14
Tl,Hg,Ni,-0.29870281851202396,0.3558110809259174,1396,14
Hg,Ni,Tl,0.5777293089948685,0.3626419200472526,1397,14
Ni,Tl,Hg,0.3608815861405237,0.37376700765322135,1397,14
Tl,Hg,Ni,0.08942946228470383,0.34743346832788885,1397,14
Hg,Ni,Tl,-0.010739189030727125,0.2802763774171698,1398,14
Ni,Tl,Hg,-0.02757573751650888,0.28399322072953387,1398,14
Tl,Hg,Ni,0.0020203771456173136,0.19342278153195497,1398,14
Hg,Ni,Tl,0.10136476638420078,0.34958312301394406,1399,14
Ni,Tl,Hg,-0.013489165464259045,0.34130926776294335,1399,14
Tl,Hg,Ni,-0.10940391795494442,0.3375854476913973,1399,14
Hg,Ni,Tl,-0.12756325738289576,0.263392252688969,1400,14
Ni,Tl,Hg,-0.024300910312222257,0.26166240039731586,1400,14
Tl,Hg,Ni,-0.01777022133000239,0.19097984339191537,1400,14
Hg,Ni,Tl,-0.34114306746746115,0.307204934065783,1401,15
Ni,Tl,Hg,-0.34883977722007975,0.3005902121927804,1401,15
Tl,Hg,Ni,0.015509090097659328,0.15964994403626637,1401,15
Hg,Ni,Tl,-0.07171593149361666,0.5618347481995551,1402,15
Ni,Tl,Hg,0.9562803834658826,0.5127448986818525,1402,15
Tl,Hg,Ni,0.9673712316580123,0.6258186837657823,1402,15
Hg,Ni,Tl,-0.1473210779529719,0.3158258811288265,1403,15
Ni,Tl,Hg,-0.18724542853958326,0.3303027082890227,1403,15
Tl,Hg,Ni,-0.07599345330253016,0.24260085564891132,1403,15
Hg,Ni,Tl,-0.038890327467649755,0.28512430112733744,1404,15
Ni,Tl,Hg,-0.029061024992269147,0.28385499885911536,1404,15
Tl,Hg,Ni,-0.0013982585097060962,0.10476152868988327,1404,15
Hg,Ni,Tl,0.0700810647432819,0.30880394614023765,1405,15
Ni,Tl,Hg,0.09544746435809515,0.30838824830637296,1405,15
Tl,Hg,Ni,-0.017596022460703686,0.20858241016691378,1405,15
Hg,Ni,Tl,-0.039959344956805865,0.2740654389802607,1406,15
Ni,Tl,Hg,0.006578800649226224,0.26952362522313683,1406,15
Tl,Hg,Ni,0.0035624485695464614,0.1722504327852865,1406,15
Hg,Ni,Tl,0.2689248456387787,0.3430172194386592,1407,15
Ni,Tl,Hg,0.09861277727536866,0.3315369875937785,1407,15
Tl,Hg,Ni,0.2338229901547093,0.3575022764317171,1407,15
Hg,Ni,Tl,-0.3739528159166068,0.2957721798798345,1408,15
Ni,Tl,Hg,-0.38397340334828334,0.2982697512742549,1408,15
Tl,Hg,Ni,0.05580735475134713,0.23578527454065157,1408,15
Hg,Ni,Tl,0.2888981889736586,0.31684001681145474,1409,15
Ni,Tl,Hg,0.24775599859269715,0.29829641643262833,1409,15
Tl,Hg,Ni,-0.026292591852933533,0.2379573106021035,1409,15
Hg,Ni,Tl,0.1192694128325833,0.3784734840729488,1410,15
Ni,Tl,Hg,0.0038026128694439443,0.39731331043831003,1410,15
Tl,Hg,Ni,0.027575614688581496,0.31246844507153365,1410,15
Hg,Ni,Tl,-0.24461185156179477,0.3057930110073318,1411,15
Ni,Tl,Hg,-0.20207103065520027,0.2812263854813097,1411,15
Tl,Hg,Ni,-0.04082268327001737,0.16725163243909655,1411,15
Hg,Ni,Tl,0.07576744331133334,0.39314872862957106,1412,15
Ni,Tl,Hg,0.07011232720074467,0.33659070644487304,1412,15
Tl,Hg,Ni,0.015210257687641615,0.3821855384451981,1412,15
Hg,Ni,Tl,0.20297433153294797,0.38955541160769575,1413,15
Ni,Tl,Hg,0.08661801336835229,0.40237694012869474,1413,15
Tl,Hg,Ni,0.3326002002351438,0.34890556233547404,1413,15
Hg,Ni,Tl,-0.25244447046133045,0.3753056040433135,1414,15
Ni,Tl,Hg,-0.2714860931752425,0.4107139296170773,1414,15
Tl,Hg,Ni,-0.09447698287122508,0.28192974811854876,1414,15
Hg,Ni,Tl,0.03199145012544058,0.36318094532180173,1415,15
Ni,Tl,Hg,0.05713277094184743,0.35761338295038075,1415,15
Tl,Hg,Ni,0.008997324844174148,0.24878934026604152,1415,15
Hg,Ni,Tl,0.1780648958332689,0.364881830482379,1416,15
Ni,Tl,Hg,0.11387337160315969,0.38106452572248634,1416,15
Tl,Hg,Ni,-0.020765877263716703,0.26331695411839773,1416,15
Hg,Ni,Tl,-0.014309315646959142,0.26040992672045027,1417,15
Ni,Tl,Hg,-0.0870787766116825,0.24785007266939615,1417,15
Tl,Hg,Ni,0.01750203732158928,0.17333190862121053,1417,15
Hg,Ni,Tl,-0.3371859951462426,0.32229627012279044,1418,15
Ni,Tl,Hg,-0.3519418235415692,0.3528619550277782,1418,15
Tl,Hg,Ni,0.10501936752150742,0.25691141824112157,1418,15
Hg,Ni,Tl,0.1424227625329184,0.2859099952158316,1419,15
Ni,Tl,Hg,0.183983845299446,0.2769367722467319,1419,15
Tl,Hg,Ni,0.1320361062067228,0.2729314234244724,1419,15
Hg,Ni,Tl,-0.01236144026965924,0.27612875066464426,1420,15
Ni,Tl,Hg,-0.17032760624966414,0.26904819715633466,1420,15
Tl,Hg,Ni,-0.00546620801807407,0.2163916074714114,1420,15
Hg,Ni,Tl,-0.29014363338584115,0.33717237494659136,1421,15
Ni,Tl,Hg,-0.32116452714967636,0.31898159239268686,1421,15
Tl,Hg,Ni,-0.331804791400363,0.3259879898727848,1421,15
Hg,Ni,Tl,0.21598859406861948,0.2751173510633722,1422,15
Ni,Tl,Hg,0.22481193312677128,0.27322156373365436,1422,15
Tl,Hg,Ni,0.019221793077874416,0.09324404119404309,1422,15
Hg,Ni,Tl,-0.25628005232267714,0.5656920841620401,1423,15
Ni,Tl,Hg,-0.7303265684419706,0.5504479088205377,1423,15
Tl,Hg,Ni,-0.2669414613420509,0.598223768627573,1423,15
Hg,Ni,Tl,0.01717413168077453,0.2559765034374659,1424,15
Ni,Tl,Hg,0.008868398981331183,0.2549432475221981,1424,15
Tl,Hg,Ni,-0.004670305110318296,0.15084941650491943,1424,15
Hg,Ni,Tl,0.47502878449796304,0.39501719923499085,1425,15
Ni,Tl,Hg,0.7500104028141767,0.3618062832988699,1425,15
Tl,Hg,Ni,0.387621491854933,0.4076923627689758,1425,15
Hg,Ni,Tl,0.04903242999991786,0.4167403179716744,1426,15
Ni,Tl,Hg,0.3266905505024029,0.40091443898747314,1426,15
Tl,Hg,Ni,0.2565418926862284,0.4261934355356421,1426,15
Hg,Ni,Tl,-0.031163106422654074,0.2960949774134416,1427,15
Ni,Tl,Hg,0.01151360705695037,0.2848136229142898,1427,15
Tl,Hg,Ni,0.09423797512266585,0.22204386923844963,1427,15
Hg,Ni,Tl,-0.14146893829352614,0.2844842401882989,1428,15
Ni,Tl,Hg,-0.11262146599951173,0.2776831040324598,1428,15
Tl,Hg,Ni,-0.04603939394391654,0.17988858631793436,1428,15
Hg,Ni,Tl,-0.5038961329333143,0.4371186489725977,1429,15
Ni,Tl,Hg,-0.5285408183487652,0.47415059067196896,1429,15
Tl,Hg,Ni,-0.07503689823930682,0.2943715403703125,1429,15
Hg,Ni,Tl,0.12170224453696843,0.3204338991502427,1430,15
Ni,Tl,Hg,0.10477886583815366,0.3325552806973598,1430,15
Tl,Hg,Ni,-0.02370764642304568,0.26880889033548,1430,15
Hg,Ni,Tl,-0.018186498831639142,0.30332358453344976,1431,15
Ni,Tl,Hg,0.04906174586513057,0.3128053607661399,1431,15
Tl,Hg,Ni,0.08304747952196845,0.20962221413536744,1431,15
Hg,Ni,Tl,-0.04553479816474404,0.30334413974923113,1432,15
Ni,Tl,Hg,0.03879345666684575,0.2913887768005986,1432,15
Tl,Hg,Ni,-0.13558187683833456,0.23828314703338466,1432,15
Hg,Ni,Tl,-0.19667098368372482,0.6004482153291131,1433,15
Ni,Tl,Hg,0.1519775290502965,0.7647519243550568,1433,15
Tl,Hg,Ni,0.300399142741969,0.7387925193274595,1433,15
Hg,Ni,Tl,-0.0016508081521839912,0.3874728023654764,1434,15
Ni,Tl,Hg,-0.021739688136029223,0.39721015036593676,1434,15
Tl,Hg,Ni,0.08722152270596784,0.2992264834648917,1434,15
Hg,Ni,Tl,-0.508825269571946,0.32292560565918865,1435,15
Ni,Tl,Hg,-0.35061153243968235,0.2922875583148526,1435,15
Tl,Hg,Ni,-0.1848646636929212,0.24048712129481217,1435,15
Hg,Ni,Tl,-0.030543598028166752,0.44198091077122165,1436,15
Ni,Tl,Hg,0.11095259148821013,0.4434962783220199,1436,15
Tl,Hg,Ni,0.10117359543755233,0.3271789706592456,1436,15
Hg,Ni,Tl,-0.5126789776192009,0.37731191110249496,1437,15
Ni,Tl,Hg,-0.6165964958547416,0.40031318795575127,1437,15
