variable,PIP,trial,df,case
LBX074LA,0.17008,34,1,1
LBX099LA,0.14864,34,1,1
LBX138LA,0.16016,34,1,1
LBX153LA,0.25408,34,1,1
LBX170LA,0.93584,34,1,1
LBX180LA,0.27664,34,1,1
LBX187LA,0.16304,34,1,1
LBX194LA,0.24832,34,1,1
LBXPCBLA,0.07264,34,1,1
LBXHXCLA,0.1344,34,1,1
LBX118LA,0.23888,34,1,1
LBXD03LA,0.104,34,1,1
LBXD05LA,1,34,1,1
LBXD07LA,0.20496,34,1,1
LBXF03LA,0.99664,34,1,1
LBXF04LA,0.12944,34,1,1
LBXF05LA,0.09088,34,1,1
LBXF08LA,0.07008,34,1,1
LBX074LA,0.6208,35,2,1
LBX099LA,0.31712,35,2,1
LBX138LA,0.1896,35,2,1
LBX153LA,0.1368,35,2,1
LBX170LA,0.21296,35,2,1
LBX180LA,0.17376,35,2,1
LBX187LA,0.1376,35,2,1
LBX194LA,0.94848,35,2,1
LBXPCBLA,0.4888,35,2,1
LBXHXCLA,0.11904000000000001,35,2,1
LBX118LA,0.5064,35,2,1
LBXD03LA,0.0976,35,2,1
LBXD05LA,0.9032,35,2,1
LBXD07LA,0.11504,35,2,1
LBXF03LA,0.18416,35,2,1
LBXF04LA,0.99872,35,2,1
LBXF05LA,0.32592,35,2,1
LBXF08LA,0.0544,35,2,1
LBX074LA,0.81312,36,3,1
LBX099LA,0.52848,36,3,1
LBX138LA,0.39584,36,3,1
LBX153LA,0.552,36,3,1
LBX170LA,0.14976,36,3,1
LBX180LA,0.21824,36,3,1
LBX187LA,0.1904,36,3,1
LBX194LA,0.9784,36,3,1
LBXPCBLA,0.48704,36,3,1
LBXHXCLA,0.13344,36,3,1
LBX118LA,0.13648,36,3,1
LBXD03LA,0.11616,36,3,1
LBXD05LA,0.99728000000000006,36,3,1
LBXD07LA,0.05472,36,3,1
LBXF03LA,0.03168,36,3,1
LBXF04LA,1,36,3,1
LBXF05LA,0.07264,36,3,1
LBXF08LA,0.05008,36,3,1
LBX074LA,0.69728,37,2,1
LBX099LA,0.3744,37,2,1
LBX138LA,0.3088,37,2,1
LBX153LA,0.3104,37,2,1
LBX170LA,0.664,37,2,1
LBX180LA,0.40064,37,2,1
LBX187LA,0.19184,37,2,1
LBX194LA,0.99856,37,2,1
LBXPCBLA,0.95968,37,2,1
LBXHXCLA,0.34288,37,2,1
LBX118LA,0.20544,37,2,1
LBXD03LA,0.08624,37,2,1
LBXD05LA,0.39088,37,2,1
LBXD07LA,0.87792,37,2,1
LBXF03LA,0.07104,37,2,1
LBXF04LA,0.99712,37,2,1
LBXF05LA,0.14048,37,2,1
LBXF08LA,0.04,37,2,1
LBX074LA,0.23584,38,3,1
LBX099LA,0.06704,38,3,1
LBX138LA,0.08256,38,3,1
LBX153LA,0.08512,38,3,1
LBX170LA,0.2176,38,3,1
LBX180LA,0.09984,38,3,1
LBX187LA,0.1944,38,3,1
LBX194LA,0.992,38,3,1
LBXPCBLA,0.4824,38,3,1
LBXHXCLA,0.19024,38,3,1
LBX118LA,0.27264,38,3,1
LBXD03LA,0.07216,38,3,1
LBXD05LA,0.93344,38,3,1
LBXD07LA,0.14416,38,3,1
LBXF03LA,0.07008,38,3,1
LBXF04LA,0.94352,38,3,1
LBXF05LA,0.13728,38,3,1
LBXF08LA,0.06176,38,3,1
LBX074LA,0.91968,39,1,1
LBX099LA,0.09344,39,1,1
LBX138LA,0.11312,39,1,1
LBX153LA,0.14464,39,1,1
