size,case,trial,variable,p
Large,1,6,Hg,1.3828673729462085e-7
Large,1,6,Ni*,1.2386821593893896e-8
Large,1,6,Sb^2,9.316023062200315e-19
Large,1,6,Sn*,0.00404305289006291
Small,1,7,Int,0.2010464593151875
Small,1,7,Hg,0.07011484701313117
Small,1,7,Ni*,8.035088146073227e-4
Small,1,7,Sb^2,5.63245089310379e-4
Small,1,7,Sn*,0.00159797314773115
Large,1,7,Int,0.25606388075543823
Large,1,7,Hg,2.3159307690508134e-9
Large,1,7,Ni*,2.3960929044502576e-16
Large,1,7,Sb^2,3.6556849338247424e-13
Large,1,7,Sn*,0.02722341625188701
Small,1,8,Int,0.8296525612500865
Small,1,8,Hg,0.00247486079841895
Small,1,8,Ni*,0.00942107410315022
Small,1,8,Sb^2,3.2090811916862923e-6
Small,1,8,Sn*,0.06723933705974595
Large,1,8,Int,0.04116367664850277
Large,1,8,Hg,2.6573815676668123e-8
Large,1,8,Ni*,2.3053340998054246e-10
Large,1,8,Sb^2,2.316374390726519e-16
Large,1,8,Sn*,1.383467755819321e-5
Small,1,9,Int,0.21630026082630932
Small,1,9,Hg,9.458070175174864e-4
Small,1,9,Ni*,5.429439410633365e-5
Small,1,9,Sb^2,0.06163184878089725
Small,1,9,Sn*,0.8474857466378656
Large,1,9,Int,0.02229438145653488
Large,1,9,Hg,3.4057047761833566e-8
Large,1,9,Ni*,2.8333275777430605e-15
Large,1,9,Sb^2,1.2468859789953102e-10
Large,1,9,Sn*,1.343629040752755e-4
Small,1,10,Int,0.33049462271594865
Small,1,10,Hg,0.10329319126458
Small,1,10,Ni*,0.00110088584091086
Small,1,10,Sb^2,7.228211981507667e-4
Small,1,10,Sn*,0.27635922469123364
Large,1,10,Int,0.1950330815656818
Large,1,10,Hg,2.5791167921935725e-7
Large,1,10,Ni*,2.9024363946074163e-10
Large,1,10,Sb^2,4.8996210760555694e-11
Large,1,10,Sn*,4.8312216975823286e-4
Small,1,11,Int,0.15118412717538848
Small,1,11,Hg,0.0084153603960888
Small,1,11,Ni*,6.414222973372057e-4
Small,1,11,Sb^2,3.930142159285304e-7
Small,1,11,Sn*,0.19211129947001732
Large,1,11,Int,0.4930332535590807
Large,1,11,Hg,1.6738566547445302e-9
Large,1,11,Ni*,8.720525020457549e-11
Large,1,11,Sb^2,4.332053723481842e-12
Large,1,11,Sn*,3.4229408047150824e-4
Small,1,12,Int,0.41688165693412416
Small,1,12,Hg,0.2571501264438412
Small,1,12,Ni*,0.04299115733810843
Small,1,12,Sb^2,7.547732720002248e-5
Small,1,12,Sn*,0.00479517076448126
Large,1,12,Int,0.03408066090144945
Large,1,12,Hg,1.1955915129904588e-10
Large,1,12,Ni*,6.508542662752662e-6
Large,1,12,Sb^2,1.1997972419968432e-16
Large,1,12,Sn*,0.02409952509332212
Small,1,13,Int,0.6286026899493211
Small,1,13,Hg,0.04092806949433161
Small,1,13,Ni*,0.00461220319456804
Small,1,13,Sb^2,0.00164772259832682
Small,1,13,Sn*,0.45596921358525233
Large,1,13,Int,0.07135823940440562
Large,1,13,Hg,1.6837064380490446e-6
Large,1,13,Ni*,8.790689385797884e-12
Large,1,13,Sb^2,3.632016918185098e-9
Large,1,13,Sn*,5.246742341506732e-4
Small,1,14,Int,0.8331455274969437
Small,1,14,Hg,0.00171101914551256
Small,1,14,Ni*,6.031187885107457e-5
Small,1,14,Sb^2,1.1208666166858988e-4
Small,1,14,Sn*,0.00902115267067109
Large,1,14,Int,0.03723217251842648
Large,1,14,Hg,1.1250551671607578e-5
Large,1,14,Ni*,5.690280142092198e-15
