mod,case,size,var,sign,sensitivity
Naive MLR,9,Small,Sb,TRUE,0.06
Naive MLR,9,Small,Sn,TRUE,0.25
Naive MLR,9,Small,Tl,FALSE,0.03
Naive MLR,10,Large,As,FALSE,0.04
Naive MLR,10,Large,Cd,FALSE,0.04
Naive MLR,10,Large,Co,TRUE,0.07
Naive MLR,10,Large,Hg,TRUE,1
Naive MLR,10,Large,Mo,FALSE,0.05
Naive MLR,10,Large,Ni,TRUE,1
Naive MLR,10,Large,Pb,FALSE,0.03
Naive MLR,10,Large,Sb,TRUE,0.41
Naive MLR,10,Large,Sn,TRUE,0.79
Naive MLR,10,Large,Tl,FALSE,0.06
Naive MLR,10,Small,As,FALSE,0.04
Naive MLR,10,Small,Cd,FALSE,0.04
Naive MLR,10,Small,Co,TRUE,0.05
Naive MLR,10,Small,Hg,TRUE,0.82
Naive MLR,10,Small,Mo,FALSE,0.08
Naive MLR,10,Small,Ni,TRUE,0.63
Naive MLR,10,Small,Pb,FALSE,0.06
Naive MLR,10,Small,Sb,TRUE,0.15
Naive MLR,10,Small,Sn,TRUE,0.35
Naive MLR,10,Small,Tl,FALSE,0.07
Naive MLR,11,Large,As,FALSE,0.06
Naive MLR,11,Large,Cd,FALSE,0.06
Naive MLR,11,Large,Co,TRUE,0.1
Naive MLR,11,Large,Hg,TRUE,1
Naive MLR,11,Large,Mo,FALSE,0.05
Naive MLR,11,Large,Ni,TRUE,0.99
Naive MLR,11,Large,Pb,FALSE,0.04
Naive MLR,11,Large,Sb,TRUE,0.55
Naive MLR,11,Large,Sn,TRUE,0.85
Naive MLR,11,Large,Tl,FALSE,0.05
Naive MLR,11,Small,As,FALSE,0.05
Naive MLR,11,Small,Cd,FALSE,0.03
Naive MLR,11,Small,Co,TRUE,0.04
Naive MLR,11,Small,Hg,TRUE,0.76
Naive MLR,11,Small,Mo,FALSE,0.04
Naive MLR,11,Small,Ni,TRUE,0.64
Naive MLR,11,Small,Pb,FALSE,0.04
Naive MLR,11,Small,Sb,TRUE,0.15
Naive MLR,11,Small,Sn,TRUE,0.26
Naive MLR,11,Small,Tl,FALSE,0.02
Naive MLR,12,Large,As,FALSE,0.07
Naive MLR,12,Large,Cd,FALSE,0.05
Naive MLR,12,Large,Co,TRUE,0.07
Naive MLR,12,Large,Hg,TRUE,1
Naive MLR,12,Large,Mo,FALSE,0.08
Naive MLR,12,Large,Ni,TRUE,1
Naive MLR,12,Large,Pb,FALSE,0.05
Naive MLR,12,Large,Sb,TRUE,0.43
Naive MLR,12,Large,Sn,TRUE,0.75
Naive MLR,12,Large,Tl,FALSE,0.04
Naive MLR,12,Small,As,FALSE,0.04
Naive MLR,12,Small,Cd,FALSE,0.14
Naive MLR,12,Small,Co,TRUE,0.06
Naive MLR,12,Small,Hg,TRUE,0.85
Naive MLR,12,Small,Mo,FALSE,0.07
Naive MLR,12,Small,Ni,TRUE,0.83
Naive MLR,12,Small,Pb,FALSE,0.05
Naive MLR,12,Small,Sb,TRUE,0.11
Naive MLR,12,Small,Sn,TRUE,0.27
Naive MLR,12,Small,Tl,FALSE,0.06
Naive MLR,13,Large,As,FALSE,0.08
Naive MLR,13,Large,Cd,FALSE,0.02
Naive MLR,13,Large,Co,TRUE,0.13
Naive MLR,13,Large,Hg,TRUE,1
Naive MLR,13,Large,Mo,FALSE,0.04
Naive MLR,13,Large,Ni,TRUE,1
Naive MLR,13,Large,Pb,FALSE,0.06
Naive MLR,13,Large,Sb,TRUE,0.42
Naive MLR,13,Large,Sn,TRUE,0.73
Naive MLR,13,Large,Tl,FALSE,0.03
Naive MLR,13,Small,As,FALSE,0.01
Naive MLR,13,Small,Cd,FALSE,0.06
Naive MLR,13,Small,Co,TRUE,0.07
Naive MLR,13,Small,Hg,TRUE,0.76
Naive MLR,13,Small,Mo,FALSE,0.04
Naive MLR,13,Small,Ni,TRUE,0.94
Naive MLR,13,Small,Pb,FALSE,0.07
Naive MLR,13,Small,Sb,TRUE,0.17
Naive MLR,13,Small,Sn,TRUE,0.22
Naive MLR,13,Small,Tl,FALSE,0.09
Naive MLR,14,Large,As,FALSE,0.04
Naive MLR,14,Large,Cd,FALSE,0.04
Naive MLR,14,Large,Co,FALSE,0.07
Naive MLR,14,Large,Hg,TRUE,1
Naive MLR,14,Large,Mo,FALSE,0.03
Naive MLR,14,Large,Ni,TRUE,1
Naive MLR,14,Large,Pb,FALSE,0.06
Naive MLR,14,Large,Sb,TRUE,0.48
Naive MLR,14,Large,Sn,TRUE,0.75
Naive MLR,14,Large,Tl,TRUE,0.04
Naive MLR,14,Small,As,FALSE,0.03
Naive MLR,14,Small,Cd,FALSE,0.05
Naive MLR,14,Small,Co,FALSE,0.06
Naive MLR,14,Small,Hg,TRUE,0.85
Naive MLR,14,Small,Mo,FALSE,0.06
Naive MLR,14,Small,Ni,TRUE,0.71
Naive MLR,14,Small,Pb,FALSE,0.1
Naive MLR,14,Small,Sb,TRUE,0.18
Naive MLR,14,Small,Sn,TRUE,0.2
Naive MLR,14,Small,Tl,TRUE,0.08
Naive MLR,15,Large,As,FALSE,0.04
Naive MLR,15,Large,Cd,FALSE,0.03
Naive MLR,15,Large,Co,FALSE,0.06
Naive MLR,15,Large,Hg,TRUE,1
Naive MLR,15,Large,Mo,FALSE,0.07
Naive MLR,15,Large,Ni,TRUE,1
Naive MLR,15,Large,Pb,FALSE,0.05
Naive MLR,15,Large,Sb,TRUE,0.38
Naive MLR,15,Large,Sn,TRUE,0.71
