var,p,case
age,3.7120963959818133e-4,9
bmi,0.8391413804381742,9
As,0.11221139274122097,9
Cd,0.39537135096337384,9
Co,0.6560224259551601,9
Hg,0.024773599188853083,9
Ni,7.789567052971755e-4,9
Tl,0.7915296157050078,9
Pb,0.9806482606964566,9
Mo,0.7873451708914123,9
Sb,0.4827585242021376,9
Sn,0.024934557555181303,9
(Intercept),0.011341002519321084,10
race2,0.7167999404834617,10
race3,0.0439181751492074,10
race4,0.08816533330606274,10
race5,0.5810536204943249,10
smoke1,0.046525642429734615,10
age,1.812641743188385e-6,10
bmi,0.04212412065985984,10
As,0.4715119566907773,10
Cd,0.03652129519345231,10
Co,0.9842423678674267,10
Hg,0.19408410933584222,10
Ni,0.09710345707582654,10
Tl,0.7166971951992649,10
Pb,0.5856525468126805,10
Mo,0.09994991407237913,10
Sb,1.7927170610824246e-4,10
Sn,0.6296112368031745,10
(Intercept),0.38038170231124346,11
race2,0.5856838108833293,11
race3,0.09921339563935155,11
race4,0.8840101798237321,11
race5,0.2556563919833323,11
smoke1,0.004875430434204789,11
age,0.03956368477929456,11
bmi,0.5700882791345421,11
As,0.597607509316038,11
Cd,0.6054182532821677,11
Co,0.6951164005394557,11
Hg,1.0906420616961328e-4,11
Ni,0.0010628706380391532,11
Tl,0.20072916219810602,11
Pb,0.22560914004684213,11
Mo,0.8388523266746216,11
Sb,0.13951334533133744,11
Sn,0.0010300476225881007,11
(Intercept),0.7146165674016495,12
race2,0.13476332049778214,12
race3,0.18034919896147217,12
race4,0.4230352623198609,12
race5,0.6785565248205889,12
smoke1,0.0117683024679455,12
age,0.013686471541503983,12
bmi,0.27462030717628444,12
As,0.11648544992626003,12
Cd,0.424526685196395,12
Co,0.7251708214000991,12
Hg,0.021681001694647335,12
Ni,0.010557070449217932,12
Tl,0.7255984248111146,12
Pb,0.6643917218761692,12
Mo,0.050991972984490506,12
Sb,0.5272781728263717,12
Sn,0.7015537851536141,12
(Intercept),0.6466821589957507,13
race2,0.6073167454803866,13
race3,0.7866146528378024,13
race4,0.23453364691903267,13
race5,0.03830719523286881,13
smoke1,0.5783570921283379,13
age,0.522428006679176,13
bmi,0.4443050098634541,13
As,0.4510087303326369,13
Cd,0.956524604124459,13
Co,0.6024704454428863,13
Hg,0.026819507086649194,13
Ni,0.24524059113941848,13
Tl,0.30559251658698405,13
Pb,0.27564936569902376,13
Mo,0.6034926180366087,13
Sb,0.02191822775238616,13
Sn,0.4798394729278168,13
(Intercept),0.40585091949003294,14
race2,0.019078255190070618,14
race3,0.4559904148331829,14
race4,0.036517842283980466,14
race5,0.0029280914463583173,14
smoke1,0.005402553551523851,14
age,0.02102799924627353,14
bmi,0.028976480439959006,14
As,0.9204439860086994,14
Cd,0.38100977832801575,14
Co,0.8835685932173649,14
Hg,0.006016466610266823,14
Ni,0.01568793804080396,14
Tl,0.7446943972904171,14
Pb,0.2482725391824149,14
Mo,0.8349166214132421,14
Sb,0.7924758859115187,14
Sn,0.34023211976437306,14
(Intercept),0.11412853132194153,15
race2,0.6940100112013767,15
race3,0.3189317547790111,15
