var,p,case
Pb,0.007384326927230341,27
Mo,0.9737183525138167,27
Sb,0.08243440337270083,27
Sn,0.22571621535626885,27
(Intercept),0.00884091026357968,28
race2,0.8875611304751956,28
race3,0.5527200901522403,28
race4,0.9117211557583649,28
race5,0.35535466811317684,28
smoke1,3.682801241070384e-6,28
age,4.039196027517571e-8,28
bmi,0.040785800228211204,28
As,0.5898121418444366,28
Cd,0.014100181429061862,28
Co,0.8936028415633678,28
Hg,9.962479755444183e-6,28
Ni,6.823442792873988e-8,28
Tl,0.3977602112140358,28
Pb,0.731890588065707,28
Mo,0.4806858181926881,28
Sb,0.7094091166477747,28
Sn,0.00418387112483672,28
(Intercept),0.030992368733453887,29
race2,0.8896137347552361,29
race3,0.7536223276588181,29
race4,0.9332849007470401,29
race5,0.7619669526594137,29
smoke1,8.714267634668138e-4,29
age,1.3612669088308954e-4,29
bmi,0.005826690700126333,29
As,0.334695785400868,29
Cd,0.6716787517539019,29
Co,0.3296675912260949,29
Hg,8.272221527953677e-10,29
Ni,8.012369692256027e-8,29
Tl,0.17203262116879137,29
Pb,0.5044382193394763,29
Mo,0.2371520177645073,29
Sb,0.4991787465847237,29
Sn,0.055863216024971185,29
(Intercept),0.005494673908920503,30
race2,0.7612177614194318,30
race3,0.5413009954980273,30
race4,0.5452432037773702,30
race5,0.8264882874070925,30
smoke1,4.298701446436589e-6,30
age,6.996331970543095e-8,30
bmi,0.001333856971254082,30
As,0.29353974365179136,30
Cd,0.8899889048976795,30
Co,0.9080793790628263,30
Hg,5.7899649619355374e-5,30
Ni,2.1087706267810967e-7,30
Tl,0.4695664809356912,30
Pb,0.7851241683463003,30
Mo,0.6028552290765561,30
Sb,0.009996832373768397,30
Sn,0.1569194297790636,30
(Intercept),0.1922843261424778,31
race2,0.10700269548233589,31
race3,0.9955138687311383,31
race4,0.3632557076526901,31
race5,0.036706162024733625,31
smoke1,0.0012110029703396425,31
age,1.0102545266195683e-6,31
bmi,0.0034893471088454316,31
As,0.7188923881999361,31
Cd,0.13803144294566966,31
Co,0.8848844719546709,31
Hg,8.256883153010188e-7,31
Ni,3.211748917835828e-5,31
Tl,0.8793918613558188,31
Pb,0.08705456211783597,31
Mo,0.6598945729222186,31
Sb,0.0086508597721456,31
Sn,0.4139335240751899,31
(Intercept),0.002516500329923846,32
race2,0.3471743514427523,32
race3,0.48053247553393585,32
race4,0.891258647299515,32
race5,0.9646861569102027,32
smoke1,4.687995068762799e-6,32
age,1.3731201395637736e-8,32
bmi,0.011870561366660794,32
As,0.39493020717860683,32
Cd,0.6339797875606313,32
Co,0.3916475882650615,32
Hg,4.936504859364918e-10,32
Ni,1.998473343840188e-7,32
Tl,0.6613489154952126,32
Pb,0.978369774333084,32
Mo,0.9163263107031598,32
Sb,0.624781256361503,32
Sn,0.003226155056377556,32
(Intercept),0.002365917042677797,33
race2,0.9354123396631194,33
race3,0.7800219895305885,33
race4,0.6514858129857632,33
race5,0.8829603258326609,33
smoke1,3.916273439739176e-6,33
age,1.059146512755399e-5,33
bmi,0.015674877930551803,33
As,0.6285222379175079,33
Cd,0.3003461150146379,33
Co,0.9227879149351255,33
Hg,6.426630685896888e-6,33
Ni,1.360916131071357e-7,33
Tl,0.25662269043377156,33
Pb,0.10407899657044982,33
Mo,0.9979947271763332,33
Sb,0.29132475210205433,33
Sn,0.09691292047104655,33
(Intercept),0.0037042684726575313,34
race2,0.9017501166274732,34
race3,0.6275094129010195,34
race4,0.8030143967638694,34
race5,0.8706904250734722,34
smoke1,1.741566886005442e-5,34
age,3.83973560323718e-9,34
bmi,0.04694933537813441,34
As,0.866510333491137,34
Cd,0.6777358310228084,34
Co,0.21072902621198839,34
Hg,1.3541506148039744e-8,34
Ni,3.228882600046927e-6,34
Tl,0.6291693413400198,34
Pb,0.6088336619818893,34
Mo,0.8492931213105561,34
Sb,0.07365057193334651,34
Sn,3.5593053359294206e-5,34
(Intercept),0.2055703173340489,35
race2,0.09589156621478939,35
race3,0.7804022433677303,35
race4,0.2920251162421696,35
race5,0.0597665237744495,35
smoke1,0.0042941270640841495,35
age,3.838078961128364e-8,35
bmi,0.4927437825033577,35
As,0.655997765664009,35
Cd,0.4281697729922044,35
Co,0.6844710328957577,35
Hg,1.1307292892405808e-5,35
Ni,1.3078124336624215e-5,35
Tl,0.13703223882277293,35
Pb,0.6486679004605798,35
Mo,0.33475374732085805,35
Sb,0.6461103299978286,35
Sn,1.3237940487366061e-5,35
(Intercept),0.006150529299065717,36
race2,0.561403964755338,36
race3,0.9453401853995718,36
race4,0.5550565949124733,36
race5,0.6288392582656038,36
smoke1,1.293414324757181e-8,36
age,5.764071841014688e-7,36
bmi,0.4207325480200438,36
As,0.10245294123161676,36
Cd,0.7869746450155437,36
Co,0.058352089382679447,36
Hg,8.191874567221064e-7,36
Ni,9.362883230568328e-10,36
Tl,0.860874817471412,36
Pb,0.8709430198245054,36
Mo,0.9119639679226745,36
Sb,0.007687423747091753,36
Sn,0.3405109667271713,36
(Intercept),0.07663533510216963,37
