variable,PIP,trial,case
Sn,0.56572,42,1
As,0.31116,43,1
Cd,0.29932,43,1
Co,0.29644,43,1
Hg,0.84244,43,1
Ni,0.97552,43,1
Tl,0.42184,43,1
Pb,0.34336,43,1
Mo,0.44692,43,1
Sb,0.93864,43,1
Sn,0.4462,43,1
As,0.59516,44,1
Cd,0.4034,44,1
Co,0.46892,44,1
Hg,0.42748,44,1
Ni,0.91172,44,1
Tl,0.49536,44,1
Pb,0.37548,44,1
Mo,0.52696,44,1
Sb,0.95112,44,1
Sn,0.52676,44,1
As,0.30616,45,1
Cd,0.47476,45,1
Co,0.30688,45,1
Hg,0.3342,45,1
Ni,0.96316,45,1
Tl,0.3206,45,1
Pb,0.4594,45,1
Mo,0.29756,45,1
Sb,0.65264,45,1
Sn,0.33036,45,1
As,0.27576,46,1
Cd,0.23016,46,1
Co,0.21136,46,1
Hg,0.974,46,1
Ni,0.9832,46,1
Tl,0.17748,46,1
Pb,0.22792,46,1
Mo,0.17612,46,1
Sb,0.98512,46,1
Sn,0.41552,46,1
As,0.84884,47,1
Cd,0.89332,47,1
Co,0.65548,47,1
Hg,0.74504,47,1
Ni,0.94052,47,1
Tl,0.51868,47,1
Pb,0.58072,47,1
Mo,0.647,47,1
Sb,1,47,1
Sn,0.922,47,1
As,0.25576,48,1
Cd,0.2504,48,1
Co,0.36588,48,1
Hg,0.19536,48,1
Ni,0.35864,48,1
Tl,0.22648,48,1
Pb,0.3338,48,1
Mo,0.18648,48,1
Sb,0.99652,48,1
Sn,0.29812,48,1
As,0.19604,49,1
Cd,0.58292,49,1
Co,0.38816,49,1
Hg,0.98816,49,1
Ni,1,49,1
Tl,0.40228,49,1
Pb,0.57636,49,1
Mo,0.25996,49,1
Sb,0.97956,49,1
Sn,0.84868,49,1
As,0.48724,5,1
Cd,0.37892,5,1
Co,0.429,5,1
Hg,0.97604,5,1
Ni,0.9598,5,1
Tl,0.5348,5,1
Pb,0.33548,5,1
Mo,0.52624,5,1
Sb,0.84644,5,1
Sn,0.30676,5,1
As,0.4324,50,1
Cd,0.4492,50,1
Co,0.49544,50,1
Hg,0.88492,50,1
Ni,0.968,50,1
Tl,0.8542,50,1
Pb,0.42668,50,1
Mo,0.43364,50,1
Sb,0.78084,50,1
Sn,0.43216,50,1
As,0.64816,51,1
Cd,0.45084,51,1
Co,0.52556,51,1
Hg,0.76444,51,1
Ni,0.92156,51,1
Tl,0.67432,51,1
Pb,0.51592,51,1
Mo,0.95804,51,1
Sb,0.97528,51,1
Sn,0.77504,51,1
As,0.15372,52,1
Cd,0.15112,52,1
Co,0.16284,52,1
Hg,0.20804,52,1
Ni,0.9916,52,1
Tl,0.21556,52,1
Pb,0.1392,52,1
Mo,0.11308,52,1
Sb,0.96504,52,1
Sn,0.3488,52,1
As,0.87776,53,1
Cd,0.13616,53,1
Co,0.26556,53,1
Hg,0.9354,53,1
Ni,1,53,1
Tl,0.1614,53,1
Pb,0.19908,53,1
Mo,0.14204,53,1
Sb,0.45952,53,1
Sn,0.21848,53,1
As,0.22672,54,1
Cd,0.32816,54,1
Co,0.34344,54,1
Hg,0.53892,54,1
Ni,0.46512,54,1
Tl,0.29904,54,1
Pb,0.28004,54,1
Mo,0.39412,54,1
Sb,0.95648,54,1
Sn,0.26524,54,1
As,0.2078,55,1
Cd,0.29092,55,1
Co,0.29204,55,1
Hg,0.998,55,1
Ni,0.99456,55,1
Tl,0.30432,55,1
Pb,0.33472,55,1
Mo,0.21248,55,1
Sb,0.42816,55,1
Sn,0.463,55,1
As,0.38728,56,1
Cd,0.36224,56,1
Co,0.42628,56,1
Hg,0.69248,56,1
Ni,0.95268,56,1
Tl,0.85788,56,1
Pb,0.36972,56,1
Mo,0.317,56,1
Sb,0.92144,56,1
Sn,0.32276,56,1
As,0.23532,57,1
Cd,0.31612,57,1
Co,0.27052,57,1
Hg,0.90204,57,1
Ni,0.53376,57,1
Tl,0.567,57,1
Pb,0.38276,57,1
Mo,0.32132,57,1
Sb,0.9814,57,1
Sn,0.30352,57,1
As,0.64688,58,1
Cd,0.7756,58,1
Co,0.72928,58,1
Hg,0.72552,58,1
Ni,0.9534,58,1
Tl,0.70424,58,1
Pb,0.78576,58,1
Mo,0.94116,58,1
Sb,0.76008,58,1
Sn,0.65332,58,1
As,0.37464,59,1
Cd,0.40232,59,1
Co,0.63132,59,1
Hg,0.68608,59,1
Ni,0.66292,59,1
Tl,0.79828,59,1
Pb,0.4066,59,1
Mo,0.437,59,1
Sb,0.48692,59,1
Sn,0.41108,59,1
As,0.28308,6,1
Cd,0.24572,6,1
Co,0.26884,6,1
Hg,0.77904,6,1
Ni,0.9928,6,1
Tl,0.37932,6,1
Pb,0.22064,6,1
Mo,0.2192,6,1
Sb,0.94688,6,1
Sn,0.31852,6,1
As,0.34336,60,1
Cd,0.46292,60,1
Co,0.66628,60,1
Hg,0.84444,60,1
Ni,0.558,60,1
Tl,0.36732,60,1
Pb,0.59436,60,1
Mo,0.491,60,1
Sb,0.83236,60,1
Sn,0.99232,60,1
As,0.43044,61,1
Cd,0.42816,61,1
Co,0.48196,61,1
Hg,0.76296,61,1
Ni,0.38764,61,1
Tl,0.37228,61,1
Pb,0.3364,61,1
Mo,0.36052,61,1
Sb,0.9132,61,1
Sn,0.34808,61,1
As,0.27,62,1
Cd,0.23636,62,1
Co,0.39776,62,1
Hg,0.99364,62,1
Ni,0.91148,62,1
Tl,0.25396,62,1
Pb,0.27764,62,1
Mo,0.36612,62,1
Sb,0.89256,62,1
Sn,0.20584,62,1
As,0.27748,63,1
Cd,0.4852,63,1
Co,0.71904,63,1
Hg,0.9582,63,1
Ni,0.6414,63,1
Tl,0.37592,63,1
Pb,0.38344,63,1
Mo,0.3148,63,1
Sb,0.99412,63,1
Sn,0.44432,63,1
As,0.48196,64,1
Cd,0.63164,64,1
Co,0.6422,64,1
Hg,0.881,64,1
Ni,0.91944,64,1
Tl,0.532,64,1
Pb,0.5638,64,1
Mo,0.6898,64,1
Sb,0.9506,64,1
Sn,0.82384,64,1
As,0.32476,65,1
Cd,0.47316,65,1
Co,0.36724,65,1
Hg,0.98532,65,1
Ni,0.9902,65,1
Tl,0.36356,65,1
Pb,0.32436,65,1
Mo,0.25228,65,1
Sb,0.99716,65,1
Sn,0.3584,65,1
As,0.19052,66,1
Cd,0.34252,66,1
Co,0.30004,66,1
Hg,0.85024,66,1
Ni,0.99824,66,1
Tl,0.2914,66,1
Pb,0.32164,66,1
Mo,0.32168,66,1
Sb,0.8924,66,1
Sn,0.82656,66,1
As,0.9168,67,1
Cd,0.45552,67,1
Co,0.49004,67,1
Hg,0.76544,67,1
Ni,0.91844,67,1
Tl,0.42312,67,1
Pb,0.4786,67,1
Mo,0.6,67,1
Sb,0.87928,67,1
Sn,0.59424,67,1
As,0.38332,68,1
Cd,0.29228,68,1
Co,0.28084,68,1
Hg,0.63784,68,1
Ni,0.95204,68,1
Tl,0.40208,68,1
Pb,0.30672,68,1
Mo,0.2612,68,1
Sb,0.99392,68,1
Sn,0.36324,68,1
As,0.36292,69,1
Cd,0.38092,69,1
Co,0.2576,69,1
Hg,0.99692,69,1
Ni,0.83924,69,1
Tl,0.29392,69,1
Pb,0.66104,69,1
Mo,0.29884,69,1
Sb,1,69,1
Sn,0.2704,69,1
As,0.33064,7,1
Cd,0.24676,7,1
Co,0.45632,7,1
Hg,0.7676,7,1
Ni,0.9956,7,1
Tl,0.22544,7,1
Pb,0.39528,7,1
Mo,0.46312,7,1
Sb,0.82356,7,1
Sn,0.21772,7,1
As,0.59324,70,1
Cd,0.78928,70,1
Co,0.62008,70,1
Hg,0.9226,70,1
Ni,0.78516,70,1
Tl,0.5208,70,1
Pb,0.78436,70,1
Mo,0.77216,70,1
Sb,0.94512,70,1
Sn,0.86892,70,1
As,0.30824,71,1
Cd,0.48384,71,1
Co,0.40696,71,1
Hg,0.87012,71,1
Ni,0.48184,71,1
Tl,0.37652,71,1
Pb,0.33176,71,1
Mo,0.30436,71,1
Sb,0.88608,71,1
Sn,0.60952,71,1
As,0.32468,72,1
Cd,0.31992,72,1
Co,0.48612,72,1
Hg,0.24088,72,1
Ni,0.39164,72,1
Tl,0.35688,72,1
Pb,0.3678,72,1
Mo,0.43668,72,1
Sb,0.7252,72,1
Sn,0.87792,72,1
As,0.1898,73,1
Cd,0.1446,73,1
Co,0.38456,73,1
Hg,0.4056,73,1
Ni,0.65828,73,1
Tl,0.14996,73,1
Pb,0.16992,73,1
Mo,0.21392,73,1
Sb,1,73,1
Sn,0.22908,73,1
As,0.2338,74,1
Cd,0.2778,74,1
Co,0.30324,74,1
Hg,0.47184,74,1
Ni,0.86216,74,1
Tl,0.32152,74,1
Pb,0.26564,74,1
Mo,0.29892,74,1
Sb,0.97856,74,1
Sn,0.26612,74,1
As,0.3806,75,1
Cd,0.30276,75,1
Co,0.40128,75,1
Hg,0.67756,75,1
Ni,0.80128,75,1
Tl,0.54988,75,1
Pb,0.58092,75,1
Mo,0.33736,75,1
Sb,0.993,75,1
Sn,0.75096,75,1
As,0.23416,76,1
Cd,0.18848,76,1
Co,0.19104,76,1
Hg,0.26452,76,1
Ni,0.974,76,1
Tl,0.20856,76,1
Pb,0.225,76,1
Mo,0.20732,76,1
Sb,0.98296,76,1
Sn,0.32868000000000003,76,1
As,0.63764,77,1
Cd,0.84288,77,1
Co,0.65848,77,1
Hg,0.90072,77,1
Ni,0.98176,77,1
Tl,0.73528,77,1
Pb,0.61488,77,1
Mo,0.90972,77,1
Sb,0.92844,77,1
Sn,0.809,77,1
As,0.31396,78,1
Cd,0.24148,78,1
Co,0.33152,78,1
Hg,0.30604,78,1
Ni,0.42968,78,1
Tl,0.31348,78,1
Pb,0.23472,78,1
Mo,0.264,78,1
Sb,0.99236,78,1
Sn,0.3278,78,1
As,0.70888,79,1
Cd,0.59676,79,1
Co,0.44388,79,1
Hg,0.76608,79,1
Ni,0.99024,79,1
Tl,0.39664,79,1
Pb,0.49884,79,1
Mo,0.44176,79,1
Sb,0.68984,79,1
Sn,0.5344,79,1
As,0.37872,8,1
Cd,0.7782,8,1
Co,0.6802,8,1
Hg,0.9878,8,1
Ni,0.98828,8,1
Tl,0.51548,8,1
Pb,0.6634,8,1
Mo,0.52228,8,1
Sb,0.97608,8,1
Sn,0.82072,8,1
As,0.49116,80,1
Cd,0.6564,80,1
Co,0.5276,80,1
Hg,0.7088,80,1
Ni,0.90424,80,1
Tl,0.81844,80,1
Pb,0.63908,80,1
Mo,0.49816,80,1
Sb,0.94776,80,1
Sn,0.97788,80,1
As,0.17472,81,1
Cd,0.29012,81,1
Co,0.16468,81,1
Hg,0.99888,81,1
Ni,0.99568,81,1
Tl,0.37036,81,1
Pb,0.16432,81,1
Mo,0.61796,81,1
Sb,0.58048,81,1
Sn,0.47064,81,1
As,0.44064,82,1
Cd,0.61236,82,1
Co,0.43136,82,1
Hg,0.72396,82,1
Ni,0.7942,82,1
Tl,0.42556,82,1
Pb,0.40016,82,1
Mo,0.67784,82,1
Sb,0.99256,82,1
Sn,0.5852,82,1
As,0.50808,83,1
Cd,0.53084,83,1
Co,0.98528,83,1
Hg,0.80668,83,1
Ni,0.99808,83,1
Tl,0.53988,83,1
Pb,0.96452,83,1
Mo,0.64084,83,1
Sb,0.93108,83,1
Sn,0.62516,83,1
As,0.50188,84,1
Cd,0.3494,84,1
Co,0.33448,84,1
Hg,0.87976,84,1
Ni,0.99944,84,1
Tl,0.33984,84,1
Pb,0.69512,84,1
Mo,0.44752,84,1
Sb,0.83024,84,1
Sn,0.44376,84,1
As,0.65212,85,1
Cd,0.59292,85,1
Co,0.43268,85,1
Hg,0.76396,85,1
Ni,1,85,1
Tl,0.80348,85,1
Pb,0.60296,85,1
Mo,0.49432,85,1
Sb,0.55792,85,1
Sn,0.5182,85,1
As,0.31896,86,1
Cd,0.4406,86,1
Co,0.301,86,1
Hg,0.32216,86,1
Ni,0.74436,86,1
Tl,0.40984,86,1
Pb,0.27472,86,1
Mo,0.32656,86,1
Sb,0.96964,86,1
Sn,0.43872,86,1
As,0.48356,87,1
Cd,0.38452,87,1
Co,0.8036,87,1
Hg,0.91324,87,1
Ni,0.96088,87,1
Tl,0.62016,87,1
Pb,0.388,87,1
Mo,0.5926,87,1
Sb,0.99504,87,1
Sn,0.58692,87,1
As,0.72924,88,1
Cd,0.54544,88,1
Co,0.5272,88,1
Hg,0.98336,88,1
Ni,0.9046,88,1
Tl,0.5868,88,1
Pb,0.5814,88,1
Mo,0.60028,88,1
Sb,0.65884,88,1
Sn,0.70532,88,1
As,0.40368,89,1
Cd,0.4214,89,1
Co,0.58808,89,1
Hg,0.90292,89,1
Ni,0.91268,89,1
Tl,0.89612,89,1
Pb,0.44368,89,1
Mo,0.53536,89,1
Sb,0.56364,89,1
Sn,0.46836,89,1
As,0.63796,9,1
Cd,0.38496,9,1
Co,0.42436,9,1
Hg,0.75992,9,1
Ni,0.9918,9,1
Tl,0.32144,9,1
Pb,0.39528,9,1
Mo,0.4502,9,1
Sb,0.89756,9,1
Sn,0.73228,9,1
As,0.42048,90,1
Cd,0.60176,90,1
Co,0.48904,90,1
Hg,0.8388,90,1
Ni,0.61372,90,1
Tl,0.37348,90,1
Pb,0.50064,90,1
Mo,0.6964,90,1
Sb,0.79328,90,1
Sn,0.49216,90,1
As,0.41852,91,1
Cd,0.32196,91,1
Co,0.30668,91,1
Hg,0.99796,91,1
Ni,0.99196,91,1
Tl,0.28948,91,1
Pb,0.31756,91,1
Mo,0.27752,91,1
Sb,0.99816,91,1
Sn,0.20216,91,1
As,0.14996,92,1
Cd,0.1648,92,1
Co,0.1824,92,1
Hg,0.92664,92,1
Ni,0.99296,92,1
Tl,0.21324,92,1
Pb,0.17844,92,1
Mo,0.18476,92,1
Sb,0.26156,92,1
Sn,0.41888,92,1
As,0.60756,93,1
Cd,0.6496,93,1
Co,0.666,93,1
Hg,0.76528,93,1
Ni,0.91292,93,1
Tl,0.58988,93,1
Pb,0.5644,93,1
Mo,0.53876,93,1
Sb,0.97392,93,1
Sn,0.68452,93,1
As,0.43584,94,1
Cd,0.4478,94,1
Co,0.73916,94,1
Hg,0.9302,94,1
Ni,0.91312,94,1
Tl,0.86496,94,1
Pb,0.92076,94,1
Mo,0.47296,94,1
Sb,0.99728000000000006,94,1
Sn,0.79196,94,1
As,0.74124,95,1
Cd,0.3508,95,1
Co,0.383,95,1
Hg,0.71776,95,1
Ni,0.56884,95,1
Tl,0.39664,95,1
Pb,0.59684,95,1
Mo,0.32512,95,1
Sb,0.99732,95,1
Sn,0.51288,95,1
As,0.34336,96,1
Cd,0.60372,96,1
Co,0.44996,96,1
Hg,1,96,1
Ni,0.89172,96,1
Tl,0.65648,96,1
Pb,0.45764,96,1
Mo,0.45932,96,1
Sb,0.9952,96,1
Sn,0.388,96,1
As,0.63608,97,1
Cd,0.67812,97,1
Co,0.61848,97,1
Hg,0.98836,97,1
Ni,0.9966,97,1
Tl,0.49052,97,1
Pb,0.57752,97,1
Mo,0.84156,97,1
Sb,0.78716,97,1
Sn,0.98344,97,1
As,0.7914,98,1
Cd,0.68672,98,1
Co,0.58108,98,1
Hg,0.79308,98,1
Ni,0.95652,98,1
Tl,0.6132,98,1
Pb,0.75488,98,1
Mo,0.85516,98,1
Sb,0.95652,98,1
Sn,0.7444,98,1
As,0.25676,99,1
Cd,0.34564,99,1
Co,0.37588,99,1
Hg,0.64404,99,1
Ni,0.99324,99,1
Tl,0.39556,99,1
Pb,0.32296,99,1
Mo,0.37868,99,1
Sb,0.83404,99,1
Sn,0.89764,99,1
As,0.42224,101,2
Cd,0.37892,101,2
Co,0.31736,101,2
Hg,0.7542,101,2
Ni,0.98976,101,2
Tl,0.37404,101,2
Pb,0.43812,101,2
Mo,0.37052,101,2
Sb,0.74072,101,2
Sn,0.86184,101,2
As,0.20664,102,2
Cd,0.22396,102,2
Co,0.35852,102,2
Hg,0.68628,102,2
Ni,0.80528,102,2
Tl,0.4202,102,2
Pb,0.27248,102,2
Mo,0.24976,102,2
Sb,0.99832,102,2
Sn,0.37004,102,2
As,0.41268,103,2
Cd,0.51128,103,2
Co,0.75152,103,2
Hg,0.991,103,2
Ni,0.97988,103,2
Tl,0.58488,103,2
Pb,0.58992,103,2
Mo,0.34692,103,2
Sb,1,103,2
Sn,0.99908,103,2
As,0.606,104,2
Cd,0.39256,104,2
Co,0.5292,104,2
Hg,0.99132,104,2
Ni,0.93988,104,2
Tl,0.40732,104,2
Pb,0.43996,104,2
Mo,0.35172,104,2
Sb,0.97912,104,2
Sn,0.72384,104,2
As,0.4056,105,2
Cd,0.21188,105,2
Co,0.50504,105,2
Hg,1,105,2
Ni,0.99304,105,2
Tl,0.72772,105,2
Pb,0.63916,105,2
Mo,0.483,105,2
Sb,0.99452,105,2
Sn,0.3058,105,2
As,0.2822,106,2
Cd,0.3164,106,2
Co,0.38636,106,2
Hg,1,106,2
Ni,0.97772,106,2
Tl,0.32108,106,2
Pb,0.43944,106,2
Mo,0.50216,106,2
Sb,0.64428,106,2
Sn,0.98628,106,2
As,0.34956,107,2
Cd,0.76988,107,2
Co,0.47616000000000003,107,2
Hg,0.564,107,2
Ni,0.93896,107,2
Tl,0.28776,107,2
Pb,0.31852,107,2
Mo,0.37692,107,2
Sb,0.99264,107,2
Sn,0.5656,107,2
As,0.70772,108,2
Cd,0.72628,108,2
Co,0.8372,108,2
Hg,0.94628,108,2
Ni,0.92144,108,2
Tl,0.7656,108,2
Pb,0.79852,108,2
Mo,0.69888,108,2
Sb,0.97996,108,2
Sn,0.8676,108,2
As,0.393,109,2
Cd,0.61568,109,2
Co,0.46848,109,2
Hg,0.77704,109,2
Ni,0.62152,109,2
Tl,0.40056,109,2
Pb,0.4628,109,2
Mo,0.42644,109,2
Sb,0.99952,109,2
Sn,0.79812,109,2
As,0.46152,110,2
Cd,0.63084,110,2
Co,0.7396,110,2
Hg,0.98492,110,2
Ni,0.87668,110,2
Tl,0.48728,110,2
Pb,0.507,110,2
Mo,0.50208,110,2
Sb,0.96868,110,2
Sn,0.89884,110,2
As,0.5554,111,2
Cd,0.476,111,2
Co,0.66428,111,2
Hg,0.98944,111,2
Ni,0.98788,111,2
Tl,0.5412,111,2
