size,case,variable,sensitivity,sign
Large,14,LBXD03LA,0.12,FALSE
Large,14,LBXD05LA,0.94,TRUE
Large,14,LBXD07LA,0.18,FALSE
Large,14,LBXF03LA,0.07,FALSE
Large,14,LBXF04LA,0.89,TRUE
Large,14,LBXF05LA,0.2,FALSE
Large,14,LBXF08LA,0.1,FALSE
Large,14,LBXHXCLA,0.12,FALSE
Large,14,LBXPCBLA,0.44,TRUE
Large,15,LBX074LA,0.55,TRUE
Large,15,LBX099LA,0.09,FALSE
Large,15,LBX118LA,0.24,FALSE
Large,15,LBX138LA,0.05,FALSE
Large,15,LBX153LA,0.06,FALSE
Large,15,LBX170LA,0.13,FALSE
Large,15,LBX180LA,0.1,FALSE
Large,15,LBX187LA,0.14,FALSE
Large,15,LBX194LA,0.92,TRUE
Large,15,LBXD03LA,0.08,FALSE
Large,15,LBXD05LA,0.94,TRUE
Large,15,LBXD07LA,0.08,FALSE
Large,15,LBXF03LA,0.13,FALSE
Large,15,LBXF04LA,0.88,TRUE
Large,15,LBXF05LA,0.11,FALSE
Large,15,LBXF08LA,0.1,FALSE
Large,15,LBXHXCLA,0.1,FALSE
Large,15,LBXPCBLA,0.65,TRUE
Large,16,LBX074LA,0.64,TRUE
Large,16,LBX099LA,0.06,FALSE
Large,16,LBX118LA,0.28,FALSE
Large,16,LBX138LA,0.08,FALSE
Large,16,LBX153LA,0.08,FALSE
Large,16,LBX170LA,0.21,FALSE
Large,16,LBX180LA,0.11,FALSE
Large,16,LBX187LA,0.17,FALSE
Large,16,LBX194LA,0.82,TRUE
Large,16,LBXD03LA,0.18,FALSE
Large,16,LBXD05LA,0.8,TRUE
Large,16,LBXD07LA,0.18,FALSE
Large,16,LBXF03LA,0.13,FALSE
Large,16,LBXF04LA,0.84,TRUE
Large,16,LBXF05LA,0.18,FALSE
Large,16,LBXF08LA,0.14,FALSE
Large,16,LBXHXCLA,0.12,FALSE
Large,16,LBXPCBLA,0.42,TRUE
Large,17,LBX074LA,0.72,TRUE
Large,17,LBX099LA,0.13,FALSE
Large,17,LBX118LA,0.38,FALSE
Large,17,LBX138LA,0.15,FALSE
Large,17,LBX153LA,0.17,FALSE
Large,17,LBX170LA,0.28,FALSE
Large,17,LBX180LA,0.2,FALSE
Large,17,LBX187LA,0.27,FALSE
Large,17,LBX194LA,0.81,TRUE
Large,17,LBXD03LA,0.33,FALSE
Large,17,LBXD05LA,0.85,TRUE
Large,17,LBXD07LA,0.16,FALSE
Large,17,LBXF03LA,0.18,FALSE
Large,17,LBXF04LA,0.86,TRUE
Large,17,LBXF05LA,0.22,FALSE
Large,17,LBXF08LA,0.14,FALSE
Large,17,LBXHXCLA,0.21,FALSE
Large,17,LBXPCBLA,0.64,TRUE
Small,1,LBX074LA,0.36,TRUE
Small,1,LBX099LA,0.25,FALSE
Small,1,LBX118LA,0.24,FALSE
Small,1,LBX138LA,0.16,FALSE
Small,1,LBX153LA,0.17,FALSE
Small,1,LBX170LA,0.23,FALSE
Small,1,LBX180LA,0.19,FALSE
Small,1,LBX187LA,0.27,FALSE
Small,1,LBX194LA,0.43,TRUE
Small,1,LBXD03LA,0.26,FALSE
Small,1,LBXD05LA,0.37,TRUE
Small,1,LBXD07LA,0.24,FALSE
Small,1,LBXF03LA,0.14,FALSE
Small,1,LBXF04LA,0.53,TRUE
Small,1,LBXF05LA,0.25,FALSE
Small,1,LBXF08LA,0.22,FALSE
Small,1,LBXHXCLA,0.2,FALSE
Small,1,LBXPCBLA,0.31,TRUE
Small,2,LBX074LA,0.31,TRUE
Small,2,LBX099LA,0.1,FALSE
Small,2,LBX118LA,0.13,FALSE
Small,2,LBX138LA,0.14,FALSE
Small,2,LBX153LA,0.09,FALSE
Small,2,LBX170LA,0.14,FALSE
Small,2,LBX180LA,0.09,FALSE
Small,2,LBX187LA,0.13,FALSE
Small,2,LBX194LA,0.42,TRUE
Small,2,LBXD03LA,0.15,FALSE
Small,2,LBXD05LA,0.38,TRUE
Small,2,LBXD07LA,0.15,FALSE
Small,2,LBXF03LA,0.11,FALSE
Small,2,LBXF04LA,0.32,TRUE
Small,2,LBXF05LA,0.1,FALSE
Small,2,LBXF08LA,0.12,FALSE
Small,2,LBXHXCLA,0.1,FALSE
Small,2,LBXPCBLA,0.23,TRUE
Small,3,LBX074LA,0.39,TRUE
Small,3,LBX099LA,0.16,FALSE
Small,3,LBX118LA,0.19,FALSE
Small,3,LBX138LA,0.11,FALSE
Small,3,LBX153LA,0.15,FALSE
Small,3,LBX170LA,0.15,FALSE
Small,3,LBX180LA,0.15,FALSE
Small,3,LBX187LA,0.2,FALSE
Small,3,LBX194LA,0.46,TRUE
Small,3,LBXD03LA,0.15,FALSE
Small,3,LBXD05LA,0.48,TRUE
Small,3,LBXD07LA,0.21,FALSE
Small,3,LBXF03LA,0.11,FALSE
Small,3,LBXF04LA,0.42,TRUE
Small,3,LBXF05LA,0.11,FALSE
Small,3,LBXF08LA,0.1,FALSE
Small,3,LBXHXCLA,0.15,FALSE
Small,3,LBXPCBLA,0.33,TRUE
Small,4,LBX074LA,0.27,TRUE
Small,4,LBX099LA,0.13,FALSE
Small,4,LBX118LA,0.21,FALSE
Small,4,LBX138LA,0.09,FALSE
Small,4,LBX153LA,0.11,FALSE
Small,4,LBX170LA,0.15,FALSE
Small,4,LBX180LA,0.1,FALSE
Small,4,LBX187LA,0.19,FALSE
Small,4,LBX194LA,0.48,TRUE
Small,4,LBXD03LA,0.23,FALSE
Small,4,LBXD05LA,0.65,TRUE
Small,4,LBXD07LA,0.19,FALSE
Small,4,LBXF03LA,0.12,FALSE
Small,4,LBXF04LA,0.37,TRUE
Small,4,LBXF05LA,0.18,FALSE
Small,4,LBXF08LA,0.16,FALSE
Small,4,LBXHXCLA,0.13,FALSE
Small,4,LBXPCBLA,0.35,TRUE
Small,5,LBX074LA,0.28,TRUE
Small,5,LBX099LA,0.12,FALSE
Small,5,LBX118LA,0.16,FALSE
Small,5,LBX138LA,0.08,FALSE
Small,5,LBX153LA,0.1,FALSE
Small,5,LBX170LA,0.16,FALSE
Small,5,LBX180LA,0.15,FALSE
Small,5,LBX187LA,0.17,FALSE
Small,5,LBX194LA,0.38,TRUE
Small,5,LBXD03LA,0.19,FALSE
Small,5,LBXD05LA,0.88,TRUE
Small,5,LBXD07LA,0.22,FALSE
Small,5,LBXF03LA,0.15,FALSE
Small,5,LBXF04LA,0.35,TRUE
Small,5,LBXF05LA,0.14,FALSE
Small,5,LBXF08LA,0.09,FALSE
Small,5,LBXHXCLA,0.14,FALSE
Small,5,LBXPCBLA,0.31,TRUE
Small,6,LBX074LA,0.37,TRUE
Small,6,LBX099LA,0.11,FALSE
Small,6,LBX118LA,0.16,FALSE
Small,6,LBX138LA,0.08,FALSE
Small,6,LBX153LA,0.09,FALSE
Small,6,LBX170LA,0.17,FALSE
Small,6,LBX180LA,0.12,FALSE
Small,6,LBX187LA,0.22,FALSE
Small,6,LBX194LA,0.39,TRUE
Small,6,LBXD03LA,0.12,FALSE
Small,6,LBXD05LA,0.39,TRUE
Small,6,LBXD07LA,0.18,FALSE
Small,6,LBXF03LA,0.16,TRUE
Small,6,LBXF04LA,0.38,TRUE
Small,6,LBXF05LA,0.13,FALSE
Small,6,LBXF08LA,0.1,TRUE
Small,6,LBXHXCLA,0.12,FALSE
Small,6,LBXPCBLA,0.22,TRUE
Small,7,LBX074LA,0.29,TRUE
Small,7,LBX099LA,0.14,FALSE
Small,7,LBX118LA,0.15,FALSE
Small,7,LBX138LA,0.05,FALSE
Small,7,LBX153LA,0.04,FALSE
Small,7,LBX170LA,0.12,FALSE
Small,7,LBX180LA,0.07,FALSE
Small,7,LBX187LA,0.15,FALSE
Small,7,LBX194LA,0.33,TRUE
Small,7,LBXD03LA,0.13,FALSE
Small,7,LBXD05LA,0.34,TRUE
Small,7,LBXD07LA,0.18,FALSE
Small,7,LBXF03LA,0.09,TRUE
Small,7,LBXF04LA,0.3,TRUE
Small,7,LBXF05LA,0.15,FALSE
Small,7,LBXF08LA,0.14,TRUE
Small,7,LBXHXCLA,0.1,FALSE
Small,7,LBXPCBLA,0.15,TRUE
Small,8,LBX074LA,0.42,TRUE
Small,8,LBX099LA,0.2,FALSE
Small,8,LBX118LA,0.16,FALSE
Small,8,LBX138LA,0.09,FALSE
Small,8,LBX153LA,0.16,FALSE
Small,8,LBX170LA,0.14,FALSE
Small,8,LBX180LA,0.15,FALSE
Small,8,LBX187LA,0.19,FALSE
Small,8,LBX194LA,0.4,TRUE
Small,8,LBXD03LA,0.25,FALSE
Small,8,LBXD05LA,0.43,TRUE
Small,8,LBXD07LA,0.15,FALSE
Small,8,LBXF03LA,0.12,TRUE
Small,8,LBXF04LA,0.5,TRUE
Small,8,LBXF05LA,0.2,FALSE
Small,8,LBXF08LA,0.33,TRUE
Small,8,LBXHXCLA,0.17,FALSE
Small,8,LBXPCBLA,0.31,TRUE
Small,9,LBX074LA,0.35,TRUE
Small,9,LBX099LA,0.23,FALSE
Small,9,LBX118LA,0.28,FALSE
Small,9,LBX138LA,0.2,FALSE
Small,9,LBX153LA,0.25,FALSE
Small,9,LBX170LA,0.27,FALSE
Small,9,LBX180LA,0.24,FALSE
Small,9,LBX187LA,0.2,FALSE
Small,9,LBX194LA,0.52,TRUE
Small,9,LBXD03LA,0.22,FALSE
Small,9,LBXD05LA,0.57,TRUE
Small,9,LBXD07LA,0.3,FALSE
Small,9,LBXF03LA,0.23,TRUE
Small,9,LBXF04LA,0.6,TRUE
Small,9,LBXF05LA,0.32,FALSE
Small,9,LBXF08LA,0.62,TRUE
Small,9,LBXHXCLA,0.24,FALSE
Small,9,LBXPCBLA,0.31,TRUE
Small,10,LBX074LA,0.25,TRUE
Small,10,LBX099LA,0.19,FALSE
Small,10,LBX118LA,0.18,FALSE
Small,10,LBX138LA,0.08,FALSE
Small,10,LBX153LA,0.08,FALSE
Small,10,LBX170LA,0.09,FALSE
Small,10,LBX180LA,0.13,FALSE
Small,10,LBX187LA,0.15,FALSE
Small,10,LBX194LA,0.36,TRUE
Small,10,LBXD03LA,0.17,FALSE
Small,10,LBXD05LA,0.42,TRUE
Small,10,LBXD07LA,0.11,FALSE
Small,10,LBXF03LA,0.08,FALSE
Small,10,LBXF04LA,0.32,TRUE
