mod,case,size,var,sign,sensitivity
Naive MLR,5,Small,PCB,TRUE,0.11
Naive MLR,6,Large,074,TRUE,0.39
Naive MLR,6,Large,099,FALSE,0.05
Naive MLR,6,Large,118,FALSE,0.02
Naive MLR,6,Large,138,FALSE,0.02
Naive MLR,6,Large,153,FALSE,0.04
Naive MLR,6,Large,170,FALSE,0.09
Naive MLR,6,Large,180,FALSE,0.04
Naive MLR,6,Large,187,FALSE,0.08
Naive MLR,6,Large,194,TRUE,0.46
Naive MLR,6,Large,D03,FALSE,0.06
Naive MLR,6,Large,D05,TRUE,0.66
Naive MLR,6,Large,D07,FALSE,0.03
Naive MLR,6,Large,F03,TRUE,0.08
Naive MLR,6,Large,F04,TRUE,0.1
Naive MLR,6,Large,F05,FALSE,0.07
Naive MLR,6,Large,F08,TRUE,0.04
Naive MLR,6,Large,HXC,FALSE,0.08
Naive MLR,6,Large,PCB,TRUE,0.31
Naive MLR,6,Small,074,TRUE,0.14
Naive MLR,6,Small,099,FALSE,0.04
Naive MLR,6,Small,118,FALSE,0.09
Naive MLR,6,Small,138,FALSE,0.05
Naive MLR,6,Small,153,FALSE,0.07
Naive MLR,6,Small,170,FALSE,0.01
Naive MLR,6,Small,180,FALSE,0.06
Naive MLR,6,Small,187,FALSE,0.03
Naive MLR,6,Small,194,TRUE,0.17
Naive MLR,6,Small,D03,FALSE,0.05
Naive MLR,6,Small,D05,TRUE,0.24
Naive MLR,6,Small,D07,FALSE,0.08
Naive MLR,6,Small,F03,TRUE,0.04
Naive MLR,6,Small,F04,TRUE,0.03
Naive MLR,6,Small,F05,FALSE,0.06
Naive MLR,6,Small,F08,TRUE,0.06
Naive MLR,6,Small,HXC,FALSE,0.06
Naive MLR,6,Small,PCB,TRUE,0.05
Naive MLR,7,Large,074,TRUE,0.36
Naive MLR,7,Large,099,FALSE,0.06
Naive MLR,7,Large,118,FALSE,0.05
Naive MLR,7,Large,138,FALSE,0.03
Naive MLR,7,Large,153,FALSE,0.05
Naive MLR,7,Large,170,FALSE,0.07
Naive MLR,7,Large,180,FALSE,0.07
Naive MLR,7,Large,187,FALSE,0.01
Naive MLR,7,Large,194,TRUE,0.49
Naive MLR,7,Large,D03,FALSE,0.06
Naive MLR,7,Large,D05,TRUE,0.7
Naive MLR,7,Large,D07,FALSE,0.05
Naive MLR,7,Large,F03,TRUE,0.05
Naive MLR,7,Large,F04,TRUE,0.16
Naive MLR,7,Large,F05,FALSE,0.03
Naive MLR,7,Large,F08,TRUE,0.08
Naive MLR,7,Large,HXC,FALSE,0.05
Naive MLR,7,Large,PCB,TRUE,0.28
Naive MLR,7,Small,074,TRUE,0.12
Naive MLR,7,Small,099,FALSE,0.02
Naive MLR,7,Small,118,FALSE,0.04
Naive MLR,7,Small,138,FALSE,0.04
Naive MLR,7,Small,153,FALSE,0.04
Naive MLR,7,Small,170,FALSE,0.03
Naive MLR,7,Small,180,FALSE,0.03
Naive MLR,7,Small,187,FALSE,0.02
Naive MLR,7,Small,194,TRUE,0.15
Naive MLR,7,Small,D03,FALSE,0.05
Naive MLR,7,Small,D05,TRUE,0.2
Naive MLR,7,Small,D07,FALSE,0.07
Naive MLR,7,Small,F03,TRUE,0.04
Naive MLR,7,Small,F04,TRUE,0.11
Naive MLR,7,Small,F05,FALSE,0.08
Naive MLR,7,Small,F08,TRUE,0.04
Naive MLR,7,Small,HXC,FALSE,0.06
Naive MLR,7,Small,PCB,TRUE,0.06
Naive MLR,8,Large,074,TRUE,0.37
Naive MLR,8,Large,099,FALSE,0.05
Naive MLR,8,Large,118,FALSE,0.03
