variable,PIP,trial,df,case
Hg,0.98368,40,4,1
Ni,0.09648,40,4,1
Tl,0.00416,40,4,1
Pb,0.00944,40,4,1
Mo,0.00416,40,4,1
Sb,1,40,4,1
Sn,0.04608,40,4,1
As,0.07296,41,3,1
Cd,0.00832,41,3,1
Co,0.03808,41,3,1
Hg,0.14672,41,3,1
Ni,0.35232,41,3,1
Tl,0.00976,41,3,1
Pb,0.02912,41,3,1
Mo,0.54992,41,3,1
Sb,1,41,3,1
Sn,0.0136,41,3,1
As,0.01568,42,4,1
Cd,0.0448,42,4,1
Co,0.40976,42,4,1
Hg,0.1272,42,4,1
Ni,0.42704,42,4,1
Tl,0.01264,42,4,1
Pb,0.7352,42,4,1
Mo,0.03792,42,4,1
Sb,1,42,4,1
Sn,0.57856,42,4,1
As,0.05152,43,3,1
Cd,0.0232,43,3,1
Co,0.01952,43,3,1
Hg,0.6216,43,3,1
Ni,0.99968,43,3,1
Tl,0.09216,43,3,1
Pb,0.03584,43,3,1
Mo,0.04544,43,3,1
Sb,0.97568,43,3,1
Sn,0.11312,43,3,1
As,0.02704,44,3,1
Cd,0.0112,44,3,1
Co,0.01424,44,3,1
Hg,0.00576,44,3,1
Ni,0.89168,44,3,1
Tl,0.00896,44,3,1
Pb,0.01152,44,3,1
Mo,0.03088,44,3,1
Sb,0.9384,44,3,1
Sn,0.044,44,3,1
As,0.0384,45,3,1
Cd,0.06448,45,3,1
Co,0.01536,45,3,1
Hg,0.07136,45,3,1
Ni,0.82928,45,3,1
Tl,0.0152,45,3,1
Pb,0.07728,45,3,1
Mo,0.02464,45,3,1
Sb,0.83888,45,3,1
Sn,0.01856,45,3,1
As,0.04256,46,2,1
Cd,0.052,46,2,1
Co,0.04304,46,2,1
Hg,0.98848,46,2,1
Ni,0.99184,46,2,1
Tl,0.04768,46,2,1
Pb,0.0368,46,2,1
Mo,0.11232,46,2,1
Sb,0.99984,46,2,1
Sn,0.13648,46,2,1
As,0.032,47,4,1
Cd,0.04176,47,4,1
Co,0.02464,47,4,1
Hg,0.00432,47,4,1
Ni,0.94272,47,4,1
Tl,0.00512,47,4,1
Pb,0.02048,47,4,1
Mo,0.0792,47,4,1
Sb,0.99952,47,4,1
Sn,0.06064,47,4,1
As,0.0472,48,2,1
Cd,0.06592,48,2,1
Co,0.11904000000000001,48,2,1
Hg,0.02816,48,2,1
Ni,0.0672,48,2,1
Tl,0.03552,48,2,1
Pb,0.16704,48,2,1
Mo,0.0296,48,2,1
Sb,0.99968,48,2,1
Sn,0.11584,48,2,1
As,0.03168,49,4,1
Cd,0.10048,49,4,1
Co,0.03888,49,4,1
Hg,0.87216,49,4,1
Ni,0.99984,49,4,1
Tl,0.02688,49,4,1
Pb,0.04416,49,4,1
Mo,0.01344,49,4,1
Sb,0.96416,49,4,1
Sn,0.8432,49,4,1
As,0.02672,4,2,1
Cd,0.0664,4,2,1
Co,0.01248,4,2,1
Hg,0.02912,4,2,1
Ni,0.09312,4,2,1
Tl,0.0144,4,2,1
Pb,0.04336,4,2,1
Mo,0.00848,4,2,1
Sb,0.99888,4,2,1
Sn,0.18272,4,2,1
As,0.04064,50,3,1
Cd,0.04144,50,3,1
Co,0.02736,50,3,1
Hg,0.76512,50,3,1
Ni,0.99856,50,3,1
Tl,0.61792,50,3,1
Pb,0.07648,50,3,1
Mo,0.10032,50,3,1
Sb,0.85952,50,3,1
Sn,0.06624,50,3,1
As,0.57712,51,2,1
Cd,0.04736,51,2,1
Co,0.0536,51,2,1
Hg,0.16032,51,2,1
Ni,0.3152,51,2,1
Tl,0.25376,51,2,1
Pb,0.05488,51,2,1
Mo,0.9152,51,2,1
Sb,0.9992,51,2,1
Sn,0.26048,51,2,1
As,0.01008,52,2,1
Cd,0.0088,52,2,1
Co,0.00544,52,2,1
Hg,0.0192,52,2,1
Ni,0.99728000000000006,52,2,1
Tl,0.01472,52,2,1
Pb,0.012,52,2,1
Mo,0.00704,52,2,1
Sb,0.98448,52,2,1
Sn,0.0344,52,2,1
As,0.98,53,2,1
Cd,0.02624,53,2,1
Co,0.07312,53,2,1
Hg,0.95024,53,2,1
Ni,0.99984,53,2,1
Tl,0.02624,53,2,1
Pb,0.03472,53,2,1
Mo,0.03184,53,2,1
Sb,0.63568,53,2,1
Sn,0.056,53,2,1
As,0.06064,54,2,1
Cd,0.1904,54,2,1
Co,0.24016,54,2,1
Hg,0.12224,54,2,1
Ni,0.12576,54,2,1
Tl,0.02848,54,2,1
Pb,0.04544,54,2,1
Mo,0.13936,54,2,1
Sb,0.99728000000000006,54,2,1
Sn,0.02304,54,2,1
As,0.01024,55,4,1
Cd,0.01792,55,4,1
Co,0.01184,55,4,1
Hg,0.95472,55,4,1
Ni,0.99968,55,4,1
Tl,0.00816,55,4,1
Pb,0.0264,55,4,1
Mo,0.01552,55,4,1
Sb,0.0728,55,4,1
Sn,0.06784,55,4,1
As,0.01568,56,2,1
Cd,0.01552,56,2,1
Co,0.06832,56,2,1
Hg,0.25712,56,2,1
Ni,0.83616,56,2,1
Tl,0.656,56,2,1
Pb,0.01392,56,2,1
Mo,0.01008,56,2,1
Sb,0.98288,56,2,1
Sn,0.02576,56,2,1
As,0.00816,57,4,1
Cd,0.03072,57,4,1
Co,0.01072,57,4,1
Hg,0.90336,57,4,1
Ni,0.7312,57,4,1
Tl,0.0248,57,4,1
Pb,0.02048,57,4,1
Mo,0.02512,57,4,1
Sb,0.99728000000000006,57,4,1
Sn,0.0488,57,4,1
As,0.016,58,3,1
Cd,0.57312,58,3,1
Co,0.34768,58,3,1
Hg,0.07408,58,3,1
Ni,0.9776,58,3,1
Tl,0.03104,58,3,1
Pb,0.19552,58,3,1
Mo,0.5032,58,3,1
Sb,0.71072,58,3,1
Sn,0.04448,58,3,1
As,0.03168,59,1,1
Cd,0.03904,59,1,1
Co,0.38704,59,1,1
Hg,0.22928,59,1,1
Ni,0.3256,59,1,1
Tl,0.79488,59,1,1
Pb,0.03904,59,1,1
Mo,0.04416,59,1,1
Sb,0.06384,59,1,1
Sn,0.04304,59,1,1
As,0.02688,5,2,1
Cd,0.03136,5,2,1
Co,0.1968,5,2,1
Hg,0.87952,5,2,1
Ni,0.816,5,2,1
Tl,0.13712,5,2,1
Pb,0.03408,5,2,1
Mo,0.07296,5,2,1
Sb,0.9416,5,2,1
Sn,0.02848,5,2,1
As,0.02256,60,2,1
Cd,0.02496,60,2,1
Co,0.15776,60,2,1
Hg,0.49712,60,2,1
Ni,0.07008,60,2,1
Tl,0.16768,60,2,1
Pb,0.08288,60,2,1
Mo,0.02944,60,2,1
Sb,0.95664,60,2,1
Sn,0.99152,60,2,1
As,0.05904,61,2,1
Cd,0.62464,61,2,1
Co,0.1648,61,2,1
Hg,0.52368,61,2,1
Ni,0.048,61,2,1
Tl,0.0912,61,2,1
Pb,0.03968,61,2,1
Mo,0.02512,61,2,1
Sb,0.99392,61,2,1
Sn,0.06304,61,2,1
As,0.04496,62,3,1
Cd,0.02752,62,3,1
Co,0.04352,62,3,1
Hg,0.97504,62,3,1
Ni,0.9904,62,3,1
Tl,0.04432,62,3,1
Pb,0.03984,62,3,1
Mo,0.09648,62,3,1
Sb,0.99888,62,3,1
Sn,0.05152,62,3,1
As,0.02064,63,3,1
Cd,0.0344,63,3,1
Co,0.19808,63,3,1
Hg,0.91952,63,3,1
Ni,0.80672,63,3,1
Tl,0.01696,63,3,1
Pb,0.07616,63,3,1
Mo,0.014880000000000001,63,3,1
Sb,0.99712,63,3,1
Sn,0.03856,63,3,1
As,0.02368,64,2,1
Cd,0.08848,64,2,1
Co,0.19616,64,2,1
Hg,0.7216,64,2,1
Ni,0.73712,64,2,1
Tl,0.07024,64,2,1
Pb,0.03168,64,2,1
Mo,0.13456,64,2,1
Sb,0.99088,64,2,1
Sn,0.28192,64,2,1
As,0.02528,65,2,1
Cd,0.12896,65,2,1
Co,0.1496,65,2,1
Hg,0.98496,65,2,1
Ni,0.992,65,2,1
Tl,0.04096,65,2,1
Pb,0.11296,65,2,1
Mo,0.01744,65,2,1
Sb,1,65,2,1
Sn,0.09456,65,2,1
As,0.02208,66,1,1
Cd,0.03136,66,1,1
Co,0.03456,66,1,1
Hg,0.84816,66,1,1
Ni,0.996,66,1,1
Tl,0.01696,66,1,1
Pb,0.02352,66,1,1
Mo,0.03264,66,1,1
Sb,0.08352,66,1,1
Sn,0.80096,66,1,1
As,0.55248,67,2,1
Cd,0.02784,67,2,1
Co,0.28016,67,2,1
Hg,0.12256,67,2,1
Ni,0.69552,67,2,1
Tl,0.01648,67,2,1
Pb,0.11904000000000001,67,2,1
Mo,0.2336,67,2,1
Sb,0.97776,67,2,1
Sn,0.04704,67,2,1
As,0.0232,68,3,1
Cd,0.03024,68,3,1
Co,0.02528,68,3,1
Hg,0.22,68,3,1
Ni,0.9224,68,3,1
Tl,0.34176,68,3,1
Pb,0.04096,68,3,1
Mo,0.0152,68,3,1
Sb,1,68,3,1
Sn,0.036,68,3,1
As,0.03344,69,2,1
Cd,0.00992,69,2,1
Co,0.0272,69,2,1
Hg,0.996,69,2,1
Ni,0.57216,69,2,1
Tl,0.01952,69,2,1
Pb,0.124,69,2,1
Mo,0.06704,69,2,1
Sb,1,69,2,1
Sn,0.0152,69,2,1
As,0.02448,6,4,1
Cd,0.06064,6,4,1
Co,0.01408,6,4,1
Hg,0.28464,6,4,1
Ni,0.99584,6,4,1
Tl,0.0816,6,4,1
Pb,0.03152,6,4,1
Mo,0.0456,6,4,1
Sb,0.9888,6,4,1
Sn,0.07168,6,4,1
As,0.04304,70,2,1
Cd,0.35488,70,2,1
Co,0.1048,70,2,1
Hg,0.69232,70,2,1
Ni,0.15264,70,2,1
Tl,0.04544,70,2,1
Pb,0.34176,70,2,1
Mo,0.22816,70,2,1
Sb,0.99296,70,2,1
Sn,0.2976,70,2,1
As,0.02608,71,2,1
Cd,0.17568,71,2,1
Co,0.3048,71,2,1
Hg,0.83968,71,2,1
Ni,0.07312,71,2,1
Tl,0.10816,71,2,1
Pb,0.02544,71,2,1
Mo,0.0392,71,2,1
Sb,0.98464,71,2,1
Sn,0.24432,71,2,1
As,0.04912,72,3,1
Cd,0.03216,72,3,1
Co,0.14928,72,3,1
Hg,0.08064,72,3,1
Ni,0.07872,72,3,1
Tl,0.03104,72,3,1
Pb,0.06976,72,3,1
Mo,0.06912,72,3,1
Sb,0.96256,72,3,1
Sn,0.86048,72,3,1
As,0.0136,73,3,1
Cd,0.01376,73,3,1
Co,0.04816,73,3,1
Hg,0.28624,73,3,1
Ni,0.9608,73,3,1
Tl,0.02384,73,3,1
Pb,0.012,73,3,1
Mo,0.02992,73,3,1
Sb,1,73,3,1
Sn,0.04496,73,3,1
As,0.0216,74,2,1
Cd,0.02016,74,2,1
Co,0.08864,74,2,1
Hg,0.07008,74,2,1
Ni,0.52032,74,2,1
Tl,0.02224,74,2,1
Pb,0.01888,74,2,1
Mo,0.03584,74,2,1
Sb,0.99888,74,2,1
Sn,0.016,74,2,1
As,0.00816,75,4,1
Cd,0.02064,75,4,1
Co,0.01856,75,4,1
Hg,0.0088,75,4,1
Ni,0.61232,75,4,1
Tl,0.0352,75,4,1
Pb,0.0536,75,4,1
Mo,0.02032,75,4,1
Sb,0.99936,75,4,1
Sn,0.31568,75,4,1
As,0.02752,76,4,1
Cd,0.0104,76,4,1
Co,0.00944,76,4,1
Hg,0.03472,76,4,1
Ni,0.99664,76,4,1
Tl,0.13328,76,4,1
Pb,0.1304,76,4,1
Mo,0.0128,76,4,1
Sb,0.99904,76,4,1
Sn,0.26016,76,4,1
As,0.0256,77,4,1
Cd,0.02624,77,4,1
Co,0.01296,77,4,1
Hg,0.4376,77,4,1
Ni,0.99536,77,4,1
Tl,0.04304,77,4,1
Pb,0.04336,77,4,1
Mo,0.12352,77,4,1
Sb,0.50528,77,4,1
Sn,0.97168,77,4,1
As,0.05904,78,3,1
Cd,0.0272,78,3,1
Co,0.14128,78,3,1
Hg,0.0656,78,3,1
Ni,0.20944,78,3,1
Tl,0.05888,78,3,1
Pb,0.02576,78,3,1
Mo,0.05472,78,3,1
Sb,0.99904,78,3,1
Sn,0.04784,78,3,1
As,0.28272,79,4,1
Cd,0.77072,79,4,1
Co,0.01776,79,4,1
Hg,0.18272,79,4,1
Ni,0.9984,79,4,1
Tl,0.02832,79,4,1
Pb,0.06192,79,4,1
Mo,0.01648,79,4,1
Sb,0.83792,79,4,1
Sn,0.20688,79,4,1
As,0.11392,7,3,1
Cd,0.01232,7,3,1
Co,0.10096,7,3,1
Hg,0.17344,7,3,1
Ni,0.99664,7,3,1
Tl,0.008,7,3,1
Pb,0.032,7,3,1
Mo,0.01136,7,3,1
Sb,0.79152,7,3,1
Sn,0.03824,7,3,1
As,0.01792,80,2,1
Cd,0.05584,80,2,1
Co,0.02944,80,2,1
Hg,0.07952,80,2,1
Ni,0.28256,80,2,1
Tl,0.2288,80,2,1
Pb,0.04224,80,2,1
Mo,0.04784,80,2,1
Sb,0.9872,80,2,1
Sn,0.82832,80,2,1
As,0.02608,81,2,1
Cd,0.05104,81,2,1
Co,0.01808,81,2,1
Hg,0.98384,81,2,1
Ni,0.99488,81,2,1
Tl,0.16288,81,2,1
Pb,0.01792,81,2,1
Mo,0.07584,81,2,1
Sb,0.7336,81,2,1
Sn,0.15616,81,2,1
As,0.03504,82,3,1
Cd,0.28688,82,3,1
Co,0.0264,82,3,1
Hg,0.32928,82,3,1
Ni,0.88432,82,3,1
Tl,0.07104,82,3,1
Pb,0.04672,82,3,1
Mo,0.10896,82,3,1
Sb,0.99872,82,3,1
Sn,0.2448,82,3,1
As,0.04128,83,2,1
Cd,0.12192,83,2,1
Co,0.77664,83,2,1
Hg,0.0656,83,2,1
Ni,0.9976,83,2,1
Tl,0.02704,83,2,1
Pb,0.9064,83,2,1
Mo,0.07264,83,2,1
Sb,0.98448,83,2,1
Sn,0.04384,83,2,1
As,0.05792,84,2,1
Cd,0.03472,84,2,1
Co,0.03056,84,2,1
Hg,0.8856,84,2,1
Ni,0.99936,84,2,1
Tl,0.07792,84,2,1
Pb,0.65424,84,2,1
Mo,0.032,84,2,1
Sb,0.95888,84,2,1
Sn,0.33072,84,2,1
As,0.09728,85,3,1
Cd,0.24688,85,3,1
Co,0.0144,85,3,1
Hg,0.81616,85,3,1
Ni,1,85,3,1
Tl,0.076,85,3,1
Pb,0.04528,85,3,1
Mo,0.00992,85,3,1
