Var1,Var2,PIP,trial,df,case
2,5,0.28544,17,3,1
3,5,6.4e-4,17,3,1
4,5,6.399999999999999e-4,17,3,1
1,6,1.6e-4,17,3,1
2,6,3.1999999999999997e-4,17,3,1
3,6,0,17,3,1
4,6,0,17,3,1
5,6,1.6e-4,17,3,1
1,7,0,17,3,1
2,7,0,17,3,1
3,7,3.1999999999999997e-4,17,3,1
4,7,0,17,3,1
5,7,0,17,3,1
6,7,0,17,3,1
1,8,6.399999999999999e-4,17,3,1
2,8,0.00144,17,3,1
3,8,0.00208,17,3,1
4,8,1.5999999999999999e-4,17,3,1
5,8,0.03248,17,3,1
6,8,0.00688,17,3,1
7,8,0.00176,17,3,1
1,9,0.80208,17,3,1
2,9,0.0056,17,3,1
3,9,0,17,3,1
4,9,3.1999999999999997e-4,17,3,1
5,9,0.0011200000000000001,17,3,1
6,9,1.5999999999999999e-4,17,3,1
7,9,0,17,3,1
8,9,0.01152,17,3,1
1,10,0.0012799999999999999,17,3,1
2,10,1.6e-4,17,3,1
3,10,0,17,3,1
4,10,0.00144,17,3,1
5,10,0,17,3,1
6,10,0,17,3,1
7,10,0,17,3,1
8,10,3.2e-4,17,3,1
9,10,0,17,3,1
1,2,0,18,2,1
1,3,0,18,2,1
2,3,0,18,2,1
1,4,0,18,2,1
2,4,0,18,2,1
3,4,3.1999999999999997e-4,18,2,1
1,5,3.2e-4,18,2,1
2,5,0,18,2,1
3,5,6.399999999999999e-4,18,2,1
4,5,0.0152,18,2,1
1,6,1.5999999999999999e-4,18,2,1
2,6,1.6e-4,18,2,1
3,6,1.6e-4,18,2,1
4,6,0,18,2,1
5,6,1.6e-4,18,2,1
1,7,0,18,2,1
2,7,0,18,2,1
3,7,8e-4,18,2,1
4,7,0,18,2,1
5,7,3.1999999999999997e-4,18,2,1
6,7,0,18,2,1
1,8,6.399999999999999e-4,18,2,1
2,8,0,18,2,1
3,8,0,18,2,1
4,8,0,18,2,1
5,8,0,18,2,1
6,8,4.8e-4,18,2,1
