variable,PIP,race,trial,case
LBX180LA,0.44196,3,12,1
LBX187LA,0.43336,3,12,1
LBX194LA,0.4094,3,12,1
LBXPCBLA,0.38108,3,12,1
LBXHXCLA,0.38548,3,12,1
LBX118LA,0.56788,3,12,1
LBXD03LA,0.46104,3,12,1
LBXD05LA,0.98224,3,12,1
LBXD07LA,0.67772,3,12,1
LBXF03LA,0.37396,3,12,1
LBXF04LA,0.44464,3,12,1
LBXF05LA,0.3796,3,12,1
LBXF08LA,0.46744,3,12,1
LBX074LA,0.46044,1,13,1
LBX099LA,0.48252,1,13,1
LBX138LA,0.29032,1,13,1
LBX153LA,0.37236,1,13,1
LBX170LA,0.30308,1,13,1
LBX180LA,0.28988,1,13,1
LBX187LA,0.48028,1,13,1
LBX194LA,0.27668,1,13,1
LBXPCBLA,0.32044,1,13,1
LBXHXCLA,0.25156,1,13,1
LBX118LA,0.40744,1,13,1
LBXD03LA,0.30516,1,13,1
LBXD05LA,0.46892,1,13,1
LBXD07LA,0.58096,1,13,1
LBXF03LA,0.27252,1,13,1
LBXF04LA,0.65752,1,13,1
LBXF05LA,0.34668,1,13,1
LBXF08LA,0.2368,1,13,1
LBX074LA,0.58308,2,13,1
LBX099LA,0.2826,2,13,1
LBX138LA,0.32544,2,13,1
LBX153LA,0.25976,2,13,1
LBX170LA,0.28112,2,13,1
LBX180LA,0.36032,2,13,1
LBX187LA,0.31884,2,13,1
LBX194LA,0.23928,2,13,1
LBXPCBLA,0.30476,2,13,1
LBXHXCLA,0.2302,2,13,1
LBX118LA,0.4524,2,13,1
LBXD03LA,0.3496,2,13,1
LBXD05LA,0.98364,2,13,1
LBXD07LA,0.23772,2,13,1
LBXF03LA,0.24664,2,13,1
LBXF04LA,0.52612,2,13,1
LBXF05LA,0.2314,2,13,1
LBXF08LA,0.18984,2,13,1
LBX074LA,0.57832,3,13,1
LBX099LA,0.3164,3,13,1
LBX138LA,0.44248,3,13,1
LBX153LA,0.38512,3,13,1
LBX170LA,0.27068,3,13,1
LBX180LA,0.313,3,13,1
LBX187LA,0.59584,3,13,1
LBX194LA,0.50868,3,13,1
LBXPCBLA,0.49576,3,13,1
LBXHXCLA,0.29112,3,13,1
LBX118LA,0.52292,3,13,1
LBXD03LA,0.23612,3,13,1
LBXD05LA,0.39176,3,13,1
LBXD07LA,0.25064,3,13,1
LBXF03LA,0.39528,3,13,1
LBXF04LA,0.35,3,13,1
LBXF05LA,0.2226,3,13,1
LBXF08LA,0.25348,3,13,1
LBX074LA,0.72012,1,14,1
LBX099LA,0.5754,1,14,1
LBX138LA,0.54948,1,14,1
LBX153LA,0.59204,1,14,1
LBX170LA,0.61608,1,14,1
LBX180LA,0.583,1,14,1
LBX187LA,0.68772,1,14,1
LBX194LA,0.61432,1,14,1
LBXPCBLA,0.72332,1,14,1
LBXHXCLA,0.6212,1,14,1
LBX118LA,0.6316,1,14,1
LBXD03LA,0.61076,1,14,1
LBXD05LA,0.56288,1,14,1
LBXD07LA,0.59308,1,14,1
LBXF03LA,0.56432,1,14,1
LBXF04LA,0.5704,1,14,1
LBXF05LA,0.68492,1,14,1
LBXF08LA,0.53792,1,14,1
LBX074LA,0.87772,2,14,1
LBX099LA,0.22428,2,14,1
LBX138LA,0.17556,2,14,1
LBX153LA,0.18692,2,14,1
LBX170LA,0.19216,2,14,1
LBX180LA,0.13856,2,14,1
LBX187LA,0.17356,2,14,1
LBX194LA,0.12524,2,14,1
LBXPCBLA,0.149,2,14,1
LBXHXCLA,0.31304,2,14,1
LBX118LA,0.22936,2,14,1
LBXD03LA,0.15584,2,14,1
LBXD05LA,0.30652,2,14,1
LBXD07LA,0.15,2,14,1
LBXF03LA,0.1436,2,14,1
LBXF04LA,0.96032,2,14,1
LBXF05LA,0.17188,2,14,1
LBXF08LA,0.17672,2,14,1
LBX074LA,0.34688,3,14,1
LBX099LA,0.34036,3,14,1
LBX138LA,0.24444,3,14,1
LBX153LA,0.2056,3,14,1
LBX170LA,0.28692,3,14,1
LBX180LA,0.33264,3,14,1
LBX187LA,0.28132,3,14,1
LBX194LA,0.75028,3,14,1
LBXPCBLA,0.3238,3,14,1
LBXHXCLA,0.20932,3,14,1
LBX118LA,0.24404,3,14,1
LBXD03LA,0.20912,3,14,1
LBXD05LA,0.20108,3,14,1
LBXD07LA,0.47456,3,14,1
LBXF03LA,0.16984,3,14,1
LBXF04LA,0.46776,3,14,1
LBXF05LA,0.19176,3,14,1
LBXF08LA,0.18384,3,14,1
LBX074LA,0.12336,1,15,1
LBX099LA,0.13968,1,15,1
LBX138LA,0.20576,1,15,1
LBX153LA,0.20624,1,15,1
LBX170LA,0.41112,1,15,1
LBX180LA,0.40592,1,15,1
LBX187LA,0.19184,1,15,1
LBX194LA,0.1928,1,15,1
LBXPCBLA,0.53764,1,15,1
LBXHXCLA,0.18128,1,15,1
LBX118LA,0.25904,1,15,1
LBXD03LA,0.1742,1,15,1
LBXD05LA,0.52172,1,15,1
LBXD07LA,0.10752,1,15,1
LBXF03LA,0.16448,1,15,1
LBXF04LA,0.43988,1,15,1
LBXF05LA,0.305,1,15,1
LBXF08LA,0.1082,1,15,1
LBX074LA,0.7014,2,15,1
LBX099LA,0.575,2,15,1
LBX138LA,0.52644,2,15,1
LBX153LA,0.57772,2,15,1
LBX170LA,0.6378,2,15,1
LBX180LA,0.55708,2,15,1
LBX187LA,0.57272,2,15,1
LBX194LA,0.69228,2,15,1
LBXPCBLA,0.41124,2,15,1
LBXHXCLA,0.6164,2,15,1
LBX118LA,0.48848,2,15,1
LBXD03LA,0.51416,2,15,1
LBXD05LA,0.64388,2,15,1
LBXD07LA,0.5236,2,15,1
LBXF03LA,0.57032,2,15,1
LBXF04LA,1,2,15,1
LBXF05LA,0.48608,2,15,1
LBXF08LA,0.57616,2,15,1
LBX074LA,0.37976,3,15,1
LBX099LA,0.36156,3,15,1
LBX138LA,0.40024,3,15,1
LBX153LA,0.393,3,15,1
LBX170LA,0.45416,3,15,1
LBX180LA,0.41212,3,15,1
LBX187LA,0.48012,3,15,1
LBX194LA,0.67132,3,15,1
LBXPCBLA,0.39904,3,15,1
LBXHXCLA,0.57808,3,15,1
LBX118LA,0.31748,3,15,1
LBXD03LA,0.41036,3,15,1
LBXD05LA,0.93492,3,15,1
LBXD07LA,0.61956,3,15,1
LBXF03LA,0.4002,3,15,1
