est,sd,race,variable,trial,case
-2.1021805291514783,4.5436349308677375,3,15,10,1
0.31389678475165605,2.05806055569278,3,16,10,1
0.7389669845405895,2.948029644530541,3,17,10,1
0.1535656167607251,1.7238245486106527,3,18,10,1
-0.3609350103814144,2.6669720462870172,1,1,100,1
-0.042019307317416654,2.6097481809065153,1,2,100,1
2.4539123030995453,3.216982765701031,1,3,100,1
0.7692965990790341,2.741474411907082,1,4,100,1
3.6986107102098487,4.044580448894989,1,5,100,1
2.1065640840560125,3.206432099413432,1,6,100,1
0.8334551384503284,3.421980483217066,1,7,100,1
0.48701754878570824,3.639935067722281,1,8,100,1
-1.3522001196208007,1.4017820166219745,1,9,100,1
-1.1504257733325347,2.959989369293056,1,10,100,1
-0.9645733381903887,2.6976574066947774,1,11,100,1
0.6077340073998823,1.5890698210953862,1,12,100,1
0.4192653611057917,1.350892541337848,1,14,100,1
1.4757113283867032,2.124204755792365,1,15,100,1
-2.1379771717306935,2.4280577153288694,1,16,100,1
3.6867651217857804,2.1954286822945472,1,17,100,1
-0.35005368717862506,1.0334256027822288,1,18,100,1
0.6992208024974054,1.658183256297926,2,1,100,1
-1.582956665557055,1.6951386433657416,2,2,100,1
0.1245187184876646,2.1144649555485655,2,3,100,1
1.2046414220515294,2.597605771505332,2,4,100,1
2.3400777866556,2.786219769982733,2,5,100,1
1.317210405312347,2.2456954183772426,2,6,100,1
0.3407825782651255,2.1434444695677835,2,7,100,1
2.311621538943134,2.4263598307389334,2,8,100,1
0.5510107248109612,1.0539576756229525,2,9,100,1
1.5190075163032133,2.1070528828104305,2,10,100,1
3.615125935203415,2.2206334816574045,2,11,100,1
-0.5558063269488338,1.3581830719583934,2,12,100,1
0.49586192566747833,1.3360969816938626,2,14,100,1
0.09549399080651888,1.7527433926380998,2,15,100,1
1.1089540395894497,1.7223579719353845,2,16,100,1
-0.6104564278572591,1.6658677800839434,2,17,100,1
0.5648580041169899,1.1737542381329369,2,18,100,1
0.9774770554997378,1.9979037354720361,3,1,100,1
1.0841834860083055,1.8491752891564133,3,2,100,1
-0.682381779211297,2.162105892954821,3,3,100,1
-0.7951176169839844,1.9550908806060747,3,4,100,1
0.10157021353701268,1.9018480365828376,3,5,100,1
0.14822963458693983,2.67830157345828,3,6,100,1
0.3555810756411173,2.3134131743013664,3,7,100,1
1.5096460053095755,2.407515479146523,3,8,100,1
0.5674934362740961,1.2279294598640669,3,9,100,1
-0.16568443340781958,2.0071876425296202,3,10,100,1
-0.9101973140380443,1.9050399700243337,3,11,100,1
0.009933103918012387,1.504547515090364,3,12,100,1
0.9419124581989358,1.568195423034649,3,14,100,1
2.708142382837191,2.0767270869095142,3,15,100,1
-0.148275341524704,1.2898576424624604,3,16,100,1
0.9182675345790787,1.3741105597638736,3,17,100,1
0.37174147638267885,0.8684455797430819,3,18,100,1
-1.0005762779079284,3.1071711669061566,1,1,11,1
0.35960905056874726,2.41940960800983,1,2,11,1
0.7036999529764536,2.142273610761041,1,3,11,1
0.017513741600636124,2.47615952197039,1,4,11,1
1.1339613043289383,3.7681781260765157,1,5,11,1
