variable,PIP,df,race,trial,case
LBX170LA,0.18928,1,3,11,1
LBX180LA,0.1488,1,3,11,1
LBX187LA,0.15664,1,3,11,1
LBX194LA,0.29456,1,3,11,1
LBXPCBLA,0.25168,1,3,11,1
LBXHXCLA,0.10944,1,3,11,1
LBX118LA,0.13952,1,3,11,1
LBXD03LA,0.13744,1,3,11,1
LBXD05LA,0.44608,1,3,11,1
LBXD07LA,0.1256,1,3,11,1
LBXF03LA,0.09328,1,3,11,1
LBXF04LA,0.12512,1,3,11,1
LBXF05LA,0.0848,1,3,11,1
LBXF08LA,0.06624,1,3,11,1
LBX074LA,0.07232,3,1,12,1
LBX099LA,0.07152,3,1,12,1
LBX138LA,0.07792,3,1,12,1
LBX153LA,0.1144,3,1,12,1
LBX170LA,0.09888,3,1,12,1
LBX180LA,0.10896,3,1,12,1
LBX187LA,0.1696,3,1,12,1
LBX194LA,0.23312,3,1,12,1
LBXPCBLA,0.21696,3,1,12,1
LBXHXCLA,0.08496,3,1,12,1
LBX118LA,0.0744,3,1,12,1
LBXD03LA,0.11296,3,1,12,1
LBXD05LA,0.24576,3,1,12,1
LBXD07LA,0.96256,3,1,12,1
LBXF03LA,0.11408,3,1,12,1
LBXF04LA,0.67584,3,1,12,1
LBXF05LA,0.10544,3,1,12,1
LBXF08LA,0.1128,3,1,12,1
LBX074LA,0.36672,1,2,12,1
LBX099LA,0.68528,1,2,12,1
LBX138LA,0.57152,1,2,12,1
LBX153LA,0.42256,1,2,12,1
LBX170LA,0.24128,1,2,12,1
LBX180LA,0.53168,1,2,12,1
LBX187LA,0.18992,1,2,12,1
LBX194LA,0.21712,1,2,12,1
LBXPCBLA,0.27168,1,2,12,1
LBXHXCLA,0.20128,1,2,12,1
LBX118LA,0.17856,1,2,12,1
LBXD03LA,0.15168,1,2,12,1
LBXD05LA,0.15296,1,2,12,1
LBXD07LA,0.12112,1,2,12,1
LBXF03LA,0.09472,1,2,12,1
LBXF04LA,0.14976,1,2,12,1
LBXF05LA,0.27392,1,2,12,1
LBXF08LA,0.60416,1,2,12,1
LBX074LA,0.22912,3,3,12,1
LBX099LA,0.17488,3,3,12,1
LBX138LA,0.25104,3,3,12,1
LBX153LA,0.28208,3,3,12,1
LBX170LA,0.2,3,3,12,1
LBX180LA,0.23136,3,3,12,1
LBX187LA,0.32448,3,3,12,1
LBX194LA,0.13952,3,3,12,1
LBXPCBLA,0.46288,3,3,12,1
LBXHXCLA,0.67664,3,3,12,1
LBX118LA,0.81024,3,3,12,1
LBXD03LA,0.59408,3,3,12,1
LBXD05LA,0.95712,3,3,12,1
LBXD07LA,0.88688,3,3,12,1
LBXF03LA,0.18656,3,3,12,1
LBXF04LA,0.21728,3,3,12,1
LBXF05LA,0.12416,3,3,12,1
LBXF08LA,0.75984,3,3,12,1
LBX074LA,0.3336,1,1,13,1
LBX099LA,0.40896,1,1,13,1
LBX138LA,0.1224,1,1,13,1
LBX153LA,0.23232,1,1,13,1
LBX170LA,0.13312,1,1,13,1
LBX180LA,0.11952,1,1,13,1
LBX187LA,0.1968,1,1,13,1
