variable,PIP,race,trial,case
LBX194LA,0.39648,3,11,1
LBXPCBLA,0.602,3,11,1
LBXHXCLA,0.45712,3,11,1
LBX118LA,0.41844,3,11,1
LBXD03LA,0.36644,3,11,1
LBXD05LA,0.56184,3,11,1
LBXD07LA,0.37944,3,11,1
LBXF03LA,0.41248,3,11,1
LBXF04LA,0.41028,3,11,1
LBXF05LA,0.39916,3,11,1
LBXF08LA,0.41004,3,11,1
LBX074LA,0.49212,1,12,1
LBX099LA,0.4202,1,12,1
LBX138LA,0.48748,1,12,1
LBX153LA,0.425,1,12,1
LBX170LA,0.48,1,12,1
LBX180LA,0.42448,1,12,1
LBX187LA,0.46464,1,12,1
LBX194LA,0.41984,1,12,1
LBXPCBLA,0.38736,1,12,1
LBXHXCLA,0.3552,1,12,1
LBX118LA,0.4718,1,12,1
LBXD03LA,0.41116,1,12,1
LBXD05LA,0.91068,1,12,1
LBXD07LA,0.44448,1,12,1
LBXF03LA,0.37164,1,12,1
LBXF04LA,0.40888,1,12,1
LBXF05LA,0.38116,1,12,1
LBXF08LA,0.32496,1,12,1
LBX074LA,0.50544,2,12,1
LBX099LA,0.25796,2,12,1
LBX138LA,0.2572,2,12,1
LBX153LA,0.27768,2,12,1
LBX170LA,0.23192,2,12,1
LBX180LA,0.30196,2,12,1
LBX187LA,0.21528,2,12,1
LBX194LA,0.18492,2,12,1
LBXPCBLA,0.21592,2,12,1
LBXHXCLA,0.32812,2,12,1
LBX118LA,0.29124,2,12,1
LBXD03LA,0.27268,2,12,1
LBXD05LA,0.29408,2,12,1
LBXD07LA,0.25608,2,12,1
LBXF03LA,0.75348,2,12,1
LBXF04LA,0.19096,2,12,1
LBXF05LA,0.14564,2,12,1
LBXF08LA,0.19564,2,12,1
LBX074LA,0.40364,3,12,1
LBX099LA,0.36672,3,12,1
LBX138LA,0.45344,3,12,1
LBX153LA,0.34952,3,12,1
LBX170LA,0.34236,3,12,1
LBX180LA,0.31952,3,12,1
LBX187LA,0.3036,3,12,1
LBX194LA,0.3646,3,12,1
LBXPCBLA,0.381,3,12,1
LBXHXCLA,0.32596,3,12,1
LBX118LA,0.48492,3,12,1
LBXD03LA,0.3852,3,12,1
LBXD05LA,0.352,3,12,1
LBXD07LA,0.36908,3,12,1
LBXF03LA,0.35744,3,12,1
LBXF04LA,0.30708,3,12,1
LBXF05LA,0.29812,3,12,1
LBXF08LA,0.3398,3,12,1
LBX074LA,0.43596,1,13,1
LBX099LA,0.38024,1,13,1
LBX138LA,0.41652,1,13,1
LBX153LA,0.44324,1,13,1
LBX170LA,0.45172,1,13,1
LBX180LA,0.38108,1,13,1
LBX187LA,0.42864,1,13,1
LBX194LA,0.3874,1,13,1
LBXPCBLA,0.5696,1,13,1
LBXHXCLA,0.4306,1,13,1
LBX118LA,0.41044,1,13,1
LBXD03LA,0.418,1,13,1
LBXD05LA,0.45268,1,13,1
LBXD07LA,0.41692,1,13,1
LBXF03LA,0.4296,1,13,1
LBXF04LA,0.45388,1,13,1
LBXF05LA,0.37932,1,13,1
LBXF08LA,0.44936,1,13,1
LBX074LA,0.2282,2,13,1
LBX099LA,0.25628,2,13,1
LBX138LA,0.23,2,13,1
LBX153LA,0.23988,2,13,1
LBX170LA,0.21748,2,13,1
LBX180LA,0.19932,2,13,1
LBX187LA,0.17528,2,13,1
LBX194LA,0.20172,2,13,1
LBXPCBLA,0.3286,2,13,1
LBXHXCLA,0.54436,2,13,1
LBX118LA,0.2906,2,13,1
LBXD03LA,0.29456,2,13,1
LBXD05LA,0.17856,2,13,1
LBXD07LA,0.1522,2,13,1
LBXF03LA,0.16496,2,13,1
LBXF04LA,0.2462,2,13,1
LBXF05LA,0.17376,2,13,1
LBXF08LA,0.17528,2,13,1
LBX074LA,0.32868000000000003,3,13,1
LBX099LA,0.29528,3,13,1
LBX138LA,0.3068,3,13,1
LBX153LA,0.27164,3,13,1
LBX170LA,0.36132,3,13,1
LBX180LA,0.38512,3,13,1
LBX187LA,0.30088,3,13,1
LBX194LA,0.62208,3,13,1
LBXPCBLA,0.3278,3,13,1
LBXHXCLA,0.4626,3,13,1
LBX118LA,0.3086,3,13,1
LBXD03LA,0.31152,3,13,1
LBXD05LA,0.25172,3,13,1
LBXD07LA,0.27128,3,13,1
LBXF03LA,0.28156,3,13,1
LBXF04LA,0.27488,3,13,1
LBXF05LA,0.34416,3,13,1
LBXF08LA,0.29088,3,13,1
LBX074LA,0.69332,1,14,1
LBX099LA,0.68288,1,14,1
LBX138LA,0.68044,1,14,1
LBX153LA,0.71456,1,14,1
LBX170LA,0.71552,1,14,1
LBX180LA,0.72528,1,14,1
LBX187LA,0.73740000000000006,1,14,1
LBX194LA,0.76532,1,14,1
LBXPCBLA,0.90012,1,14,1
LBXHXCLA,0.78276,1,14,1
LBX118LA,0.70772,1,14,1
LBXD03LA,0.66,1,14,1
LBXD05LA,0.89464,1,14,1
LBXD07LA,0.82412,1,14,1
LBXF03LA,0.64408,1,14,1
LBXF04LA,0.73692,1,14,1
LBXF05LA,0.84896,1,14,1
LBXF08LA,0.54504,1,14,1
LBX074LA,0.39448,2,14,1
LBX099LA,0.38872,2,14,1
LBX138LA,0.32244,2,14,1
LBX153LA,0.31284,2,14,1
LBX170LA,0.3388,2,14,1
LBX180LA,0.32196,2,14,1
LBX187LA,0.33132,2,14,1
LBX194LA,0.36268,2,14,1
LBXPCBLA,0.31896,2,14,1
LBXHXCLA,0.58924,2,14,1
LBX118LA,0.33984,2,14,1
LBXD03LA,0.51924,2,14,1
LBXD05LA,0.39464,2,14,1
LBXD07LA,0.32456,2,14,1
LBXF03LA,0.32212,2,14,1
LBXF04LA,0.39476,2,14,1
LBXF05LA,0.40832,2,14,1
LBXF08LA,0.30892,2,14,1
LBX074LA,0.39044,3,14,1
LBX099LA,0.36272,3,14,1
LBX138LA,0.38312,3,14,1
LBX153LA,0.38912,3,14,1
LBX170LA,0.49024,3,14,1
LBX180LA,0.41632,3,14,1
LBX187LA,0.40712,3,14,1
LBX194LA,0.43448,3,14,1
LBXPCBLA,0.34224,3,14,1
LBXHXCLA,0.40128,3,14,1
LBX118LA,0.38684,3,14,1
LBXD03LA,0.33468,3,14,1
LBXD05LA,0.35968,3,14,1
LBXD07LA,0.31804,3,14,1
LBXF03LA,0.386,3,14,1
LBXF04LA,0.31996,3,14,1
LBXF05LA,0.38092,3,14,1
LBXF08LA,0.38424,3,14,1
LBX074LA,0.32508,1,15,1
LBX099LA,0.41228,1,15,1
LBX138LA,0.39664,1,15,1
LBX153LA,0.36788,1,15,1
LBX170LA,0.36856,1,15,1
LBX180LA,0.3546,1,15,1
LBX187LA,0.4096,1,15,1
LBX194LA,0.37996,1,15,1
LBXPCBLA,0.53224,1,15,1
LBXHXCLA,0.39976,1,15,1
LBX118LA,0.32872,1,15,1
LBXD03LA,0.49128,1,15,1
LBXD05LA,0.66572,1,15,1
LBXD07LA,0.52136,1,15,1
LBXF03LA,0.33596,1,15,1
LBXF04LA,0.5048,1,15,1
LBXF05LA,0.44484,1,15,1
LBXF08LA,0.407,1,15,1
LBX074LA,0.47432,2,15,1
LBX099LA,0.43072,2,15,1
LBX138LA,0.39828,2,15,1
LBX153LA,0.40648,2,15,1
LBX170LA,0.45192,2,15,1
LBX180LA,0.39268,2,15,1
LBX187LA,0.41384,2,15,1
LBX194LA,0.40772,2,15,1
LBXPCBLA,0.362,2,15,1
LBXHXCLA,0.40296,2,15,1
LBX118LA,0.4184,2,15,1
LBXD03LA,0.45488,2,15,1
LBXD05LA,0.38436,2,15,1
LBXD07LA,0.37732,2,15,1
LBXF03LA,0.38212,2,15,1
LBXF04LA,0.52252,2,15,1
LBXF05LA,0.48972,2,15,1
LBXF08LA,0.42872,2,15,1
LBX074LA,0.3496,3,15,1
LBX099LA,0.35364,3,15,1
LBX138LA,0.34064,3,15,1
LBX153LA,0.39216,3,15,1
LBX170LA,0.36792,3,15,1
LBX180LA,0.38016,3,15,1
LBX187LA,0.57208,3,15,1
LBX194LA,0.37992,3,15,1
LBXPCBLA,0.46124,3,15,1
LBXHXCLA,0.3092,3,15,1
LBX118LA,0.32484,3,15,1
LBXD03LA,0.32352,3,15,1
LBXD05LA,0.39776,3,15,1
LBXD07LA,0.4244,3,15,1
LBXF03LA,0.71812,3,15,1
LBXF04LA,0.31556,3,15,1
LBXF05LA,0.33372,3,15,1
LBXF08LA,0.38888,3,15,1
LBX074LA,0.348,1,16,1
LBX099LA,0.391,1,16,1
LBX138LA,0.34052,1,16,1
LBX153LA,0.37948,1,16,1
LBX170LA,0.41648,1,16,1
LBX180LA,0.36668,1,16,1
LBX187LA,0.35916,1,16,1
LBX194LA,0.36648,1,16,1
LBXPCBLA,0.54212,1,16,1
LBXHXCLA,0.37924,1,16,1
LBX118LA,0.35464,1,16,1
LBXD03LA,0.57412,1,16,1
LBXD05LA,0.442,1,16,1
LBXD07LA,0.40172,1,16,1
LBXF03LA,0.3966,1,16,1
LBXF04LA,0.44588,1,16,1
LBXF05LA,0.57476,1,16,1
LBXF08LA,0.29504,1,16,1
LBX074LA,0.6052,2,16,1
LBX099LA,0.53872,2,16,1
LBX138LA,0.56152,2,16,1
LBX153LA,0.60572,2,16,1
LBX170LA,0.6984,2,16,1
LBX180LA,0.65268,2,16,1
LBX187LA,0.63952,2,16,1
LBX194LA,0.70668,2,16,1
LBXPCBLA,0.71032,2,16,1
LBXHXCLA,0.56848,2,16,1
LBX118LA,0.60808,2,16,1
LBXD03LA,0.562,2,16,1
LBXD05LA,0.80212,2,16,1
LBXD07LA,0.5604,2,16,1
LBXF03LA,0.5994,2,16,1
LBXF04LA,0.6008,2,16,1
LBXF05LA,0.597,2,16,1
LBXF08LA,0.68344,2,16,1
LBX074LA,0.54004,3,16,1
LBX099LA,0.53108,3,16,1
LBX138LA,0.53644,3,16,1
LBX153LA,0.54608,3,16,1
LBX170LA,0.51696,3,16,1
LBX180LA,0.55988,3,16,1
LBX187LA,0.548,3,16,1
LBX194LA,0.53312,3,16,1
LBXPCBLA,0.82928,3,16,1
LBXHXCLA,0.66496,3,16,1
LBX118LA,0.5576,3,16,1
LBXD03LA,0.53068,3,16,1
LBXD05LA,0.57332,3,16,1
LBXD07LA,0.5368,3,16,1
LBXF03LA,0.75148,3,16,1
LBXF04LA,0.53784,3,16,1
LBXF05LA,0.54304,3,16,1
LBXF08LA,0.59956,3,16,1
LBX074LA,0.44408,1,17,1
LBX099LA,0.46952,1,17,1
LBX138LA,0.49848,1,17,1
LBX153LA,0.51544,1,17,1
LBX170LA,0.4792,1,17,1
LBX180LA,0.4992,1,17,1
LBX187LA,0.49324,1,17,1
LBX194LA,0.53608,1,17,1
LBXPCBLA,0.52716,1,17,1
LBXHXCLA,0.47932,1,17,1
LBX118LA,0.4902,1,17,1
LBXD03LA,0.47848,1,17,1
LBXD05LA,0.5522,1,17,1
LBXD07LA,0.63912,1,17,1
LBXF03LA,0.47756,1,17,1
LBXF04LA,0.45584,1,17,1
LBXF05LA,0.58708,1,17,1
LBXF08LA,0.59112,1,17,1
LBX074LA,0.30404,2,17,1
LBX099LA,0.39136,2,17,1
LBX138LA,0.36348,2,17,1
LBX153LA,0.4224,2,17,1
LBX170LA,0.35128,2,17,1
LBX180LA,0.34,2,17,1
LBX187LA,0.41288,2,17,1
LBX194LA,0.27984,2,17,1
LBXPCBLA,0.32736,2,17,1
LBXHXCLA,0.32612,2,17,1
LBX118LA,0.3186,2,17,1
LBXD03LA,0.4118,2,17,1
LBXD05LA,0.36064,2,17,1
LBXD07LA,0.35156,2,17,1
LBXF03LA,0.37984,2,17,1
LBXF04LA,0.38572,2,17,1
LBXF05LA,0.34316,2,17,1
LBXF08LA,0.37512,2,17,1
LBX074LA,0.53704,3,17,1
LBX099LA,0.62296,3,17,1
LBX138LA,0.5574,3,17,1
LBX153LA,0.57192,3,17,1
LBX170LA,0.53368,3,17,1
LBX180LA,0.53436,3,17,1
LBX187LA,0.59488,3,17,1
LBX194LA,0.49608,3,17,1
LBXPCBLA,0.59184,3,17,1
LBXHXCLA,0.52032,3,17,1
LBX118LA,0.56244,3,17,1
LBXD03LA,0.5294,3,17,1
LBXD05LA,0.766,3,17,1
LBXD07LA,0.67044,3,17,1
LBXF03LA,0.68564,3,17,1
LBXF04LA,0.54728,3,17,1
LBXF05LA,0.53136,3,17,1
LBXF08LA,0.4514,3,17,1
LBX074LA,0.53676,1,18,1
LBX099LA,0.48424,1,18,1
LBX138LA,0.52848,1,18,1
LBX153LA,0.54184,1,18,1
LBX170LA,0.5382,1,18,1
LBX180LA,0.5474,1,18,1
LBX187LA,0.58888,1,18,1
LBX194LA,0.47176,1,18,1
LBXPCBLA,0.65304,1,18,1
LBXHXCLA,0.49616,1,18,1
LBX118LA,0.66904,1,18,1
LBXD03LA,0.53428,1,18,1
LBXD05LA,0.48964,1,18,1
LBXD07LA,0.50872,1,18,1
LBXF03LA,0.43356,1,18,1
LBXF04LA,0.5754,1,18,1
LBXF05LA,0.45116,1,18,1
LBXF08LA,0.48452,1,18,1
LBX074LA,0.38512,2,18,1
LBX099LA,0.45796,2,18,1
LBX138LA,0.39232,2,18,1
LBX153LA,0.39096,2,18,1
LBX170LA,0.68584,2,18,1
LBX180LA,0.42664,2,18,1
LBX187LA,0.50792,2,18,1
LBX194LA,0.41188,2,18,1
LBXPCBLA,0.39836,2,18,1
LBXHXCLA,0.35272,2,18,1
LBX118LA,0.32632,2,18,1
LBXD03LA,0.39648,2,18,1
LBXD05LA,0.61968,2,18,1
LBXD07LA,0.39472,2,18,1
LBXF03LA,0.32988,2,18,1
LBXF04LA,0.42744,2,18,1
LBXF05LA,0.45956,2,18,1
LBXF08LA,0.3422,2,18,1
LBX074LA,0.48864,3,18,1
LBX099LA,0.48224,3,18,1
LBX138LA,0.46748,3,18,1
LBX153LA,0.43388,3,18,1
LBX170LA,0.48904,3,18,1
LBX180LA,0.50152,3,18,1
LBX187LA,0.43668,3,18,1
LBX194LA,0.51892,3,18,1
LBXPCBLA,0.54088,3,18,1
LBXHXCLA,0.49136,3,18,1
LBX118LA,0.4352,3,18,1
LBXD03LA,0.4198,3,18,1
LBXD05LA,0.44836,3,18,1
LBXD07LA,0.73472,3,18,1
LBXF03LA,0.43588,3,18,1
LBXF04LA,0.5112,3,18,1
LBXF05LA,0.44496,3,18,1
LBXF08LA,0.48696,3,18,1
LBX074LA,0.47736,1,19,1
LBX099LA,0.48588,1,19,1
LBX138LA,0.50204,1,19,1
LBX153LA,0.58976,1,19,1
LBX170LA,0.59472,1,19,1
LBX180LA,0.52488,1,19,1
LBX187LA,0.51372,1,19,1
LBX194LA,0.56428,1,19,1
LBXPCBLA,0.43188,1,19,1
LBXHXCLA,0.48288,1,19,1
LBX118LA,0.48932,1,19,1
LBXD03LA,0.4716,1,19,1
LBXD05LA,0.54692,1,19,1
LBXD07LA,0.45696,1,19,1
LBXF03LA,0.49308,1,19,1
LBXF04LA,0.47964,1,19,1
LBXF05LA,0.5814,1,19,1
LBXF08LA,0.5778,1,19,1
LBX074LA,0.24792,2,19,1
LBX099LA,0.2588,2,19,1
LBX138LA,0.27696,2,19,1
LBX153LA,0.2364,2,19,1
LBX170LA,0.30056,2,19,1
LBX180LA,0.30708,2,19,1
LBX187LA,0.33832,2,19,1
LBX194LA,0.33404,2,19,1
LBXPCBLA,0.57768,2,19,1
LBXHXCLA,0.29296,2,19,1
LBX118LA,0.27572,2,19,1
LBXD03LA,0.29432,2,19,1
LBXD05LA,0.25096,2,19,1
LBXD07LA,0.3614,2,19,1
LBXF03LA,0.45368000000000003,2,19,1
LBXF04LA,0.26028,2,19,1
LBXF05LA,0.2964,2,19,1
LBXF08LA,0.31792,2,19,1
LBX074LA,0.43828,3,19,1
LBX099LA,0.4002,3,19,1
LBX138LA,0.43272,3,19,1
LBX153LA,0.44036,3,19,1
LBX170LA,0.44888,3,19,1
LBX180LA,0.51452,3,19,1
LBX187LA,0.44364,3,19,1
LBX194LA,0.428,3,19,1
LBXPCBLA,0.4404,3,19,1
LBXHXCLA,0.48232,3,19,1
LBX118LA,0.4726,3,19,1
LBXD03LA,0.4758,3,19,1
LBXD05LA,0.4988,3,19,1
LBXD07LA,0.42976,3,19,1
LBXF03LA,0.50248,3,19,1
LBXF04LA,0.61192,3,19,1
LBXF05LA,0.42568,3,19,1
LBXF08LA,0.44964,3,19,1
LBX074LA,0.43396,1,2,1
LBX099LA,0.34724,1,2,1
LBX138LA,0.39836,1,2,1
LBX153LA,0.41456,1,2,1
LBX170LA,0.45268,1,2,1
LBX180LA,0.36984,1,2,1
LBX187LA,0.37464,1,2,1
