variable,PIP,trial,case
LBX138LA,0.2574,21,1
LBX153LA,0.3208,21,1
LBX170LA,0.31264,21,1
LBX180LA,0.30144,21,1
LBX187LA,0.2626,21,1
LBX194LA,0.8122,21,1
LBXPCBLA,0.56848,21,1
LBXHXCLA,0.37824,21,1
LBX118LA,0.30508,21,1
LBXD03LA,0.68508,21,1
LBXD05LA,0.55212,21,1
LBXD07LA,0.26952,21,1
LBXF03LA,0.19728,21,1
LBXF04LA,0.68632,21,1
LBXF05LA,0.49768,21,1
LBXF08LA,0.24564,21,1
LBX074LA,0.4976,22,1
LBX099LA,0.23188,22,1
LBX138LA,0.23536,22,1
LBX153LA,0.30252,22,1
LBX170LA,0.32312,22,1
LBX180LA,0.28268,22,1
LBX187LA,0.26328,22,1
LBX194LA,0.2352,22,1
LBXPCBLA,0.26908,22,1
LBXHXCLA,0.22576,22,1
LBX118LA,0.22632,22,1
LBXD03LA,0.20792,22,1
LBXD05LA,0.20704,22,1
LBXD07LA,0.2104,22,1
LBXF03LA,0.2194,22,1
LBXF04LA,0.23752,22,1
LBXF05LA,0.23704,22,1
LBXF08LA,0.20968,22,1
LBX074LA,0.41456,23,1
LBX099LA,0.73568,23,1
LBX138LA,0.38108,23,1
LBX153LA,0.35272,23,1
LBX170LA,0.38224,23,1
LBX180LA,0.46928,23,1
LBX187LA,0.36516,23,1
LBX194LA,0.42672,23,1
LBXPCBLA,0.5366,23,1
LBXHXCLA,0.33264,23,1
LBX118LA,0.43776,23,1
LBXD03LA,0.36232,23,1
LBXD05LA,0.94652,23,1
LBXD07LA,0.41148,23,1
LBXF03LA,0.45256,23,1
LBXF04LA,0.61448,23,1
LBXF05LA,0.49656,23,1
LBXF08LA,0.39416,23,1
LBX074LA,0.48116,24,1
LBX099LA,0.47128,24,1
LBX138LA,0.46968,24,1
LBX153LA,0.4584,24,1
LBX170LA,0.54868,24,1
LBX180LA,0.45076,24,1
LBX187LA,0.57256,24,1
LBX194LA,0.49352,24,1
LBXPCBLA,0.47864,24,1
LBXHXCLA,0.49236,24,1
LBX118LA,0.46792,24,1
LBXD03LA,0.46288,24,1
LBXD05LA,0.8598,24,1
LBXD07LA,0.64764,24,1
LBXF03LA,0.44608,24,1
LBXF04LA,0.47356,24,1
LBXF05LA,0.49928,24,1
LBXF08LA,0.43768,24,1
LBX074LA,0.56228,25,1
LBX099LA,0.45852,25,1
LBX138LA,0.43652,25,1
LBX153LA,0.42432,25,1
LBX170LA,0.51168,25,1
LBX180LA,0.39756,25,1
LBX187LA,0.5186,25,1
LBX194LA,0.66752,25,1
LBXPCBLA,0.4732,25,1
LBXHXCLA,0.4044,25,1
LBX118LA,0.61564,25,1
LBXD03LA,0.48224,25,1
LBXD05LA,0.46928,25,1
LBXD07LA,0.37144,25,1
