variable,est,sd,trial,case
Hg,0.4964300231275196,1.00455594393621,160,2
Ni,1.2956086826924533,1.2010501421407531,160,2
Hg,1.1010107129938698,1.201304475612768,161,2
Ni,1.0421679774057369,1.0098911762589113,161,2
Hg,0.8160131898478515,0.8363816167333349,162,2
Ni,0.2671012151902774,0.5968514724624902,162,2
Hg,0.4642902812120182,0.8196918836442468,163,2
Ni,1.6087240665373885,1.0751360704309953,163,2
Hg,0.7471912044855022,1.1253473333129673,164,2
Ni,0.8148346747990263,1.6476073290803717,164,2
Hg,1.589650813284428,1.197603244243862,165,2
Ni,0.7768872513283478,1.118325180749847,165,2
Hg,0.56118463016838,0.860446597498029,166,2
Ni,0.6614696192010965,0.9591163530964005,166,2
Hg,0.206222617570484,0.7752675794278322,167,2
Ni,0.7726927292052999,1.2014754543974264,167,2
Hg,0.6434652688266711,0.8048793080009615,168,2
Ni,0.26476420855213556,1.1151938989041175,168,2
Hg,-0.8510073367897113,1.355387218449064,169,2
Ni,0.383908001681458,0.9282361965663004,169,2
Hg,0.8221285321697716,0.8714413355992555,170,2
Ni,1.1943084967847026,1.0795972049623648,170,2
Hg,0.24364130277517404,0.8103071008243717,171,2
Ni,-0.7515621966667672,0.8176260725821424,171,2
Hg,0.02492268338009529,0.8474902628792653,172,2
Ni,0.5583414000857401,0.8701578957558012,172,2
Hg,-0.2686524096808003,0.7932528509268486,173,2
Ni,-0.6246798886958236,1.0589179463199434,173,2
Hg,-0.5292195531198756,0.9366339252384634,174,2
Ni,-1.6067324862520636,1.0425123396408955,174,2
Hg,1.974856943876865,0.9926396419839698,175,2
Ni,0.9315266226803272,1.4088346989740945,175,2
Hg,-0.08367634596478446,0.7780101519050644,176,2
Ni,0.581810406298513,0.7943121174465325,176,2
Hg,-1.0273164034007656,0.9975863999457755,177,2
Ni,0.1609773095189735,0.8877699373985569,177,2
Hg,1.3974272586662302,1.3251772614709025,178,2
Ni,0.3452456017121346,1.7785513384223381,178,2
Hg,0.14851925306009406,0.7868099877620391,179,2
Ni,-0.7332349346049369,0.9972291367796342,179,2
Hg,-0.17346354528734853,0.43633906997360683,180,2
Ni,-0.5921162565879579,0.7983104881220002,180,2
Hg,0.359110702996567,0.9968479179239598,181,2
Ni,0.08855552601343764,1.3792414291537067,181,2
Hg,1.8732515410201085,0.972872331417908,182,2
Ni,1.2991077199666026,1.0554659319507735,182,2
Hg,0.028725516036902654,0.6883418874316481,183,2
Ni,0.13501419837554707,0.9168596881933437,183,2
Hg,0.5426843838527038,1.0013538177933987,184,2
Ni,0.02216403760454355,1.1631602257993423,184,2
Hg,0.6004925199658713,0.9880329064276104,185,2
Ni,-0.17161920031037337,0.8881719814724056,185,2
Hg,-0.37901997688085665,0.8624568954246531,186,2
Ni,0.09237952483222234,1.058244365121358,186,2
Hg,0.5736825482580752,0.9445101099426306,187,2
Ni,-0.059875674438582216,0.7292841000777385,187,2
Hg,1.1394381362263162,0.9337233534444634,188,2
Ni,-1.1323596804746243,1.4347253933563244,188,2
Hg,1.2103470560566132,1.0368466686627227,189,2
Ni,0.37364872483917466,0.843274405046063,189,2
Hg,0.5080454922210587,0.697574798671743,190,2
Ni,-0.8619133208758303,0.8277047862610571,190,2
Hg,2.134400032034822,1.054211930191697,191,2
Ni,-0.1671440955153667,1.0709699834439455,191,2
Hg,0.49737528827245736,0.9902502993464646,192,2
Ni,0.8594141730554448,2.96032679840272,192,2
Hg,-0.03666634273725755,0.8708846590039249,193,2
Ni,-0.5894984490920354,0.8257526135478895,193,2
Hg,0.2782163018865056,0.880469135358979,194,2
Ni,-0.240899154695696,1.1462035559909165,194,2
Hg,0.0013886731953016707,1.0598504014642165,195,2
Ni,-0.021654510548041905,1.6333713477409475,195,2
Hg,2.0320594645501733,1.7973183696278832,196,2
Ni,-0.5772192228159261,1.5039191250898591,196,2
Hg,1.7850304265537673,1.223312987561935,197,2
Ni,2.2848293988392334,2.3848278374944702,197,2
Hg,-0.03168382631288047,1.0663507389861233,198,2
Ni,0.02393409294166382,0.9614571483620171,198,2
Hg,-0.549219767390098,0.8036503196896617,199,2
Ni,-0.20298195707227862,0.8402141780052559,199,2
Hg,1.039843464357503,0.8151283037031655,200,2
Ni,0.5185683099941008,1.0372876076998072,200,2
Hg,2.926781762025797,1.2600616488244722,201,3
Ni,0.8670733653690719,0.9896023326492639,201,3
Hg,1.270521164667028,0.9561535991521866,202,3
Ni,1.4828724551589745,1.042746495725399,202,3
Hg,1.083252914318714,0.9436811201437915,203,3
Ni,1.765406686998014,1.1954672938163957,203,3
Hg,2.1211077056753327,1.4601039227555344,204,3
Ni,0.2500195013249007,1.2988418425934756,204,3
Hg,1.0233341405189211,0.8723288545423497,205,3
Ni,0.43997921640385584,0.7896801120531413,205,3
Hg,1.2760714583445552,0.8542105648842561,206,3
Ni,0.383076200146955,0.9520624913354028,206,3
Hg,0.31756093596601564,1.1222640623905966,207,3
Ni,0.23365248253857018,0.9785501647985226,207,3
Hg,0.8765071213651945,1.0386154471231666,208,3
