z1,z2,est,sd,trial,case
Mo,Sb,0.0757919048079514,0.37222298726360614,101,2
Mo,Sn,-0.001349790280301022,0.2114259873780608,101,2
Sb,Sn,-0.0703279241128687,0.48585449349664683,101,2
As,Cd,-0.0010505697045326556,0.10038058743269664,102,2
As,Co,-0.029443160804550672,0.15188953289279725,102,2
As,Hg,0.029771098574739696,0.17352944362268072,102,2
As,Ni,0.011388166011426115,0.2188002101229203,102,2
As,Tl,-0.003381940129415284,0.1562650079198944,102,2
As,Pb,-0.02680519080070365,0.11205651883964461,102,2
As,Mo,0.011350914875471574,0.10467436294982155,102,2
As,Sb,-0.08275216815160391,0.4027926827067967,102,2
As,Sn,-0.028735388235891612,0.12433747308513747,102,2
Cd,Co,-0.040695013753410336,0.20302848680756552,102,2
Cd,Hg,-0.014979016740401363,0.22950365214007235,102,2
Cd,Ni,0.01838924237631634,0.28330256873412785,102,2
Cd,Tl,-0.004681697112565608,0.20703039691700595,102,2
Cd,Pb,0.039912502772256,0.15005357903270497,102,2
Cd,Mo,-0.015084474120667934,0.13903768144890113,102,2
Cd,Sb,-0.01295201316792216,0.5489373129884021,102,2
Cd,Sn,-0.031181412691642763,0.16694681149317134,102,2
Co,Hg,0.036469892541434845,0.3256977942060739,102,2
Co,Ni,-0.03351678782659295,0.40022689663949107,102,2
Co,Tl,0.1536332917714205,0.30597337515745854,102,2
Co,Pb,0.0681608648323282,0.22287419416519316,102,2
Co,Mo,-0.019774464004658654,0.2081074969051107,102,2
Co,Sb,0.050341243360383814,0.6977459098527438,102,2
Co,Sn,0.02471316718160388,0.2444508770818118,102,2
Hg,Ni,0.5125817882225281,0.4281443786997082,102,2
Hg,Tl,0.062181101176545184,0.33665438230809086,102,2
Hg,Pb,-0.05125053012337144,0.25317828444014245,102,2
Hg,Mo,0.0858077161999713,0.23308641253826765,102,2
Hg,Sb,-0.29015643346121234,0.6825504612541154,102,2
Hg,Sn,-0.21794445049513822,0.2693020414155402,102,2
Ni,Tl,0.35512498393461644,0.41872509215410714,102,2
Ni,Pb,0.038403046879314395,0.30947978418507316,102,2
Ni,Mo,-0.10167693296005531,0.2889997136183871,102,2
Ni,Sb,-0.09463907046236564,0.8489892602647836,102,2
Ni,Sn,0.028108876366538027,0.33752255173985035,102,2
Tl,Pb,0.009200846354392667,0.23115591545735265,102,2
Tl,Mo,0.04543060543018562,0.21200645978566326,102,2
Tl,Sb,0.4713078272194675,0.7239342427877792,102,2
Tl,Sn,-0.03740585866166146,0.25300806448977475,102,2
Pb,Mo,-0.007944456655534893,0.15493204144398132,102,2
Pb,Sb,0.21936845265907756,0.5648515443527587,102,2
Pb,Sn,-0.10280457012974864,0.18240860741557616,102,2
Mo,Sb,-0.1093754813591108,0.5181935661020494,102,2
Mo,Sn,-0.0823470848899639,0.1711001026894126,102,2
Sb,Sn,0.13813658163255127,0.5691028156939227,102,2
As,Cd,-0.05533560559293216,0.18711598922254655,103,2
As,Co,0.06625003422490172,0.21174435126850466,103,2
As,Hg,-0.09135976043091709,0.22937286143767724,103,2
As,Ni,-0.06630800530911962,0.28109530197018834,103,2
As,Tl,-0.001115321801340663,0.2148000905771323,103,2
As,Pb,-0.025152086986319766,0.22097669133112302,103,2
As,Mo,-0.028499006025088924,0.11189795181696507,103,2
As,Sb,-0.32480293277141037,0.39245290028151153,103,2
As,Sn,0.027987562512546305,0.2889544431896102,103,2
Cd,Co,0.1976617313808755,0.4191780658613604,103,2
Cd,Hg,-0.07242156354303653,0.43255721675689557,103,2
Cd,Ni,-0.5300964293360542,0.513218542252652,103,2
Cd,Tl,-0.048177201123595026,0.41457148700674595,103,2
Cd,Pb,0.1509906635901639,0.4175180137406864,103,2
Cd,Mo,-0.052496100784872546,0.2186750719891813,103,2
Cd,Sb,0.28864663774489685,0.6909298927575135,103,2
Cd,Sn,0.29588689863927176,0.5323895585545699,103,2
Co,Hg,-0.17542887541975904,0.4785027738989519,103,2
Co,Ni,-0.5498907587533504,0.5625243866454134,103,2
Co,Tl,0.022447452179228833,0.46402838143757347,103,2
Co,Pb,0.13952738477625015,0.48168900525455066,103,2
Co,Mo,0.10451687184939917,0.2508958094139821,103,2
Co,Sb,-0.9326345868390202,0.7781484288705756,103,2
Co,Sn,0.4567221204682719,0.5758155378572741,103,2
Hg,Ni,0.0404306397412002,0.581072785096987,103,2
Hg,Tl,0.2502072768479868,0.48778331661458313,103,2
Hg,Pb,-0.4016255915226967,0.5015729219828827,103,2
Hg,Mo,-0.07376504277071483,0.2721133956789893,103,2
Hg,Sb,1.8032818981523793,0.7122720811901404,103,2
Hg,Sn,0.8865687694450095,0.5910244737188695,103,2
