variable,fixedat1,fixedat2,est,sd,trial,case
Tl,Hg,Ni,-0.00944127944732287,0.4594309519162133,1348,14
Hg,Ni,Tl,0.006152302627665307,0.4706811841171572,1349,14
Ni,Tl,Hg,-0.04838572340844616,0.4536532680016283,1349,14
Tl,Hg,Ni,-0.1915456844785326,0.4358250675746191,1349,14
Hg,Ni,Tl,0.56577574997414,1.0830775289568826,1350,14
Ni,Tl,Hg,0.39695748891543836,1.2919834652310356,1350,14
Tl,Hg,Ni,-0.21630116416076728,0.8650634228027735,1350,14
Hg,Ni,Tl,0.007869967032146263,0.44026022457004155,1351,14
Ni,Tl,Hg,0.2572205894744606,0.4328789247676547,1351,14
Tl,Hg,Ni,0.07222400349910796,0.3901843939472062,1351,14
Hg,Ni,Tl,0.27198024261297515,0.7184467083056327,1352,14
Ni,Tl,Hg,0.11060613124031349,0.6372725422648248,1352,14
Tl,Hg,Ni,0.22971115046502621,0.6348917750657516,1352,14
Hg,Ni,Tl,0.2191840351286194,0.42686500617934375,1353,14
Ni,Tl,Hg,0.20821007775556621,0.48945933037219025,1353,14
Tl,Hg,Ni,0.034570365529402736,0.4060937238575842,1353,14
Hg,Ni,Tl,-0.1821081366405659,0.3737690196558952,1354,14
Ni,Tl,Hg,-0.20861392254936373,0.40304955524722547,1354,14
Tl,Hg,Ni,-0.15802103708243376,0.4086205038506015,1354,14
Hg,Ni,Tl,0.027111935783971308,0.5026009479510363,1355,14
Ni,Tl,Hg,0.15730996839308498,0.4409403738247197,1355,14
Tl,Hg,Ni,-0.018642740324645413,0.4209250071677834,1355,14
Hg,Ni,Tl,1.0596628799236525,1.1705069955969893,1356,14
Ni,Tl,Hg,1.4932782305860384,1.0077768900454813,1356,14
Tl,Hg,Ni,0.8809498479706495,1.0728192182546483,1356,14
Hg,Ni,Tl,-0.20636999463381844,0.49671519261393343,1357,14
Ni,Tl,Hg,-0.25026763378143,0.49007019301403903,1357,14
Tl,Hg,Ni,0.09465561708219727,0.47624701577583006,1357,14
Hg,Ni,Tl,0.5346129655920464,0.8730365041840059,1358,14
Ni,Tl,Hg,0.04662018434312554,0.7040363888494394,1358,14
Tl,Hg,Ni,0.42403845089045245,0.7382630200446981,1358,14
Hg,Ni,Tl,0.021656748046969376,0.5026926761447047,1359,14
Ni,Tl,Hg,-2.6276635842847895e-4,0.42787523154554424,1359,14
Tl,Hg,Ni,-0.10088539600579516,0.4639217778692749,1359,14
Hg,Ni,Tl,0.41429483124876265,0.6193963091241576,1360,14
Ni,Tl,Hg,0.21205175127856357,0.6520442222913263,1360,14
Tl,Hg,Ni,0.09966579718760915,0.52867859255999206,1360,14
Hg,Ni,Tl,-0.040552952562751265,0.4848476431920249,1361,14
Ni,Tl,Hg,-0.12632067999382812,0.5658071339995585,1361,14
Tl,Hg,Ni,-0.04801579675301504,0.46738895379370826,1361,14
Hg,Ni,Tl,-0.31836761704996075,0.6764168388242944,1362,14
Ni,Tl,Hg,-0.3465250695715012,0.9133705505339663,1362,14
Tl,Hg,Ni,-0.20868959321930447,0.7390464417332195,1362,14
Hg,Ni,Tl,0.23877307318454832,0.5918058923258772,1363,14
Ni,Tl,Hg,-0.05720169567130995,0.6792559278783924,1363,14
Tl,Hg,Ni,-0.10721142069208955,0.5750009416769342,1363,14
Hg,Ni,Tl,-0.7806066142048493,0.7040739869125507,1364,14
Ni,Tl,Hg,-1.176499541392615,0.7870241263059561,1364,14
Tl,Hg,Ni,-0.49071981743336757,0.5935232764416783,1364,14
Hg,Ni,Tl,0.6762060328595578,0.5450722276201275,1365,14
Ni,Tl,Hg,0.37000480198281505,0.544001196126583,1365,14
Tl,Hg,Ni,0.16699371534413388,0.5288549836115979,1365,14
Hg,Ni,Tl,0.04167330884989173,0.4682637181024689,1366,14
Ni,Tl,Hg,-0.033487822750239093,0.4892576716515932,1366,14
Tl,Hg,Ni,0.14279836943699387,0.4245641897532151,1366,14
Hg,Ni,Tl,-0.13500960441681098,0.619161221866204,1367,14
Ni,Tl,Hg,0.4761290758361394,0.8804879342049166,1367,14
Tl,Hg,Ni,0.5731239953301195,0.755582069088521,1367,14
Hg,Ni,Tl,-0.7208924258484629,0.7529100500850812,1368,14
Ni,Tl,Hg,-0.30448694269192755,0.9699734229973269,1368,14
Tl,Hg,Ni,0.2580452455244753,0.8440985536305895,1368,14
Hg,Ni,Tl,-0.24358415289998447,0.48988492315356247,1369,14
Ni,Tl,Hg,-0.24245822906924808,0.4571631337753141,1369,14
Tl,Hg,Ni,-0.14726251695713266,0.3993363544150788,1369,14
Hg,Ni,Tl,-0.18549426392757962,0.7804574859720274,1370,14
Ni,Tl,Hg,0.297167968268643,0.8904546852703823,1370,14
Tl,Hg,Ni,0.1785060604627824,0.779251109120404,1370,14
Hg,Ni,Tl,0.4579468184474149,0.7317499081872527,1371,14
Ni,Tl,Hg,0.12514608671583183,0.7655270273696554,1371,14
Tl,Hg,Ni,-0.23017878523575508,0.647505784618165,1371,14
Hg,Ni,Tl,-0.7651818717544758,0.8197692893390846,1372,14
Ni,Tl,Hg,-0.36140511098830963,0.7596161196793276,1372,14
Tl,Hg,Ni,-0.39859210919405186,0.8112498854573768,1372,14
Hg,Ni,Tl,0.3253827973957666,0.5181043624644179,1373,14
Ni,Tl,Hg,0.06277814317698116,0.5258746326749778,1373,14
Tl,Hg,Ni,0.05362988050261386,0.4276897370221104,1373,14
Hg,Ni,Tl,-0.08054201173305131,0.5089666136658876,1374,14
Ni,Tl,Hg,-0.033933648110386905,0.5401446179813701,1374,14
Tl,Hg,Ni,-0.08023643267675507,0.3686683531523052,1374,14
Hg,Ni,Tl,0.189179965250184,0.32362086342684787,1375,14
Ni,Tl,Hg,0.19293894376454235,0.30302291788341096,1375,14
Tl,Hg,Ni,0.1495748021399681,0.35121387692416456,1375,14
Hg,Ni,Tl,0.8414359839328673,0.7972380373145987,1376,14
Ni,Tl,Hg,0.9049787014657769,0.8609297149367964,1376,14
Tl,Hg,Ni,-0.038807828527565036,0.5664483605493362,1376,14
Hg,Ni,Tl,-0.14280326441173408,0.45725921142903,1377,14
Ni,Tl,Hg,-0.18414018709620716,0.41896703329735346,1377,14
Tl,Hg,Ni,-0.03460016473865846,0.41037186838951606,1377,14
Hg,Ni,Tl,0.3646017283346614,0.7094095071742362,1378,14
Ni,Tl,Hg,-0.08265201037758363,0.7981077026422336,1378,14
Tl,Hg,Ni,-0.08349172987596765,0.7792303588897718,1378,14
Hg,Ni,Tl,1.3411791942690945,0.6156152698538436,1379,14
Ni,Tl,Hg,0.6211565956461709,0.6576167073352934,1379,14
Tl,Hg,Ni,0.12998720703031963,0.6600633465156021,1379,14
Hg,Ni,Tl,0.0850412376533245,0.5259470418937571,1380,14
Ni,Tl,Hg,0.1101502364713518,0.5928566694771983,1380,14
Tl,Hg,Ni,-0.19046985036488628,0.5522118077751357,1380,14
Hg,Ni,Tl,0.265747465764703,0.5226551561315871,1381,14
Ni,Tl,Hg,0.28614761271968225,0.5735978835400729,1381,14
Tl,Hg,Ni,0.041360339191673035,0.5962928521460014,1381,14
Hg,Ni,Tl,-0.030177288797029522,0.41724814016851286,1382,14
Ni,Tl,Hg,0.03770976008576765,0.452359713051265,1382,14
Tl,Hg,Ni,-0.03265838824993361,0.43336012632435006,1382,14
Hg,Ni,Tl,0.88450572819991,0.6820711530297912,1383,14
Ni,Tl,Hg,1.3152958005899604,0.7689726908301125,1383,14
Tl,Hg,Ni,0.7025777765903083,0.7097792273635584,1383,14
Hg,Ni,Tl,0.13490052737312208,0.38811429826697075,1384,14
Ni,Tl,Hg,0.08430688324263613,0.3823369314616866,1384,14
Tl,Hg,Ni,-0.08480763552933812,0.4023684980724708,1384,14
Hg,Ni,Tl,0.01727610957458081,0.2998014289844035,1385,14
Ni,Tl,Hg,-0.028765566482274796,0.38932984177873925,1385,14
Tl,Hg,Ni,-0.06634070562421801,0.3294548084994831,1385,14
Hg,Ni,Tl,0.10190555079075647,0.5686155198912737,1386,14
Ni,Tl,Hg,-0.01856914480018723,0.48839992259203974,1386,14
Tl,Hg,Ni,0.21090081662385263,0.497112153750135,1386,14
Hg,Ni,Tl,0.063127915561493,0.4921305860974418,1387,14
Ni,Tl,Hg,0.09107734029591397,0.3436083687731429,1387,14
Tl,Hg,Ni,-0.1789488254146292,0.4469108718859132,1387,14
Hg,Ni,Tl,-0.06401460909712497,0.8570977629306225,1388,14
Ni,Tl,Hg,0.0716010611276312,0.8616405583666511,1388,14
Tl,Hg,Ni,0.010540211508936359,0.6840252268612614,1388,14
Hg,Ni,Tl,-1.1538767461516386e-5,0.42569901299673757,1389,14
Ni,Tl,Hg,-0.12219414834425546,0.47457994782556656,1389,14
Tl,Hg,Ni,-0.04322995791014339,0.38913753178577276,1389,14
Hg,Ni,Tl,-0.3918910514513283,0.662868446357574,1390,14
Ni,Tl,Hg,-0.3401413538273723,0.628645428807996,1390,14
Tl,Hg,Ni,-0.07086700813925795,0.6636719908021801,1390,14
Hg,Ni,Tl,-0.0044913281609417766,0.7063392017815142,1391,14
Ni,Tl,Hg,-0.36278982705706575,0.7850159620959564,1391,14
Tl,Hg,Ni,-0.33837808469667063,0.8308112789454503,1391,14
