var,p,case
race2,0.4524471559962604,15
race3,0.515146192422371,15
race4,0.8455501065901636,15
race5,0.6385020223120694,15
smoke1,3.0672000222263465e-5,15
(Intercept),0.049500094181506256,16
Hg,3.4500365988320317e-9,16
Sb,1.1536708386516198e-4,16
I(1/(1 + exp(-4 * Ni))),2.4695831366384916e-13,16
I(Sb^2),2.843838098133926e-18,16
I(1/(1 + exp(-4 * Sn))),2.7710861859655e-4,16
age,7.202758755578639e-9,16
bmi,0.0077046777398029655,16
race2,0.3340853153945156,16
race3,0.2763741313963921,16
race4,0.050169333305065456,16
race5,0.6080345479184365,16
smoke1,3.0244375726678796e-4,16
(Intercept),0.2962515055369101,17
Hg,1.4515802348902639e-5,17
Sb,0.002374355964730716,17
I(1/(1 + exp(-4 * Ni))),5.252551361130604e-15,17
I(Sb^2),1.292942890379298e-11,17
I(1/(1 + exp(-4 * Sn))),0.018697497746435962,17
age,9.567566504310004e-11,17
bmi,0.8624192587810198,17
race2,0.119115779471293,17
race3,0.171802220917325,17
race4,0.9247893973726456,17
race5,0.17876775616022872,17
smoke1,3.98374191628707e-8,17
(Intercept),0.917313686043739,18
Hg,3.4786986088997405e-7,18
Sb,0.014343909699816122,18
I(1/(1 + exp(-4 * Ni))),1.7007217699549466e-15,18
I(Sb^2),8.426083716447162e-10,18
I(1/(1 + exp(-4 * Sn))),5.812209064964167e-4,18
age,7.775042916385102e-6,18
bmi,9.272098401161929e-5,18
race2,0.41226271883686105,18
race3,0.4667167225178115,18
race4,0.8171677542891395,18
race5,0.354110806854675,18
smoke1,6.41765683357749e-5,18
(Intercept),0.6788940454365031,19
Hg,7.416406080786504e-10,19
Sb,0.029979250044821968,19
I(1/(1 + exp(-4 * Ni))),1.554407138637496e-18,19
I(Sb^2),9.473050402882306e-19,19
I(1/(1 + exp(-4 * Sn))),8.171307210648392e-4,19
age,9.47110649656483e-14,19
bmi,1.0546904077243735e-4,19
race2,0.6798180582116069,19
race3,0.7993399156863883,19
race4,0.8593869527784292,19
race5,0.3139589776585144,19
smoke1,2.9471553682090136e-8,19
(Intercept),0.6655434882158027,20
Hg,7.966883948123074e-10,20
Sb,0.013550960714869319,20
I(1/(1 + exp(-4 * Ni))),3.446903213604803e-17,20
I(Sb^2),2.0774604496412903e-15,20
I(1/(1 + exp(-4 * Sn))),0.002586383308357144,20
age,4.816907308948834e-10,20
bmi,0.029834332922337052,20
race2,0.8047324357833374,20
race3,0.5854762588184541,20
race4,0.6915155350960487,20
race5,0.6417171015853345,20
smoke1,1.241141455637343e-5,20
(Intercept),0.6327220732684173,21
Hg,9.113246732363886e-13,21
Sb,0.01879573590786142,21
I(1/(1 + exp(-4 * Ni))),1.7871971604279118e-12,21
I(Sb^2),4.98323483979983e-14,21
I(1/(1 + exp(-4 * Sn))),0.0026764933059378335,21
age,2.4025045554358845e-9,21
bmi,0.02650200739855752,21
